r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V)
0.0,0.0,150.0,115000.0,9.714231174833573,8.800145323312222,10.761137144675853,3.577139028487037,10.11767705716097,-0.12385211341583596,114810.56257175661,195.05261082665487,551.692095214673,5.40169028836805,114777.61836441894,0.7813045265371331,0.7813045265371331,-0.7670769561149762,1.867327508483485
0.0,0.0,150.0,115100.0,9.71851569477941,8.76718747757502,10.860010681887465,3.762621688408821,10.642301243653817,0.19214695025998133,161104.7180667434,205.59009626468082,581.4966048542036,-3.3409425746547456,115207.3732718894,0.9790325849968551,0.9790325849968551,-0.6850082812053669,1.9411893159021338
0.0,0.0,150.0,115200.0,9.704525089263965,8.676553401797708,10.876489604756067,3.9645574326348663,11.213461780078573,-0.1664241862887796,114942.52873563218,217.74821813900394,615.8849665495092,4.880813513027786,115273.77521613833,1.0719835661994788,1.0719835661994788,-0.652180811241523,2.0642923282665477
0.0,0.0,150.0,115300.0,9.696623445748472,8.635356094626204,10.868250143321767,4.202695400194951,11.887017666957446,0.2647934859160091,115473.44110854504,230.0288730081641,650.6199038910881,-2.6435186230573273,115207.3732718894,1.1828255185323973,1.1828255185323973,-0.7096288836782496,2.253050280558649
0.0,0.0,150.0,115400.0,9.700059301166576,8.552961480283194,10.925926373361873,4.171265189495871,11.79811960647968,-0.1822968194242962,115606.93641618497,230.67947898135975,652.4600954731966,3.569022082823907,115440.11544011543,1.193075896028607,1.193075896028607,-0.652180811241523,2.294084618013454
0.0,0.0,150.0,115500.0,9.717494001561557,8.569440403151795,11.024799910573485,4.421433673638475,12.505702932785258,0.26125138252155705,115740.74074074073,244.03300710357743,690.2295766251382,3.1115854275571366,115473.44110854504,1.2819398572207323,1.2819398572207323,-0.6932151486963278,2.417187630377868
0.0,0.0,150.0,115600.0,9.708323480985179,8.684792863232008,11.024799910573485,4.674337444256345,13.221022817551429,-0.18371700238905286,138888.88888888888,259.27498079111547,733.3403884376385,-0.8751252760087009,115606.93641618497,1.3687685152750992,1.3687685152750992,-0.7014220161872887,2.6059455826699693
0.0,0.0,150.0,115700.0,9.682311501237091,8.52000363454599,11.214307523562407,4.9666277925053075,14.047744766840305,-0.20750924405744842,115740.74074074073,275.3959070639178,778.937253583666,-2.1080339253317195,115774.24023154848,1.4447394876389243,1.4447394876389243,-0.7096288836782496,2.876772209871681
0.0,0.0,150.0,115800.0,9.647985904901795,8.536482557414592,11.05775775631069,5.0103381589144025,14.171376352824383,-0.15940681163939321,115740.74074074073,275.6013893012568,779.5184451174092,6.021066197506636,115774.24023154848,1.4754167583201365,1.4754167583201365,-0.7096288836782496,2.802910402453032
0.0,0.0,150.0,115900.0,9.653910077673055,8.487045788808786,11.08247614061359,5.324020806133652,15.0586048607815,0.26808496878726895,115874.85515643106,294.3467448716677,832.5383172757714,-0.8246236014765127,115874.85515643106,1.6048800929900453,1.6048800929900453,-0.7178357511692106,3.0737370296547435
0.0,0.0,150.0,116000.0,9.617195037521812,8.388172251597174,11.288462676471116,5.7324544054443125,16.213829531729488,0.2671827349037764,115874.85515643106,315.01281757581677,890.9907978741636,-3.2937798538106255,116009.28074245939,1.7027880221572094,1.7027880221572094,-0.7588700886240153,3.2378743794739617
0.0,0.0,150.0,116100.0,9.6088814209346,8.470566865940185,11.24726536929961,6.11436776234926,17.294043629702315,-0.2189375399150204,116144.01858304298,339.3511354087475,959.8299562035188,5.303608523780738,116110.30478955008,1.85703609664982,1.85703609664982,-0.7424563536420935,3.516907874166634
0.0,0.0,150.0,116200.0,9.605420847132194,8.445848481637281,11.23902590786531,6.141115968672064,17.369698982004042,0.29871079672137635,116279.06976744186,339.0878335514247,959.0852260882709,-3.3401078362327317,116144.01858304298,1.8592355371373979,1.8592355371373979,-0.7834906910968982,3.598976549076243
0.0,0.0,150.0,116300.0,9.577942243248799,8.412890635900078,11.304941599339717,6.613241605058928,18.705071938248704,0.3118767282064154,116279.06976744186,365.6102407443671,1034.1019220063527,-3.1906896586912117,116279.06976744186,1.9882967353002496,1.9882967353002496,-0.7342494861511326,3.8533894412960326
0.0,0.0,150.0,116400.0,9.566637702160941,8.239861945779758,11.42029405941993,7.123686741830406,20.148828808787933,0.31897764303019926,116279.06976744186,393.8387841347101,1113.9442998236736,7.561993324554904,116279.06976744186,2.152647463674233,2.152647463674233,-0.808111293569781,4.18166414093447
0.0,0.0,150.0,116500.0,9.512059509620128,8.297538175819865,11.39557567511703,7.704344516239451,21.791177008121227,-0.2501648571047896,116550.11655011655,426.7496057461026,1207.0301603670193,-5.496237180309472,116448.32605531295,2.374265713400142,2.374265713400142,-0.7752838236059373,4.6166281179554
0.0,0.0,150.0,116600.0,9.497623973187233,8.322256560122767,11.362617829379824,7.705301841121277,21.79388473178418,0.3332128887475257,116550.11655011655,426.5729094700214,1206.5303878269094,8.09539117622546,116414.43538998836,2.3526816518989153,2.3526816518989153,-0.7999044260788201,4.592007515482517
0.0,0.0,150.0,116700.0,9.468019588253792,8.26458033008266,11.519167596631544,8.330672782526602,23.56270086548306,-0.25454236224321625,116686.11435239206,461.6251077386951,1305.6729761920076,-6.01711395564974,116618.07580174928,2.567209168112634,2.567209168112634,-0.808111293569781,5.0597989624672906
0.0,0.0,150.0,116800.0,9.413194211869952,8.223383022911154,11.510928135197243,9.005486104805929,25.471361170358,0.35456575732351553,116822.42990654206,499.5512695163205,1412.9443609013556,-3.790866584123338,116822.42990654206,2.7766155990119934,2.7766155990119934,-0.8409387635336247,5.429107999560533
0.0,0.0,150.0,116900.0,9.34583661464454,8.149227870002447,11.379096752248426,9.666353043895787,27.340575146727748,-0.2893786149669556,116822.42990654206,535.4654452729659,1514.5249897743533,-6.92280514354106,117130.30746705711,2.9714138057774426,2.9714138057774426,-0.8737662334974684,5.9133131815272275
0.0,0.0,150.0,117000.0,9.35493298006801,8.157467331436747,11.41205459798563,9.669620049172453,27.349815633068957,-0.308342234555178,116959.06432748538,535.9949062878861,1516.0225316704496,-6.202843254549116,116959.06432748538,2.9637896258783396,2.9637896258783396,-0.8573524985155466,5.864071976581462
