r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
0.0,0.0,175.0,115000.0,9.820664417911154,9.006131859169747,10.744658221807251,3.521562797704195,9.960483738523626,0.18694239739501992,126436.7816091954,189.0444347413732,534.698407004811,4.212814090806563,114942.52873563218,0.9050763986020606,0.9050763986020606,-0.5701121363319137,1.760638231100993,84.61125
0.0,0.0,175.0,115100.0,9.816099756276552,8.890779399089533,10.794094990413058,3.697815530328302,10.459001748288289,0.1545204557113671,126582.27848101266,198.42225198311905,561.2228796622775,4.941123364018707,115074.79861910241,0.9539441910769874,0.9539441910769874,-0.6111464737867185,1.900154978447329,85.8375
0.0,0.0,175.0,115200.0,9.804997081993832,8.841342630483727,10.761137144675853,3.8838975360979875,10.985321140834444,0.43640171216326346,115183.24607329843,209.05666024389802,591.3015284426897,4.201753806714802,115243.58302776323,1.042906634679004,1.042906634679004,-0.6439739437505622,1.9740167858659774,87.30900000000001
0.0,0.0,175.0,115300.0,9.796086104452636,8.78366640044362,10.827052836150262,4.089969105917036,11.56817955854967,0.43339426588495494,125918.15320041972,220.54618943952175,623.7988244701551,-1.178761377018349,115303.98322851153,1.0873263049738302,1.0873263049738302,-0.6439739437505622,2.17098160564904,88.78049999999999
0.0,0.0,175.0,115400.0,9.813129430429488,8.824863707615126,10.860010681887465,4.092662860793859,11.575798647910693,0.1409785934415395,146750.5241090147,220.50777666247652,623.6901767296235,0.9147625854069292,115340.25374855824,1.0972114768666925,1.0972114768666925,-0.6193533412776794,2.121740400703274,89.271
0.0,0.0,175.0,115500.0,9.792559614958755,8.849582091918029,10.81057391328166,4.320441859624939,12.22005494665205,0.4625247246973479,115424.97376705142,233.2899228932106,659.8435458411041,-0.23321142947559384,115485.56430446194,1.1808066291296206,1.1808066291296206,-0.6439739437505622,2.3022914855044148,91.47825
0.0,0.0,175.0,115600.0,9.784921634209157,8.915497783392436,10.884729066190369,4.5765250637216015,12.944367627310964,0.46894896410851233,126116.65790856541,247.45504404965476,699.9085587453069,-0.8511265463756353,115606.93641618497,1.2745085387076673,1.2745085387076673,-0.676801413714406,2.466428835323634,93.19500000000001
0.0,0.0,175.0,115700.0,9.767548729774935,8.808384784746524,10.843531759018862,4.85413249389878,13.729560012855181,0.1610700053841278,115740.74074074073,263.18053539481355,744.3869650159154,5.415672156936878,115740.74074074073,1.3510047505909142,1.3510047505909142,-0.7342494861511326,2.688014257579579,95.89275
0.0,0.0,175.0,115800.0,9.772607759095596,8.833103169049426,10.843531759018862,4.853107779513265,13.726661682892072,0.49501349852051857,115728.56391372962,263.2965607984662,744.7151344147662,5.122470286202477,115728.56391372962,1.3785469978905789,1.3785469978905789,-0.6850082812053669,2.679807390088618,95.89275
0.0,0.0,175.0,115900.0,9.73736758254109,8.676553401797708,10.851771220453163,5.176145061446461,14.640349093416207,0.11148055786179784,127462.34067207416,280.55155182649725,793.5196190757014,4.479304332036339,115874.85515643106,1.4766559953112717,1.4766559953112717,-0.7096288836782496,2.876772209871681,99.08100000000002
0.0,0.0,175.0,116000.0,9.724526381895732,8.77542693900932,10.950644757664776,5.516267671608116,15.602361109736904,0.12113780202214366,115942.02898550725,299.57184943387966,847.3171447491669,7.065741332664226,116009.28074245939,1.5853477483615581,1.5853477483615581,-0.7096288836782496,3.0737370296547435,102.5145
0.0,0.0,175.0,116100.0,9.700170533895939,8.77542693900932,10.892968527624669,5.913635081858486,16.7262858713792,0.126384124974304,127758.42044134728,322.0848949099643,910.9936532343692,7.071584501618353,116144.01858304298,1.7033091582428854,1.7033091582428854,-0.7588700886240153,3.3363567893654933,106.19324999999999
0.0,0.0,175.0,116200.0,9.714791458211106,8.78366640044362,10.868250143321767,5.909395205001241,16.714293688670583,0.1000355539693464,116144.01858304298,322.1189798828239,911.0900600961515,6.996458043636587,116144.01858304298,1.732299917654705,1.732299917654705,-0.660387678732484,3.344563656856454,106.4385
0.0,0.0,175.0,116300.0,9.69210410115176,8.651835017494806,10.925926373361873,6.344472626225351,17.944878468225482,0.5331161720631983,116279.06976744186,346.0663436143255,978.8234332404937,6.327206513782336,116279.06976744186,1.853917487003255,1.853917487003255,-0.7260426186601716,3.664631489003931,110.60775000000001
0.0,0.0,175.0,116400.0,9.653333315372652,8.725990170403513,10.892968527624669,6.843531466592807,19.35643002916517,0.5172602469625611,116402.1164021164,374.00598736613046,1057.8486794838443,-1.2764257723946466,116463.73742721017,1.9700241448316251,1.9700241448316251,-0.7670769561149762,3.9846993211514077,115.51275
0.0,0.0,175.0,116500.0,9.596242087094382,8.717750708969213,10.90120798905897,7.3639468400599375,20.828386987614522,0.08053727726498008,127186.00953895072,403.80319765712915,1142.1279173126713,6.41673220954394,116550.11655011655,2.1710718811914402,2.1710718811914402,-0.7014220161872887,5.23214317977747,119.1915
0.0,0.0,175.0,116600.0,9.602265133402856,8.569440403151795,10.876489604756067,7.369801740429007,20.844947146631085,0.07182403707532543,116525.42372881356,403.9172020486561,1142.4503704260064,7.226428478903004,116550.11655011655,2.164592559307327,2.164592559307327,-0.7588700886240153,4.386835828208493,121.39875
0.0,0.0,175.0,116700.0,9.552910759411391,8.51176417311169,10.925926373361873,7.969524383218233,22.541218936820602,0.5295239445641078,116710.87533156498,436.81221073580457,1235.4915052654987,-1.6835694377347272,116710.87533156498,2.3813359297436056,2.3813359297436056,-0.7752838236059373,4.731524262828853,128.26575000000003
0.0,0.0,175.0,116800.0,9.507161149797437,8.610637710323301,10.860010681887465,8.60050501039369,24.325901657913025,0.03327024659089956,116834.8380244291,473.21231804062364,1338.4465561101208,6.448869638791695,116890.7071887785,2.5730606646336893,2.5730606646336893,-0.7916975585878592,5.076212697449213,134.88750000000002
0.0,0.0,175.0,116900.0,9.42791400972233,8.594158787454699,10.818813374715962,9.287278839284465,26.268391384113492,0.5616785576896887,116959.06432748538,510.57336006294406,1444.1195407748341,-2.3503167523229296,116959.06432748538,2.7756512920818057,2.7756512920818057,-0.7999044260788201,5.568624746906869,141.99975
0.0,0.0,175.0,117000.0,9.431115040489557,8.618877171757601,10.827052836150262,9.265856287646022,26.207799257978046,0.5559811177957822,116959.06432748538,509.5935713996469,1441.3482799430458,-1.996596345992095,116959.06432748538,2.7649331231386105,2.7649331231386105,-0.7752838236059373,5.6671071567984,141.26399999999998
