r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
0.0,0.0,187.5,118000.0,9.417692957813081,8.618877171757601,10.431558687303815,9.270206666435955,26.220103987350413,-0.5321964858706012,118089.10359634996,522.2022702232066,1477.0110657033574,7.1588146667194055,118089.10359634996,1.8268389277168293,1.8268389277168293,-0.652180811241523,3.6400108865310483,31.14675
10.0,0.0,187.5,118000.0,9.416428200482915,8.627116633191903,10.406840303000912,9.242690787731327,26.142277329661017,-0.5445103075767863,118089.10359634996,521.7302095324802,1475.6758764411804,-0.7071341685772495,118089.10359634996,1.8923748680658978,1.8923748680658978,-0.652180811241523,3.7959413688593058,32.373000000000005
20.0,0.0,187.5,118000.0,9.417392217470729,8.676553401797708,10.39860084156661,9.20142505621621,26.02556021532117,-0.9092801250658386,118025.75107296137,519.6809993805434,1469.8798348631371,6.175492805580261,118063.75442739078,1.9727118939349146,1.9727118939349146,-0.6111464737867185,3.9436649836966025,35.315999999999995
30.0,0.0,187.5,118000.0,9.415122245845577,8.627116633191903,10.448037610172417,9.155347456186435,25.895233081553748,-0.9361215830997408,118089.10359634996,517.0718348148462,1462.5000030325923,6.184466243616975,118063.75442739078,2.0385227643449304,2.0385227643449304,-0.7096288836782496,4.083181731042939,37.52325
40.0,0.0,187.5,118000.0,9.415616613531638,8.684792863232008,10.456277071606717,9.13661519546861,25.84225024723163,-0.904134050322955,118089.10359634996,515.0092409139156,1456.6661064958644,6.459721238277955,118063.75442739078,2.170538434804528,2.170538434804528,-0.7096288836782496,4.2637328158440795,39.48525000000001
50.0,0.0,187.5,118000.0,9.419056588680458,8.544722018848892,10.365642995829408,9.055850775482016,25.613813971027156,-0.9245679769805731,118025.75107296137,511.1061403522973,1445.626470996771,5.234951288569615,118063.75442739078,2.2650610311316703,2.2650610311316703,-0.7096288836782496,4.575593780500595,42.42825
60.0,0.0,187.5,118000.0,9.433014236350163,8.627116633191903,10.505713840212522,8.960000322025232,25.342707948550768,-0.5666484537921122,117962.46648793567,505.46705783586276,1429.6767370486057,-0.8469528542655426,118025.75107296137,2.3712784136334326,2.3712784136334326,-0.6850082812053669,4.920282215120954,43.40925
70.0,0.0,187.5,118000.0,9.443857367597705,8.660074478929106,10.538671685949728,8.868507192807884,25.083926300144512,-0.9253532546199089,118025.75107296137,500.3550438839789,1415.2177781250164,-2.7098803276078853,117994.10029498526,2.54150936256469,2.54150936256469,-0.7424563536420935,5.125453902394978,48.55950000000001
80.0,0.0,187.5,118000.0,9.46261038182217,8.585919326020399,10.472755994475321,8.786626231053377,24.85233196691776,-0.5332992161726476,118025.75107296137,494.87903811424184,1399.7292948706254,-1.618877210028202,118089.10359634996,2.743119269347636,2.743119269347636,-0.7096288836782496,5.593245349379751,52.728750000000005
90.0,0.0,187.5,118000.0,9.442988104416383,8.561200941717495,10.382121918698008,8.659191907966528,24.491893270875245,-0.9043261927240692,118089.10359634996,488.11350794639645,1380.5934858306027,5.22201284302832,117994.10029498526,2.9876100587708536,2.9876100587708536,-0.7178357511692106,5.995381856436838,55.917
