r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
0.0,0.0,162.5,117000.0,9.67566225585961,8.849582091918029,10.546911147384028,6.855628330046688,19.39064512588248,-0.8863901172809354,116896.91817215728,385.7063363426415,1090.9422638980045,6.433009608773321,116959.06432748538,2.1617119488179997,2.1617119488179997,-0.6357670762596013,4.312974020789845,38.749500000000005
10.0,0.0,162.5,117000.0,9.669507378168186,8.635356094626204,10.596347915989835,6.7878069336586595,19.198817248700415,-0.5131075560207826,116959.06432748538,382.11283618603306,1080.7783105822734,7.612703683692589,116896.91817215728,2.116311557858004,2.116311557858004,-0.6439739437505622,4.157043538461587,38.259
20.0,0.0,162.5,117000.0,9.653444548102016,8.684792863232008,10.530432224515426,6.793219592043954,19.214126558494367,-0.875270920068634,138150.9032943677,382.9342473578088,1083.1016122210935,6.198656796791314,117027.50146284376,2.1489995110745013,2.1489995110745013,-0.6439739437505622,4.255525948353118,38.749500000000005
30.0,0.0,162.5,117000.0,9.6750113384063,8.94845562912964,10.538671685949728,6.762964070600616,19.128551020970693,-0.504945680982151,116896.91817215728,380.838914498386,1077.17511592613,7.716002563417531,116896.91817215728,2.110172820974765,2.110172820974765,-0.7424563536420935,5.954347518982033,39.975750000000005
40.0,0.0,162.5,117000.0,9.663018802288674,8.882539937655233,10.56339007025263,6.715726469305612,18.994942908159956,-0.9256874153174988,116959.06432748538,378.6707425238688,1071.042599502291,-1.856568975698311,116959.06432748538,2.1853764512281857,2.1853764512281857,-0.6111464737867185,4.304767153298884,40.95675
50.0,0.0,162.5,117000.0,9.659698299330651,8.849582091918029,10.497474378778222,6.695502886870216,18.93774197904014,-0.9118364544024005,116959.06432748538,377.08549744187275,1066.558849313003,5.859335628240321,116959.06432748538,2.2413144600465746,2.2413144600465746,-0.660387678732484,4.427870165663298,42.91875
60.0,0.0,162.5,117000.0,9.661445065154723,8.94845562912964,10.629305761727037,6.679035879733929,18.89116624939248,-0.5081118535918145,116959.06432748538,376.41633538500525,1064.666173200508,0.7411369936268393,116959.06432748538,2.3292592520797126,2.3292592520797126,-0.6439739437505622,4.559180045518673,43.163999999999994
70.0,0.0,162.5,117000.0,9.66172520684349,8.684792863232008,10.480995455909621,6.599165605028328,18.665258997954226,-0.5057058965691679,117021.27659574468,372.37065329671657,1053.2232562438926,7.877107078867313,116959.06432748538,2.385451673790322,2.385451673790322,-0.660387678732484,4.715110527846931,45.37125
80.0,0.0,162.5,117000.0,9.669350828400937,8.717750708969213,10.522192763081126,6.585950189878309,18.627880159279133,-0.897475898423478,116959.06432748538,370.77423731591307,1048.7079099814096,6.406089294663189,116959.06432748538,2.555374865190668,2.555374865190668,-0.6685945462234449,5.002350890030564,47.578500000000005
90.0,0.0,162.5,117000.0,9.656769170790758,8.676553401797708,10.497474378778222,6.545639347286562,18.51386387867126,-0.9244092506492178,116959.06432748538,367.5458212819298,1039.576570500926,6.73873255583802,116959.06432748538,2.6765246430922334,2.6765246430922334,-0.652180811241523,5.264970649741314,50.276250000000005
100.0,0.0,162.5,117000.0,9.6750113384063,8.882539937655233,10.480995455909621,6.446095092377857,18.23231020797483,-0.5289300650516606,116959.06432748538,362.69679370726277,1025.8614493800953,-0.22799431433797143,117021.27659574468,2.8510231631187906,2.8510231631187906,-0.652180811241523,5.650693421816478,53.21925
110.0,0.0,162.5,117000.0,9.660122631594517,8.849582091918029,10.489234917343921,6.309079512341238,17.844771624886427,-0.9143259515994449,117083.5550824907,354.7297574070287,1003.3272678046759,6.941782676994307,117027.50146284376,3.080934452444316,3.080934452444316,-0.7424563536420935,7.997857524231307,58.12425
120.0,0.0,162.5,117000.0,9.662648026524131,8.973174013432544,10.431558687303815,6.270468152380265,17.73556220704947,-0.9079434822754793,116896.91817215728,352.56054614921175,997.1918118437615,6.451999907874273,116959.06432748538,3.1317390656471096,3.1317390656471096,-0.676801413714406,6.27441535112951,57.879
130.0,0.0,162.5,117000.0,9.666425819591757,8.95669509056394,10.439798148738115,6.313769915376295,17.858038088056773,-0.8849866423510582,116959.06432748538,354.70813232574903,1003.2661028382096,6.623956022810316,116959.06432748538,3.1022148598483774,3.1022148598483774,-0.7178357511692106,6.1923466762199,56.16225000000001
140.0,0.0,162.5,117000.0,9.65105922401679,8.78366640044362,10.538671685949728,6.613053979159215,18.70454125206465,-0.5153714947469535,116896.91817215728,370.93068103648636,1049.1503996441754,8.410713615143374,116959.06432748538,2.5485836823418984,2.5485836823418984,-0.6932151486963278,5.297798119705158,44.390249999999995
150.0,0.0,162.5,117000.0,9.661482142731176,8.627116633191903,10.56339007025263,6.883424117640844,19.469263485467476,-0.909747950042464,116959.06432748538,388.37921488494385,1098.5023060682045,2.9229345441806998,116959.06432748538,1.6693040027940889,1.6693040027940889,-0.5701121363319137,3.3035293194016497,24.525000000000002
0.0,0.0,162.5,117000.0,9.651656584970773,8.849582091918029,10.56339007025263,6.729893216489275,19.03501252016365,-0.5359223776487276,117021.27659574468,378.8391124385167,1071.5188215358723,-0.5516641374760948,116959.06432748538,2.115449836771453,2.115449836771453,-0.6275602087686404,4.157043538461587,38.259
10.0,0.0,162.5,117000.0,9.660950697468664,8.701271786100612,10.489234917343921,6.741188878567295,19.066961477177088,-0.5367911954624612,116959.06432748538,378.82177750414985,1071.4697909373035,-0.7277939445222391,116959.06432748538,2.1153964921327617,2.1153964921327617,-0.6932151486963278,4.1980778759163915,38.50425
20.0,0.0,162.5,117000.0,9.64584776465959,8.833103169049426,10.497474378778222,6.727410560303804,19.027990508067244,-0.8829566161132,116959.06432748538,378.06272869739223,1069.322876703264,5.589089064111455,116890.7071887785,2.101871574507658,2.101871574507658,-0.676801413714406,4.189871008425431,38.749500000000005
30.0,0.0,162.5,117000.0,9.656736212945018,8.86606101478663,10.56339007025263,6.723670524428019,19.01741208914865,-0.890642312157766,116959.06432748538,378.29622717556714,1069.983310132521,-1.6808565378631701,116959.06432748538,2.1592457851369655,2.1592457851369655,-0.6193533412776794,4.239112213371197,39.48525000000001
40.0,0.0,162.5,117000.0,9.646247378539156,8.750708554706417,10.489234917343921,6.6980162911417835,18.944850959857295,-0.5168668638686679,116959.06432748538,376.78220818401843,1065.7010177494437,7.452642591270328,116959.06432748538,2.1732343907753084,2.1732343907753084,-0.6439739437505622,4.271939683335041,40.46625
50.0,0.0,162.5,117000.0,9.634852203375518,8.915497783392436,10.530432224515426,6.687096076041379,18.91396392725925,-0.5194733173098687,116959.06432748538,375.2821067130845,1061.4580900591825,0.1524377214974811,116959.06432748538,2.231059979116619,2.231059979116619,-0.6685945462234449,4.386835828208493,41.6925
60.0,0.0,162.5,117000.0,9.660769429317112,8.899018860523833,10.579868993121233,6.677432292956652,18.886630621054746,-0.5313527301091868,116896.91817215728,375.09342122431,1060.9244069046867,-1.094244111788862,116959.06432748538,2.291749764212276,2.291749764212276,-0.6275602087686404,4.624834985446361,43.654500000000006
70.0,0.0,162.5,117000.0,9.667352759003116,8.816624246180826,10.530432224515426,6.626891094246993,18.743678523707157,-0.9034657289277754,116772.8237791932,373.44452309900385,1056.2606187211277,5.179649868110817,116959.06432748538,2.386054878550908,2.386054878550908,-0.6111464737867185,4.690489925374049,45.126
80.0,0.0,162.5,117000.0,9.648739815623031,8.750708554706417,10.497474378778222,6.580535611519341,18.612565418979564,-0.5251456951514558,116896.91817215728,370.6365316359177,1048.3184195008791,-0.863438938100433,116959.06432748538,2.491106885868953,2.491106885868953,-0.676801413714406,5.026971492503447,48.069
90.0,0.0,162.5,117000.0,9.649922178338853,8.709511247534913,10.505713840212522,6.494098695092624,18.368084899978815,-0.9174503541219097,116959.06432748538,365.0356756184376,1032.4768064192406,-1.4936664467252632,116959.06432748538,2.6220023189160346,2.6220023189160346,-0.7096288836782496,5.4044873970876495,50.521499999999996
100.0,0.0,162.5,117000.0,9.657465405281956,8.800145323312222,10.497474378778222,6.430059817051673,18.18695560028948,-0.537267374456527,117021.27659574468,360.7661550288773,1020.4007785740657,7.551141725068643,116896.91817215728,2.781748994627589,2.781748994627589,-0.6850082812053669,5.576831614397829,52.974000000000004
110.0,0.0,162.5,117000.0,9.669882273663449,9.03085024347265,10.439798148738115,6.330193403706039,17.90449072793157,-0.9000489357949195,127591.70653907496,355.7436375025503,1006.1949537680894,-2.6718997294059954,116959.06432748538,2.989185777329118,2.989185777329118,-0.6850082812053669,6.0446230613826035,55.426500000000004
120.0,0.0,162.5,117000.0,9.66416820715876,8.964934551998242,10.56339007025263,6.2668078918802985,17.725209426967727,-0.5313777921615063,116896.91817215728,350.8767431571213,992.4292977882042,8.231453539014662,117021.27659574468,3.1021081705709954,3.1021081705709954,-0.6932151486963278,8.088133066631878,58.12425
