#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-05 15:40:05.967
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000001,-41.47433997753594
1047.128548050901,-41.35653611632392
1096.478196143186,-41.12901158150613
1148.153621496884,-40.8920191440489
1202.264434617413,-40.69481671347999
1258.925411794169,-40.4448933217103
1318.256738556409,-40.17689511150314
1380.384264602885,-39.95950394293772
1445.43977074593,-39.65253231674732
1513.56124843621,-39.40392831768897
1584.893192461114,-39.10313894158853
1659.586907437563,-38.80585808204555
1737.800828749376,-38.5211970545421
1819.700858609984,-38.22370577311348
1905.46071796325,-37.89058438691062
1995.262314968881,-37.57483161239844
2089.296130854041,-37.23821721444577
2187.761623949554,-36.94355443186617
2290.867652767774,-36.60789416635168
2398.832919019493,-36.2639770236104
2511.886431509582,-35.91134068882328
2630.267991895385,-35.53995281159717
2754.228703338169,-35.16998725686639
2884.031503126609,-34.81498068690955
3019.951720402019,-34.45486227227204
3162.277660168382,-34.09415205895948
3311.311214825914,-33.71889603513738
3467.368504525317,-33.34522091303647
3630.780547701017,-32.97197626413916
3801.893963205617,-32.55325116314866
3981.071705534973,-32.19441889933826
4168.693834703359,-31.82415230310514
4365.158322401665,-31.39021413278623
4570.881896148752,-31.0644577138012
4786.300923226389,-30.63768930554375
5011.87233627273,-30.26143226548195
5248.074602497728,-29.8351773013191
5495.408738576254,-29.45846550485379
5754.399373371578,-29.0450035304348
6025.59586074358,-28.67355444880544
6309.573444801937,-28.29153388608625
6606.934480075965,-27.894926518872
6918.30970918937,-27.53409818905455
7244.359600749906,-27.14838920977037
7585.775750291844,-26.72827712191282
7943.282347242821,-26.3195320091066
8317.637711026719,-25.94104018959403
8709.635899560815,-25.51517742744567
9120.108393559105,-25.12462611282346
9549.925860214369,-24.69049229887267
10000,-24.32330686638148
10471.28548050901,-23.91725548220742
10964.78196143186,-23.51470061490151
11481.53621496883,-23.11261048647965
12022.64434617414,-22.70697758694851
12589.25411794168,-22.33005198052821
13182.56738556407,-21.9114590665258
13803.84264602886,-21.51201131168198
14454.39770745929,-21.1141569859085
15135.61248436209,-20.69591299656947
15848.93192461115,-20.27547492189216
16595.86907437562,-19.87893550353674
17378.00828749376,-19.46501269778078
18197.00858609984,-19.08055157316373
19054.60717963249,-18.69460817944505
19952.62314968881,-18.30513386374591
20892.96130854039,-17.90929024610022
21877.61623949554,-17.48896138571893
22908.67652767775,-17.05422533251899
23988.32919019491,-16.6049029680169
25118.86431509582,-16.1682931358664
26302.67991895384,-15.70896528191808
27542.28703338168,-15.27687720427738
28840.31503126608,-14.86490652437125
30199.51720402019,-14.49483677557567
31622.77660168381,-14.15057097482134
33113.11214825913,-13.80369162176728
34673.68504525317,-13.43646224568442
36307.80547701016,-13.04205095248141
38018.93963205612,-12.60623966913143
39810.71705534973,-12.11688853609924
41686.93834703357,-11.57929128363703
43651.58322401661,-11.01875373219305
45708.81896148752,-10.42602422452608
47863.00923226388,-9.831999843017496
50118.72336272725,-9.235074944091599
52480.74602497728,-8.609671423250983
54954.08738576245,-7.982316315719666
57543.99373371572,-7.355532159738435
60255.95860743581,-6.704591252794825
63095.73444801933,-6.033851294325469
66069.34480075965,-5.346880106938681
69183.09709189367,-4.636182167928553
72443.59600749903,-3.896328706884213
75857.75750291844,-3.152871967441097
79432.82347242818,-2.408631069703263
83176.37711026713,-1.736356491830028
87096.35899560805,-1.292921439180828
91201.08393559101,-1.000879235956019
95499.25860214364,-0.758167064359364
100000,-0.5550037856094443
104712.85480509,-0.3893702371080618
109647.8196143186,-0.2718292164058553
114815.3621496883,-0.1996162649418892
120226.4434617413,-0.1780289044707981
125892.5411794167,-0.1992453185753418
131825.6738556407,-0.2713250095530804
138038.4264602886,-0.3979857898331852
144543.9770745928,-0.5659069465241328
151356.1248436209,-0.7778741629079597
158489.3192461114,-1.016980519838134
165958.6907437561,-1.36984035898622
173780.0828749376,-1.959066433986521
181970.0858609984,-2.673541402274032
190546.0717963248,-3.419025588456375
199526.2314968881,-4.149474789607858
208929.613085404,-4.868709337051762
218776.1623949553,-5.547055002625077
229086.7652767773,-6.204718313940675
239883.2919019491,-6.847982097425676
251188.6431509582,-7.448905669569369
263026.7991895382,-8.048397700384484
275422.8703338167,-8.620275593161299
288403.1503126606,-9.195533758911434
301995.1720402017,-9.722317656146899
316227.766016838,-10.25487580774377
331131.121482591,-10.77764665917793
346736.8504525317,-11.2678373735057
363078.0547701015,-11.76062554657944
380189.3963205612,-12.25284565741807
398107.1705534974,-12.7278740049826
416869.3834703353,-13.2020664896918
436515.832240166,-13.66036527275333
457088.1896148752,-14.12216676019277
478630.0923226383,-14.57199055202025
501187.2336272725,-15.00550154939531
524807.4602497725,-15.20665082855327
549540.8738576246,-15.64478623411768
575439.9373371572,-16.08298190016018
602559.5860743576,-16.540997774025
630957.3444801933,-16.94760653770779
660693.4480075957,-17.41705776623703
691830.9709189365,-17.81481668823382
724435.9600749902,-18.25580689184471
758577.5750291836,-18.69632695409108
794328.2347242816,-19.12846539925492
831763.7711026713,-19.56528318849163
870963.5899560805,-19.97062507106452
912010.8393559098,-20.39294246697191
954992.5860214357,-20.82592021062895
1000000,-21.2746022634995
