#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-05 15:43:07.252
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000,-9.131249874519469
51000,-8.918950740011146
52000,-8.692415793668506
53000,-8.451099856026241
54000,-8.200614574345272
55000,-7.960189162616318
56000,-7.715419003549
57000,-7.472214529663951
58000,-7.236010782196601
59000,-6.996133445249347
60000,-6.758829761802398
61000,-6.518826926308044
62000,-6.289901411763062
63000,-6.059528812530342
64000,-5.822253643706291
65000,-5.587335782059374
66000,-5.363234897923244
67000,-5.128196031765784
68000,-4.899160939359028
69000,-4.677149341317556
70000,-4.446435711462456
71000,-4.219038674809395
72000,-4.002426349363022
73000,-3.777526162849191
74000,-3.549035953292111
75000,-3.340523476414859
76000,-3.116857316151311
77000,-2.906898425724064
78000,-2.703977639441481
79000,-2.49189728044402
80000,-2.296200477062416
81000,-2.117555307247538
82000,-1.924792456730396
83000,-1.763390908631277
84000,-1.628962469192018
85000,-1.501252513823937
86000,-1.394367038711397
87000,-1.314525899356286
88000,-1.214572009405347
89000,-1.147161333259681
90000,-1.095132270217054
91000,-1.017469375332293
92000,-0.9571184152356604
93000,-0.9098979985313251
94000,-0.8436419516249511
95000,-0.7902319540863914
96000,-0.7509970799354132
97000,-0.6901045914974768
98000,-0.6443276870104726
99000,-0.6098989517463589
100000,-0.5596176868934712
101000,-0.5219790936451598
102000,-0.4918660820426383
103000,-0.4499121490784735
104000,-0.4173686712028538
105000,-0.3959442081132161
106000,-0.3597780532489486
107000,-0.3344112634173095
108000,-0.3163127418543649
109000,-0.2905975868698078
110000,-0.2712798457926753
111000,-0.2578643049034385
112000,-0.2392601203103922
113000,-0.2251072449630096
114000,-0.2138955979104423
115000,-0.2033744849070559
116000,-0.1949736487952056
117000,-0.1925818945087641
118000,-0.1880355977518574
119000,-0.1830125910135613
120000,-0.1819523814680438
121000,-0.1820395194348141
122000,-0.1843833895806154
123000,-0.1887268734880736
124000,-0.1942123289077442
125000,-0.2007279122410047
126000,-0.2072629361934962
127000,-0.2224994680421953
128000,-0.228133898346933
129000,-0.2407660595115389
130000,-0.2584120398439024
131000,-0.268931357251074
132000,-0.2847003583657804
133000,-0.3089638098257158
134000,-0.3185775633702971
135000,-0.3396928460655827
136000,-0.3685463052008874
137000,-0.3825486708847287
138000,-0.4034647904536897
139000,-0.4394430135037186
140000,-0.451823694017866
141000,-0.4759011464766466
142000,-0.5159611680426547
143000,-0.5298957035792761
144000,-0.5583274330079783
145000,-0.6007454683687584
146000,-0.6167461274193269
147000,-0.6465955095342086
148000,-0.6912596867240457
149000,-0.7068474952296971
150000,-0.7383230303645358
151000,-0.7837399651891753
152000,-0.801937978707568
153000,-0.8368183366219356
154000,-0.8803978806288453
155000,-0.9047769621780652
156000,-0.9413063962799652
157000,-0.9829870829289058
158000,-1.012924268895218
159000,-1.046516602532456
160000,-1.090024743032047
161000,-1.124696117925565
162000,-1.174163771531711
163000,-1.22991676661414
164000,-1.276031814073393
165000,-1.330846426484421
166000,-1.39104653376362
167000,-1.453031976233086
168000,-1.527825794163187
169000,-1.608298376815112
170000,-1.686269180479826
171000,-1.76756596168556
172000,-1.852405307450812
173000,-1.935718818496836
174000,-2.020927111675891
175000,-2.111106728402788
176000,-2.195031002501185
177000,-2.281101944639218
178000,-2.369792877533326
179000,-2.460533145060383
180000,-2.54897527050927
181000,-2.639123182326211
182000,-2.729560911734125
183000,-2.814513447910905
184000,-2.901886452344411
185000,-2.991312956554196
186000,-3.077369740141882
187000,-3.161517620393231
188000,-3.252831933099163
189000,-3.333092609096984
190000,-3.415579092874832
191000,-3.507299824871702
192000,-3.583954887867409
193000,-3.669094266487934
194000,-3.75849830349555
195000,-3.835930177336009
196000,-3.91877677536077
197000,-4.004611778880076
198000,-4.07608035822621
199000,-4.154982371743777
200000,-4.247334187829667
