#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-26 13:36:21.100
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000001,-43.46301214396306
1047.128548050901,-43.10097688610461
1096.478196143186,-42.84098711926415
1148.153621496884,-42.45985051793822
1202.264434617413,-42.20657699921869
1258.925411794169,-41.80687340988712
1318.256738556409,-41.5083193224056
1380.384264602885,-41.17758998506002
1445.43977074593,-40.81896713303365
1513.56124843621,-40.46198196541884
1584.893192461114,-40.11737958942189
1659.586907437563,-39.74893970257813
1737.800828749376,-39.42158118852674
1819.700858609984,-39.02823546905407
1905.46071796325,-38.65663007050276
1995.262314968881,-38.33170565172843
2089.296130854041,-37.93806475591797
2187.761623949554,-37.56380085511935
2290.867652767774,-37.2156125646721
2398.832919019493,-36.8228530434971
2511.886431509582,-36.46784922002954
2630.267991895385,-36.04415624333438
2754.228703338169,-35.67736371562399
2884.031503126609,-35.28520638360865
3019.951720402019,-34.87961818884352
3162.277660168382,-34.48400426914083
3311.311214825914,-34.06562685302256
3467.368504525317,-33.6996810024392
3630.780547701017,-33.25896997625268
3801.893963205617,-32.89133709821899
3981.071705534973,-32.49163066867952
4168.693834703359,-32.08203531151903
4365.158322401665,-31.68250790392001
4570.881896148752,-31.28839914919497
4786.300923226389,-30.90336707352476
5011.87233627273,-30.4724549494162
5248.074602497728,-30.07054218699293
5495.408738576254,-29.67539110638364
5754.399373371578,-29.26233685323858
6025.59586074358,-28.86418854232148
6309.573444801937,-28.47937872951407
6606.934480075965,-28.07054073861431
6918.30970918937,-27.68439956593799
7244.359600749906,-27.29596942305463
7585.775750291844,-26.9012618441743
7943.282347242821,-26.48281094770273
8317.637711026719,-26.086373748607
8709.635899560815,-25.68103604007732
9120.108393559105,-25.24841856493293
9549.925860214369,-24.85947923056466
10000,-24.47320608807249
10471.28548050901,-24.06853004250191
10964.78196143186,-23.67168965573578
11481.53621496883,-23.24876620095835
12022.64434617414,-22.86233255090279
12589.25411794168,-22.45912675381312
13182.56738556407,-22.03352098523315
13803.84264602886,-21.64644887778336
14454.39770745929,-21.24331819740669
15135.61248436209,-20.83486834637034
15848.93192461115,-20.41502211566128
16595.86907437562,-20.00311549615508
17378.00828749376,-19.58830137904095
18197.00858609984,-19.20351991597019
19054.60717963249,-18.8285181943321
19952.62314968881,-18.43265755106286
20892.96130854039,-18.02677334434959
21877.61623949554,-17.61882195349051
22908.67652767775,-17.17895855201212
23988.32919019491,-16.73858922895223
25118.86431509582,-16.30293839544458
26302.67991895384,-15.84108289056294
27542.28703338168,-15.40820088196901
28840.31503126608,-14.99962503302209
30199.51720402019,-14.59533972651466
31622.77660168381,-14.24883270927739
33113.11214825913,-13.91139977355843
34673.68504525317,-13.55844000760413
36307.80547701016,-13.16967333048214
38018.93963205612,-12.74637952372115
39810.71705534973,-12.27104348113606
41686.93834703357,-11.75552333290757
43651.58322401661,-11.20086004070472
45708.81896148752,-10.6145212901698
47863.00923226388,-10.01643477184422
50118.72336272725,-9.417869086935186
52480.74602497728,-8.795757639325505
54954.08738576245,-8.179699197718199
57543.99373371572,-7.55140398830494
60255.95860743581,-6.903023394643539
63095.73444801933,-6.239567479508336
66069.34480075965,-5.555812119999031
69183.09709189367,-4.849901643631246
72443.59600749903,-4.118708901525848
75857.75750291844,-3.371779323831313
79432.82347242818,-2.626919533951718
83176.37711026713,-1.918922128183189
87096.35899560805,-1.404295732296289
91201.08393559101,-1.064538869746491
95499.25860214364,-0.8104505510484581
100000,-0.5946356524461982
104712.85480509,-0.4185584346780351
109647.8196143186,-0.287237193793757
114815.3621496883,-0.2038162847678501
120226.4434617413,-0.1686995982309389
125892.5411794167,-0.1807586002815918
131825.6738556407,-0.2446156012893628
138038.4264602886,-0.3551781288360359
144543.9770745928,-0.5152724161039574
151356.1248436209,-0.7181498631095552
158489.3192461114,-0.9492094997491813
165958.6907437561,-1.262451802110102
173780.0828749376,-1.767868564385274
181970.0858609984,-2.459884976763337
190546.0717963248,-3.201571821902109
199526.2314968881,-3.931261596467992
208929.613085404,-4.6596063112601
218776.1623949553,-5.343632893770614
229086.7652767773,-6.012514919460152
239883.2919019491,-6.658752139948319
251188.6431509582,-7.279346266622047
263026.7991895382,-7.87421139613769
275422.8703338167,-8.447193229331742
288403.1503126606,-9.024266321095872
301995.1720402017,-9.552025997220836
316227.766016838,-10.08843153247918
331131.121482591,-10.61088616533636
346736.8504525317,-11.11393548758249
363078.0547701015,-11.60150184780359
380189.3963205612,-12.1046176463631
398107.1705534974,-12.57605607873109
416869.3834703353,-13.04824390287793
436515.832240166,-13.50770729280164
457088.1896148752,-13.96488136057672
478630.0923226383,-14.4188114729661
501187.2336272725,-14.86764908476192
524807.4602497725,-15.05908534494521
549540.8738576246,-15.45683722456913
575439.9373371572,-15.88875776563351
602559.5860743576,-16.33431088635989
630957.3444801933,-16.75011151256529
660693.4480075957,-17.17570036844813
691830.9709189365,-17.58212183335301
724435.9600749902,-18.01505140109454
758577.5750291836,-18.44537250599712
794328.2347242816,-18.86660076742808
831763.7711026713,-19.3112858955153
870963.5899560805,-19.71668205196788
912010.8393559098,-20.12123814101025
954992.5860214357,-20.52221350266133
1000000,-20.96865774442629
