#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-26 13:48:56.137
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000001,-9.382447835140475
50464.24006059372,-9.328268694348516
50932.79049786463,-9.210171335609928
51405.69133280334,-9.104243960168663
51882.98295798738,-8.989261203640789
52364.70614103135,-8.869451817599893
52850.90202806904,-8.748614672958308
53341.61214726789,-8.641047262193966
53836.87841237617,-8.507522920284996
54336.74312630292,-8.383830950119206
54841.2489847313,-8.258781604973546
55350.43907976545,-8.139200639279318
55864.35690361101,-8.00671503555656
56383.04635229024,-7.897361590549002
56906.55172939114,-7.755150302136492
57434.91774985177,-7.634357780046617
57968.18954377949,-7.502381603314214
58506.41266030572,-7.374673906535952
59049.63307147654,-7.248543246874723
59597.89717617931,-7.132339724071318
60151.25180410584,-6.991767978273455
60709.74421975236,-6.852640044290056
61273.4221264565,-6.72174451356216
61842.33367047188,-6.588747645734695
62416.52744508062,-6.464076437570245
62996.05249474367,-6.326307099001927
63580.95831929016,-6.185700809140848
64171.29487814522,-6.047419868848811
64767.11259459735,-5.910590515604687
65368.46236010527,-5.776786178364464
65975.39553864472,-5.640100469911367
66587.96397109581,-5.494336046252823
67206.21997967087,-5.35415054158837
67830.2163723836,-5.212446860423226
68460.0064475596,-5.072983431006767
69095.64399838883,-4.929689560810789
69737.18331752028,-4.779414043930283
70384.6792016995,-4.634316024270253
71038.1869564488,-4.487194335952844
71697.76240079138,-4.356454695762752
72363.4618720189,-4.190154556273177
73035.34223050364,-4.041756423208414
73713.46086455508,-3.895447604252932
74397.87569532172,-3.744484771082488
75088.64518173852,-3.596970086321653
75785.82832551992,-3.435502276598231
76489.48467619959,-3.28757178442502
77199.67433621681,-3.136370511723285
77916.45796605,-2.996354395106807
78639.89678939812,-2.833070025395874
79370.05259840998,-2.685257700908588
80106.98775896223,-2.533967289678041
80850.76521598623,-2.401361306178407
81601.44849884456,-2.241631961751158
82359.10172675733,-2.101243961566037
83123.78961427879,-1.96362917411291
83895.57747682503,-1.845087545747371
84674.53123625273,-1.708448750541722
85460.71742648998,-1.596351851846258
86254.20319921908,-1.501329260347322
87055.05632961242,-1.428228361794093
87863.3452221214,-1.334388938971661
88679.13891631906,-1.260659888513136
89502.50709279724,-1.194079751670412
90333.52007911824,-1.141168622479625
91172.24885582169,-1.081839671733662
92018.76506248752,-1.031478895587492
92873.14100385486,-0.9858027490007297
93735.44965599803,-0.9259623404545645
94605.76467255958,-0.8774168232830216
95484.16039104167,-0.8298605383400409
96370.71183915521,-0.7898617431434773
97265.49474122857,-0.7373827682391874
98168.58552467547,-0.6965750208245579
99080.06132652296,-0.6662485825137443
100000,-0.6129618227958094
100928.4801211874,-0.5752968600649971
101865.5809957292,-0.5418776460024358
102811.3826656067,-0.5045759421646691
103765.9659159747,-0.4713467111930864
104729.4122820627,-0.4400964411649027
105701.804056138,-0.4115223667335782
106683.2242945358,-0.3806642364539717
107673.7568247523,-0.3536628100269097
108673.4862526058,-0.3333499989147586
109682.4979694626,-0.3056851621531866
110700.8781595309,-0.2859917014491407
111728.713807222,-0.2721323969579315
112766.0927045804,-0.2500289095831674
113813.1034587823,-0.2343021050554743
114869.8354997035,-0.2223650377052813
115936.379087559,-0.2087875238482309
117012.8253206114,-0.2030095677852583
118099.2661429531,-0.193935309652323
119195.7943523586,-0.1890598372081373
120302.5036082117,-0.1917800246163527
121419.4884395047,-0.1843425756290512
122546.844252913,-0.1835730051564919
123684.6673409437,-0.1991743742335359
124833.0548901612,-0.1925290469537535
125992.1049894873,-0.2008354970424526
127161.9166385803,-0.2120660274964462
128342.5897562904,-0.2212531392061526
129534.2251891947,-0.2440220968872283
130736.9247202105,-0.2483164204435795
131950.7910772894,-0.2657022926631922
133175.9279421916,-0.2869707746282443
134412.4399593417,-0.3052332401052988
135660.4327447672,-0.3364655555955886
136920.0128951192,-0.3521165212178021
138191.2879967776,-0.3781907220478483
139474.3666350405,-0.4047836331143634
140769.358403399,-0.4361097502530009
142076.3739128976,-0.4768417025025983
143395.5248015827,-0.500129941159294
144726.9237440378,-0.5447675022034312
146070.6844610073,-0.5748403302415518
147426.9217291102,-0.6102023998890365
148795.7513906434,-0.6527717542334482
150177.290363477,-0.6954300795513646
151571.6566510398,-0.7387322896259167
152978.9693523992,-0.7835514738389564
154399.3486724336,-0.8349633877079877
155832.9159320999,-0.8771409319455798
157279.7935787962,-0.9391778332804881
158740.10519682,-0.9786620994873386
160213.9755179244,-1.046710949946244
161701.5304319724,-1.080726460118251
163202.8969976891,-1.156945353330211
164718.2034535146,-1.218952145904636
166247.5792285576,-1.31077680641411
167791.15495365,-1.382579079060866
169349.0624725054,-1.49626557428193
170921.4348529799,-1.598872309082839
172508.4063984381,-1.736529553039898
174110.1126592248,-1.85528018841007
175726.6904442427,-1.998062924455155
177358.2778326381,-2.130524641336325
179005.0141855945,-2.276422088031867
180667.0401582365,-2.419111415599104
182344.4977116434,-2.566456746966343
184037.530124975,-2.715192889906318
185746.2820077097,-2.865302333310182
187470.899311996,-3.019288675086025
189211.5293451192,-3.163756726265785
190968.3207820833,-3.319725172152406
192741.4236783104,-3.461074524131229
194530.9894824571,-3.608980564985573
196337.1710493509,-3.762609516655196
198160.1226530459,-3.907185138451248
200000,-4.063742369839486
