#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-26 17:19:09.535
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000001,-45.01824679966682
1047.128548050901,-44.86203613483944
1096.478196143186,-44.51572415801191
1148.153621496884,-44.15508092161219
1202.264434617413,-43.86888220673267
1258.925411794169,-43.47093194525917
1318.256738556409,-43.18861648102881
1380.384264602885,-42.7249905990668
1445.43977074593,-42.46966368558941
1513.56124843621,-42.05698746300379
1584.893192461114,-41.69344303011776
1659.586907437563,-41.30440420810664
1737.800828749376,-40.94448615920295
1819.700858609984,-40.57696661350779
1905.46071796325,-40.18034585969466
1995.262314968881,-39.83861255482928
2089.296130854041,-39.4480469215521
2187.761623949554,-39.10429850224639
2290.867652767774,-38.75533189030655
2398.832919019493,-38.37974417524487
2511.886431509582,-37.97502630538246
2630.267991895385,-37.60111806026806
2754.228703338169,-37.18993854345694
2884.031503126609,-36.82941940843791
3019.951720402019,-36.42850036780582
3162.277660168382,-36.0387872355252
3311.311214825914,-35.63604847942793
3467.368504525317,-35.24642800185114
3630.780547701017,-34.83985257253953
3801.893963205617,-34.44284021868577
3981.071705534973,-34.02172212910715
4168.693834703359,-33.64882951925622
4365.158322401665,-33.22009300186059
4570.881896148752,-32.83963893687828
4786.300923226389,-32.4279111912218
5011.87233627273,-32.01545885958615
5248.074602497728,-31.63337402258685
5495.408738576254,-31.22163557877847
5754.399373371578,-30.83160397476184
6025.59586074358,-30.38561264105663
6309.573444801937,-30.00929858285278
6606.934480075965,-29.59302787426122
6918.30970918937,-29.17854249487888
7244.359600749906,-28.79385787351456
7585.775750291844,-28.42763833190455
7943.282347242821,-28.01715948281726
8317.637711026719,-27.61486440237849
8709.635899560815,-27.22236293838111
9120.108393559105,-26.82159548286948
9549.925860214369,-26.40889557191624
10000,-25.99728721759581
10471.28548050901,-25.58756232999852
10964.78196143186,-25.18612150552524
11481.53621496883,-24.79911559172077
12022.64434617414,-24.38948138627905
12589.25411794168,-23.98909411066006
13182.56738556407,-23.58172439464547
13803.84264602886,-23.17689341635665
14454.39770745929,-22.76307056635982
15135.61248436209,-22.35361530708451
15848.93192461115,-21.96133964743719
16595.86907437562,-21.55832161991118
17378.00828749376,-21.14609238203588
18197.00858609984,-20.72131666155982
19054.60717963249,-20.31552334892364
19952.62314968881,-19.92824360434814
20892.96130854039,-19.55083099946496
21877.61623949554,-19.16021277344066
22908.67652767775,-18.76330706486165
23988.32919019491,-18.33722745657414
25118.86431509582,-17.9028699798948
26302.67991895384,-17.45283607442418
27542.28703338168,-16.9963653252766
28840.31503126608,-16.54548144278024
30199.51720402019,-16.10760110587503
31622.77660168381,-15.69490930812897
33113.11214825913,-15.29847801485442
34673.68504525317,-14.95894270182349
36307.80547701016,-14.61709225012643
38018.93963205612,-14.25650674061428
39810.71705534973,-13.86791582963598
41686.93834703357,-13.43481608027043
43651.58322401661,-12.94336531073707
45708.81896148752,-12.39855392014328
47863.00923226388,-11.82855827734198
50118.72336272725,-11.2360048808147
52480.74602497728,-10.61910760071466
54954.08738576245,-10.01032767116074
57543.99373371572,-9.384580270734705
60255.95860743581,-8.761896094326424
63095.73444801933,-8.120976014786056
66069.34480075965,-7.467030262164387
69183.09709189367,-6.787418620265897
72443.59600749903,-6.079577839013549
75857.75750291844,-5.345873787012825
79432.82347242818,-4.581792481373903
83176.37711026713,-3.790620303737536
87096.35899560805,-2.994199755697544
91201.08393559101,-2.179454169033686
95499.25860214364,-1.486691393043279
100000,-1.089053804231601
104712.85480509,-0.8144049527269283
109647.8196143186,-0.5790940766544582
114815.3621496883,-0.3988535704363043
120226.4434617413,-0.2643374166704497
125892.5411794167,-0.178446810268944
131825.6738556407,-0.1584338341865474
138038.4264602886,-0.1939827210741143
144543.9770745928,-0.2935884655688393
151356.1248436209,-0.4478527126931347
158489.3192461114,-0.6471892355950321
165958.6907437561,-0.8941864686843476
173780.0828749376,-1.203503701582388
181970.0858609984,-1.777343865802772
190546.0717963248,-2.544526004742961
199526.2314968881,-3.345747330106999
208929.613085404,-4.15006521204054
218776.1623949553,-4.913212258641179
229086.7652767773,-5.650896758404901
239883.2919019491,-6.357814119906017
251188.6431509582,-7.03184353950928
263026.7991895382,-7.679670707389013
275422.8703338167,-8.295992084142615
288403.1503126606,-8.914668850551342
301995.1720402017,-9.474819451578568
316227.766016838,-10.04081904315121
331131.121482591,-10.58932508821177
346736.8504525317,-11.10483351765565
363078.0547701015,-11.61932405897219
380189.3963205612,-12.13724457428084
398107.1705534974,-12.6287462114326
416869.3834703353,-13.11908539331824
436515.832240166,-13.58027846701891
457088.1896148752,-14.0594617905034
478630.0923226383,-14.51789695720371
501187.2336272725,-14.7550347589159
524807.4602497725,-15.18654653362271
549540.8738576246,-15.64079892158959
575439.9373371572,-16.11109986675428
602559.5860743576,-16.53086015472012
630957.3444801933,-16.96633539298605
660693.4480075957,-17.41270126186956
691830.9709189365,-17.82634949581455
724435.9600749902,-18.27374483501699
758577.5750291836,-18.70618229279175
794328.2347242816,-19.1303717485434
831763.7711026713,-19.5834089325058
870963.5899560805,-19.99731780606933
912010.8393559098,-20.4155529154827
954992.5860214357,-20.83557458626262
1000000,-21.27682348939492
