#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-26 17:22:23.245
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000001,-11.10650251195387
50464.24006059372,-11.06492918888189
50932.79049786463,-10.96288329595774
51405.69133280334,-10.85033050994717
51882.98295798738,-10.74286553280642
52364.70614103135,-10.62695840716178
52850.90202806904,-10.50702100703765
53341.61214726789,-10.40905009590703
53836.87841237617,-10.27631915152725
54336.74312630292,-10.14851699606885
54841.2489847313,-10.02966291524774
55350.43907976545,-9.906259753649923
55864.35690361101,-9.788494099859172
56383.04635229024,-9.673507162448633
56906.55172939114,-9.543760045505358
57434.91774985177,-9.415310238649781
57968.18954377949,-9.283670104028074
58506.41266030572,-9.167566699990147
59049.63307147654,-9.043475231597123
59597.89717617931,-8.925927187397811
60151.25180410584,-8.791464265123395
60709.74421975236,-8.663072758024972
61273.4221264565,-8.53606748701861
61842.33367047188,-8.407272124962015
62416.52744508062,-8.294518024150058
62996.05249474367,-8.154037974318351
63580.95831929016,-8.017484863145757
64171.29487814522,-7.896986336922368
64767.11259459735,-7.757343364451953
65368.46236010527,-7.630645423078807
65975.39553864472,-7.502799045062183
66587.96397109581,-7.35974047110415
67206.21997967087,-7.224384660769032
67830.2163723836,-7.087859758233344
68460.0064475596,-6.960081165971789
69095.64399838883,-6.815631239607636
69737.18331752028,-6.67377287015621
70384.6792016995,-6.533657022336272
71038.1869564488,-6.390413000447905
71697.76240079138,-6.26677230121726
72363.4618720189,-6.106947482404435
73035.34223050364,-5.963566190197948
73713.46086455508,-5.814083594309782
74397.87569532172,-5.672836791985945
75088.64518173852,-5.522310468753155
75785.82832551992,-5.368269459586468
76489.48467619959,-5.220374332494001
77199.67433621681,-5.067090747787919
77916.45796605,-4.925085602069905
78639.89678939812,-4.756554026858514
79370.05259840998,-4.599917516174914
80106.98775896223,-4.442925759909263
80850.76521598623,-4.302243708905876
81601.44849884456,-4.12757740560742
82359.10172675733,-3.965927287346846
83123.78961427879,-3.801667297216385
83895.57747682503,-3.655270322689263
84674.53123625273,-3.479057058532145
85460.71742648998,-3.31593774134598
86254.20319921908,-3.152341293457345
87055.05632961242,-3.001649089788309
87863.3452221214,-2.823620863445813
88679.13891631906,-2.662155618332757
89502.50709279724,-2.500086802059352
90333.52007911824,-2.341133055333231
91172.24885582169,-2.179922767288823
92018.76506248752,-2.026048627764584
92873.14100385486,-1.884916959266867
93735.44965599803,-1.73792692745313
94605.76467255958,-1.606030459542126
95484.16039104167,-1.486809176547336
96370.71183915521,-1.398950333159078
97265.49474122857,-1.304568698501611
98168.58552467547,-1.223198774279892
99080.06132652296,-1.163690722550687
100000,-1.093845436904088
100928.4801211874,-1.034343566815062
101865.5809957292,-0.9827474715905085
102811.3826656067,-0.9218748435122436
103765.9659159747,-0.8667094509778049
104729.4122820627,-0.8166789985903489
105701.804056138,-0.7681379526861425
106683.2242945358,-0.7169727892080657
107673.7568247523,-0.6711454884819091
108673.4862526058,-0.6302507302520065
109682.4979694626,-0.5814390124307187
110700.8781595309,-0.5409374982243735
111728.713807222,-0.5044281193786961
112766.0927045804,-0.4637841806421503
113813.1034587823,-0.4280954229947045
114869.8354997035,-0.3954901294115236
115936.379087559,-0.3634873836796481
117012.8253206114,-0.3354146122895573
118099.2661429531,-0.3074355753704396
119195.7943523586,-0.2795495879406894
120302.5036082117,-0.2662197418843636
121419.4884395047,-0.2382213876358175
122546.844252913,-0.219611430967111
123684.6673409437,-0.2176397757129051
124833.0548901612,-0.1903558654740829
125992.1049894873,-0.1816800313918481
127161.9166385803,-0.1733231021564792
128342.5897562904,-0.16366983624239
129534.2251891947,-0.1711776673804657
130736.9247202105,-0.158982047706829
131950.7910772894,-0.1608224997179223
133175.9279421916,-0.1662565900111377
134412.4399593417,-0.1698638283522341
135660.4327447672,-0.1881608074029126
136920.0128951192,-0.1846303841584434
138191.2879967776,-0.1987013975557607
139474.3666350405,-0.2157725256387907
140769.358403399,-0.2329283346294406
142076.3739128976,-0.2585861329242518
143395.5248015827,-0.2734525873756399
144726.9237440378,-0.3026147987332135
146070.6844610073,-0.3228438207713424
147426.9217291102,-0.3532647830278707
148795.7513906434,-0.3816539768417059
150177.290363477,-0.4132679804704019
151571.6566510398,-0.4519565690507349
152978.9693523992,-0.4863544680687985
154399.3486724336,-0.5301837395431005
155832.9159320999,-0.5663627259545566
157279.7935787962,-0.6200866663013935
158740.10519682,-0.6535746703181539
160213.9755179244,-0.7174759291756221
161701.5304319724,-0.7461633014093312
163202.8969976891,-0.8102141219470453
164718.2034535146,-0.8475417166541042
166247.5792285576,-0.9151314157341285
167791.15495365,-0.9578630586324928
169349.0624725054,-1.025825063401276
170921.4348529799,-1.072391785142809
172508.4063984381,-1.153732663275345
174110.1126592248,-1.224672942015038
175726.6904442427,-1.317991210635936
177358.2778326381,-1.42476000236685
179005.0141855945,-1.554823775813242
180667.0401582365,-1.69080790385767
182344.4977116434,-1.83461676571151
184037.530124975,-1.985775724774572
