#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-27 16:59:15.182
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000001,-41.20316249094397
1047.128548050901,-41.05562861889608
1096.478196143186,-40.80493313067284
1148.153621496884,-40.55146852796719
1202.264434617413,-40.22786489247171
1258.925411794169,-39.99207716003912
1318.256738556409,-39.72617169032325
1380.384264602885,-39.42943021607297
1445.43977074593,-39.15981059924211
1513.56124843621,-38.82900483680616
1584.893192461114,-38.52349025005908
1659.586907437563,-38.25178467681596
1737.800828749376,-37.94391430908533
1819.700858609984,-37.60534963702963
1905.46071796325,-37.28315585259597
1995.262314968881,-36.91630269845674
2089.296130854041,-36.63437152983979
2187.761623949554,-36.2787292838541
2290.867652767774,-35.90816998150939
2398.832919019493,-35.5808758272567
2511.886431509582,-35.20933127778769
2630.267991895385,-34.86072570913495
2754.228703338169,-34.45812097757567
2884.031503126609,-34.0926950458463
3019.951720402019,-33.72499870622232
3162.277660168382,-33.37097407317226
3311.311214825914,-32.97048645975278
3467.368504525317,-32.58707534030306
3630.780547701017,-32.18767768170587
3801.893963205617,-31.78620775763535
3981.071705534973,-31.43779531571482
4168.693834703359,-31.03959055385948
4365.158322401665,-30.63294737434731
4570.881896148752,-30.27414801840446
4786.300923226389,-29.8570590779697
5011.87233627273,-29.4640354334857
5248.074602497728,-29.05459003706505
5495.408738576254,-28.68038547036046
5754.399373371578,-28.29528807498401
6025.59586074358,-27.87915192402264
6309.573444801937,-27.51175492038311
6606.934480075965,-27.11794959633973
6918.30970918937,-26.70856531062217
7244.359600749906,-26.30385411760084
7585.775750291844,-25.89307998600375
7943.282347242821,-25.50575117991512
8317.637711026719,-25.09959718801728
8709.635899560815,-24.68588825062758
9120.108393559105,-24.28784252135101
9549.925860214369,-23.88405018900913
10000,-23.52041915506488
10471.28548050901,-23.11087815991059
10964.78196143186,-22.69842762392622
11481.53621496883,-22.29067220080705
12022.64434617414,-21.88981886037076
12589.25411794168,-21.48275518573207
13182.56738556407,-21.06841601726747
13803.84264602886,-20.6759765361466
14454.39770745929,-20.26387530767588
15135.61248436209,-19.84997560439562
15848.93192461115,-19.42990555409745
16595.86907437562,-19.01990183621914
17378.00828749376,-18.64712642890756
18197.00858609984,-18.25866958201145
19054.60717963249,-17.85927108148816
19952.62314968881,-17.45476640664652
20892.96130854039,-17.04309350066897
21877.61623949554,-16.62010294453929
22908.67652767775,-16.1755679960016
23988.32919019491,-15.72334753401602
25118.86431509582,-15.29253420336607
26302.67991895384,-14.83649866397325
27542.28703338168,-14.42245799570963
28840.31503126608,-14.05540579389379
30199.51720402019,-13.7205228957488
31622.77660168381,-13.38832781818687
33113.11214825913,-13.0218807340076
34673.68504525317,-12.62671236450558
36307.80547701016,-12.19815095339209
38018.93963205612,-11.7034688142104
39810.71705534973,-11.18594362799729
41686.93834703357,-10.62514008202172
43651.58322401661,-10.05140982236575
45708.81896148752,-9.447726770630643
47863.00923226388,-8.844002071483821
50118.72336272725,-8.235719328168994
52480.74602497728,-7.60813022721338
54954.08738576245,-6.976651361780567
57543.99373371572,-6.325809758086965
60255.95860743581,-5.667652209538636
63095.73444801933,-4.987787232645936
66069.34480075965,-4.282912073396792
69183.09709189367,-3.5666437942245
72443.59600749903,-2.842793797157633
75857.75750291844,-2.138169958530102
79432.82347242818,-1.542638092529022
83176.37711026713,-1.149393038641426
87096.35899560805,-0.8944666404205758
91201.08393559101,-0.6507145179356633
95499.25860214364,-0.4589363849059011
100000,-0.3000567706142167
104712.85480509,-0.1854232968281393
109647.8196143186,-0.1130043892267705
114815.3621496883,-0.09117538306639589
120226.4434617413,-0.1110484387536733
125892.5411794167,-0.1735432694535579
131825.6738556407,-0.2840334893635535
138038.4264602886,-0.4358905663662991
144543.9770745928,-0.6298023417408767
151356.1248436209,-0.8586568331576038
158489.3192461114,-1.129580524227042
165958.6907437561,-1.564312039289406
173780.0828749376,-2.184738689385185
181970.0858609984,-2.881812734671741
190546.0717963248,-3.592902461151903
199526.2314968881,-4.285471594013197
208929.613085404,-4.97081150379918
218776.1623949553,-5.615440470370988
229086.7652767773,-6.242480006748136
239883.2919019491,-6.857441742069731
251188.6431509582,-7.441687128999072
263026.7991895382,-8.008076966571084
275422.8703338167,-8.567023721515691
288403.1503126606,-9.119672355743917
301995.1720402017,-9.62696633952633
316227.766016838,-10.15105913163808
331131.121482591,-10.66357562716034
346736.8504525317,-11.14655287077108
363078.0547701015,-11.62386968708572
380189.3963205612,-12.10907774682596
398107.1705534974,-12.57736797385686
416869.3834703353,-13.03839965042842
436515.832240166,-13.48267465883955
457088.1896148752,-13.94062367917926
478630.0923226383,-14.39457935930831
501187.2336272725,-14.83088405211802
524807.4602497725,-15.27283412197292
549540.8738576246,-15.39849524065712
575439.9373371572,-15.82364361235985
602559.5860743576,-16.25472611839826
630957.3444801933,-16.6854098086296
660693.4480075957,-17.11694908102888
691830.9709189365,-17.50998474395233
724435.9600749902,-17.92812459956336
758577.5750291836,-18.38329573674628
794328.2347242816,-18.78638357436736
831763.7711026713,-19.22055815935101
870963.5899560805,-19.64733591928627
912010.8393559098,-20.05129644221651
954992.5860214357,-20.45951782093538
1000000,-20.8856471277231
