#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-03-27 17:00:09.939
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000001,-8.196082345919457
50464.24006059372,-8.119856520406847
50932.79049786463,-7.99974390006536
51405.69133280334,-7.888317556073901
51882.98295798738,-7.759065693963644
52364.70614103135,-7.63549852214382
52850.90202806904,-7.517664451930315
53341.61214726789,-7.401507202298491
53836.87841237617,-7.272507312344617
54336.74312630292,-7.136971885629389
54841.2489847313,-7.010204075977979
55350.43907976545,-6.881514878479816
55864.35690361101,-6.753209442011451
56383.04635229024,-6.640836302104109
56906.55172939114,-6.499529183729819
57434.91774985177,-6.367023390055141
57968.18954377949,-6.2405494739414
58506.41266030572,-6.103461936656971
59049.63307147654,-5.973565082839417
59597.89717617931,-5.844283499293715
60151.25180410584,-5.700269285922076
60709.74421975236,-5.567166684317876
61273.4221264565,-5.43410352330003
61842.33367047188,-5.29478116300142
62416.52744508062,-5.171791536335553
62996.05249474367,-5.024670500437455
63580.95831929016,-4.880184505473432
64171.29487814522,-4.739407285184125
64767.11259459735,-4.600996119904883
65368.46236010527,-4.468715429429773
65975.39553864472,-4.321151951199636
66587.96397109581,-4.173363255380928
67206.21997967087,-4.030889316742131
67830.2163723836,-3.886454149922189
68460.0064475596,-3.751155989684493
69095.64399838883,-3.598117624024057
69737.18331752028,-3.449734994433808
70384.6792016995,-3.305223925022846
71038.1869564488,-3.15886004241166
71697.76240079138,-3.026740131635503
72363.4618720189,-2.865920263597568
73035.34223050364,-2.723275845786724
73713.46086455508,-2.578506165707959
74397.87569532172,-2.438977236826794
75088.64518173852,-2.302241877277909
75785.82832551992,-2.159194940621925
76489.48467619959,-2.025070374689546
77199.67433621681,-1.896887114717785
77916.45796605,-1.785953096565092
78639.89678939812,-1.656640945393488
79370.05259840998,-1.554784147375358
80106.98775896223,-1.468582226061806
80850.76521598623,-1.399664437768203
81601.44849884456,-1.305622078283013
82359.10172675733,-1.229734128663688
83123.78961427879,-1.158121429108047
83895.57747682503,-1.113864780641151
84674.53123625273,-1.045812087363553
85460.71742648998,-0.9936286040370443
86254.20319921908,-0.9412026908534326
87055.05632961242,-0.9018843609069815
87863.3452221214,-0.8429640760518737
88679.13891631906,-0.7955388926547389
89502.50709279724,-0.7508448811767264
90333.52007911824,-0.7086990580331866
91172.24885582169,-0.6615825405600879
92018.76506248752,-0.6189199069377532
92873.14100385486,-0.5837810295793691
93735.44965599803,-0.5372877573516334
94605.76467255958,-0.5003705228379638
95484.16039104167,-0.4644392952583655
96370.71183915521,-0.4361643340362521
97265.49474122857,-0.3963581982652075
98168.58552467547,-0.3630082289986223
99080.06132652296,-0.3472286455469942
100000,-0.3043002145163167
100928.4801211874,-0.2807941457081072
101865.5809957292,-0.2589288115059701
102811.3826656067,-0.2317659441199518
103765.9659159747,-0.2128125723304807
104729.4122820627,-0.1921292994111439
105701.804056138,-0.1763295626262492
106683.2242945358,-0.1570725513559156
107673.7568247523,-0.1436937082800992
108673.4862526058,-0.1330139484148106
109682.4979694626,-0.1193521843304172
110700.8781595309,-0.1107461714647848
111728.713807222,-0.1078579625298057
112766.0927045804,-0.09987868522661567
113813.1034587823,-0.09484669796415054
114869.8354997035,-0.0962633361697085
115936.379087559,-0.09597573191251289
117012.8253206114,-0.0981136109738913
118099.2661429531,-0.1000253356500291
119195.7943523586,-0.1080161712917607
120302.5036082117,-0.1224554907452678
