#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-04-02 19:15:02.087
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000001,-37.98039206956396
1047.128548050901,-37.66214840011771
1096.478196143186,-37.32701132552688
1148.153621496884,-36.93904194221782
1202.264434617413,-36.5945203026744
1258.925411794169,-36.21896394199923
1318.256738556409,-35.8657640964112
1380.384264602885,-35.44613999138508
1445.43977074593,-35.06631504284038
1513.56124843621,-34.7041932501525
1584.893192461114,-34.28768415955533
1659.586907437563,-33.89814499148333
1737.800828749376,-33.49687207184488
1819.700858609984,-33.10222010471672
1905.46071796325,-32.69377588285153
1995.262314968881,-32.26726748176637
2089.296130854041,-31.9176468545953
2187.761623949554,-31.52199569352839
2290.867652767774,-31.11300725686266
2398.832919019493,-30.71883307651871
2511.886431509582,-30.29146681190504
2630.267991895385,-29.87911917650604
2754.228703338169,-29.48615660753426
2884.031503126609,-29.06784045905951
3019.951720402019,-28.66211100657431
3162.277660168382,-28.28446191730035
3311.311214825914,-27.88953641429714
3467.368504525317,-27.48222570968461
3630.780547701017,-27.09809324229404
3801.893963205617,-26.69284620623847
3981.071705534973,-26.27664728183582
4168.693834703359,-25.89345771822638
4365.158322401665,-25.47299649313348
4570.881896148752,-25.08618974434672
4786.300923226389,-24.66799491900903
5011.87233627273,-24.2526686246765
5248.074602497728,-23.86440482357532
5495.408738576254,-23.45810700423264
5754.399373371578,-23.07012161976139
6025.59586074358,-22.65783122244102
6309.573444801937,-22.26084077944676
6606.934480075965,-21.84400882978218
6918.30970918937,-21.43642992481528
7244.359600749906,-21.04578908097895
7585.775750291844,-20.64184158411927
7943.282347242821,-20.22506089781317
8317.637711026719,-19.82850299738519
8709.635899560815,-19.42270365915407
9120.108393559105,-19.02130903151889
9549.925860214369,-18.62656566944707
10000,-18.23047877934463
10471.28548050901,-17.81176850447001
10964.78196143186,-17.39447652868384
11481.53621496883,-16.98085963683781
12022.64434617414,-16.57978780442714
12589.25411794168,-16.21369170131802
13182.56738556407,-15.8138092829282
13803.84264602886,-15.42034707162726
14454.39770745929,-15.00613068236747
15135.61248436209,-14.59033671909996
15848.93192461115,-14.16066723656057
16595.86907437562,-13.73008757660575
17378.00828749376,-13.28837790544025
18197.00858609984,-12.8538316555386
19054.60717963249,-12.43520294148188
19952.62314968881,-12.0526229992923
20892.96130854039,-11.72322826417934
21877.61623949554,-11.38693097905612
22908.67652767775,-11.02422291200089
23988.32919019491,-10.64002897142595
25118.86431509582,-10.23059845972826
26302.67991895384,-9.776367380218677
27542.28703338168,-9.302123118608515
28840.31503126608,-8.802235306395845
30199.51720402019,-8.279758123431282
31622.77660168381,-7.73747136293927
33113.11214825913,-7.17663345250905
34673.68504525317,-6.607203288372277
36307.80547701016,-6.026849190450807
38018.93963205612,-5.434565246497113
39810.71705534973,-4.837636925371775
41686.93834703357,-4.239037879598536
43651.58322401661,-3.637126008681734
45708.81896148752,-3.029330312210551
47863.00923226388,-2.442893815502632
50118.72336272725,-1.894758367087022
52480.74602497728,-1.44281118281536
54954.08738576245,-1.133327500608828
57543.99373371572,-0.9214627735172564
60255.95860743581,-0.7411342338317188
63095.73444801933,-0.5806197924028493
66069.34480075965,-0.4435366545423354
69183.09709189367,-0.3232910548483723
72443.59600749903,-0.22715411289189
75857.75750291844,-0.1559491529641433
79432.82347242818,-0.1093033832867408
83176.37711026713,-0.08516657866422697
87096.35899560805,-0.09858776490040452
91201.08393559101,-0.1175051776167491
95499.25860214364,-0.170293020318924
100000,-0.2418218769815963
104712.85480509,-0.3438077092217845
109647.8196143186,-0.4652453676778796
114815.3621496883,-0.6137199480613109
120226.4434617413,-0.7818715069381749
125892.5411794167,-0.9625729625715624
131825.6738556407,-1.200412041828744
138038.4264602886,-1.53855352569383
144543.9770745928,-2.01606572123692
151356.1248436209,-2.553018831017182
158489.3192461114,-3.107398723894172
165958.6907437561,-3.677160027076007
173780.0828749376,-4.235838538988538
181970.0858609984,-4.798445084080145
190546.0717963248,-5.350273362547931
199526.2314968881,-5.88251374063415
208929.613085404,-6.41721465435571
218776.1623949553,-6.917038898538487
229086.7652767773,-7.42361708621088
239883.2919019491,-7.929023480061577
251188.6431509582,-8.409460344737175
263026.7991895382,-8.888173627002088
275422.8703338167,-9.363262689543051
288403.1503126606,-9.846529424488956
301995.1720402017,-10.28714456579824
316227.766016838,-10.74090216580478
331131.121482591,-11.20863633804681
346736.8504525317,-11.64271004346937
363078.0547701015,-12.07694191498985
380189.3963205612,-12.51961406438154
398107.1705534974,-12.95732516511982
416869.3834703353,-13.37588373185478
436515.832240166,-13.815289305957
457088.1896148752,-14.2467313016419
478630.0923226383,-14.66575780293248
501187.2336272725,-15.08013926988956
524807.4602497725,-15.44129522603772
549540.8738576246,-15.62026155207437
575439.9373371572,-16.02110767947364
602559.5860743576,-16.44511870142177
630957.3444801933,-16.84532313965357
660693.4480075957,-17.27239233192847
691830.9709189365,-17.67894128997663
724435.9600749902,-18.07721170190778
758577.5750291836,-18.50292412620819
794328.2347242816,-18.91081707808367
831763.7711026713,-19.35357935141911
870963.5899560805,-19.77261785489631
912010.8393559098,-20.16338649241417
954992.5860214357,-20.56313031950585
1000000,-20.99539904749561
