#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-04-02 19:28:28.823
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000001,-37.89526320096947
1047.128548050901,-37.59542927433404
1096.478196143186,-37.25095916632809
1148.153621496884,-36.92433613522243
1202.264434617413,-36.54217586113164
1258.925411794169,-36.17007413072452
1318.256738556409,-35.82532889246843
1380.384264602885,-35.45179757514034
1445.43977074593,-35.03402823278
1513.56124843621,-34.67083158314914
1584.893192461114,-34.30043498551407
1659.586907437563,-33.91703319605885
1737.800828749376,-33.50688778056222
1819.700858609984,-33.11820213926131
1905.46071796325,-32.70976491791495
1995.262314968881,-32.32780186407892
2089.296130854041,-31.92380844672471
2187.761623949554,-31.5503722316991
2290.867652767774,-31.15588345053639
2398.832919019493,-30.76979996422384
2511.886431509582,-30.34839858614047
2630.267991895385,-29.93197587023785
2754.228703338169,-29.55097153160942
2884.031503126609,-29.14013468790465
3019.951720402019,-28.74632751658645
3162.277660168382,-28.35858623506258
3311.311214825914,-27.96835348549901
3467.368504525317,-27.57869975958071
3630.780547701017,-27.1812367119347
3801.893963205617,-26.79578433281178
3981.071705534973,-26.39539754782666
4168.693834703359,-25.97806944343064
4365.158322401665,-25.57658906253181
4570.881896148752,-25.18993383846659
4786.300923226389,-24.76658989104174
5011.87233627273,-24.35850588363392
5248.074602497728,-23.96444278551833
5495.408738576254,-23.57001064896508
5754.399373371578,-23.17783204434934
6025.59586074358,-22.77210208463506
6309.573444801937,-22.38726513687594
6606.934480075965,-21.97338266633228
6918.30970918937,-21.56003994395003
7244.359600749906,-21.15676774611466
7585.775750291844,-20.77313326921359
7943.282347242821,-20.37458616559637
8317.637711026719,-19.97237539222199
8709.635899560815,-19.5679902566358
9120.108393559105,-19.16092593915146
9549.925860214369,-18.7601118128869
10000,-18.38263461038841
10471.28548050901,-17.98251247162454
10964.78196143186,-17.57063536123
11481.53621496883,-17.16267488610858
12022.64434617414,-16.77413027005055
12589.25411794168,-16.3933874322796
13182.56738556407,-15.99041834275122
13803.84264602886,-15.58270946583898
14454.39770745929,-15.18296862658751
15135.61248436209,-14.77859727617318
15848.93192461115,-14.35629232213108
16595.86907437562,-13.9832185803782
17378.00828749376,-13.60680676399151
18197.00858609984,-13.21990382648256
19054.60717963249,-12.82521081413559
19952.62314968881,-12.41937485621678
20892.96130854039,-12.01647946591067
21877.61623949554,-11.59794474160585
22908.67652767775,-11.17447538067504
23988.32919019491,-10.74332537908332
25118.86431509582,-10.33609963738605
26302.67991895384,-9.946172642953607
27542.28703338168,-9.611546728776508
28840.31503126608,-9.276740506277445
30199.51720402019,-8.919892340584617
31622.77660168381,-8.538484309288235
33113.11214825913,-8.137855046935577
34673.68504525317,-7.719662684547588
36307.80547701016,-7.274513466770252
38018.93963205612,-6.811809693547938
39810.71705534973,-6.333549404906358
41686.93834703357,-5.838428019997053
43651.58322401661,-5.330831255197285
45708.81896148752,-4.810686887092214
47863.00923226388,-4.291440589687281
50118.72336272725,-3.771845845511783
52480.74602497728,-3.239109891984224
54954.08738576245,-2.722602614323339
57543.99373371572,-2.226585052410336
60255.95860743581,-1.768005120054861
63095.73444801933,-1.419236647162741
66069.34480075965,-1.169227992547841
69183.09709189367,-0.9983784889301093
72443.59600749903,-0.8529395258936213
75857.75750291844,-0.724065012735341
79432.82347242818,-0.6070384848613275
83176.37711026713,-0.5006195730844807
87096.35899560805,-0.4176591056925061
91201.08393559101,-0.3272404089467754
95499.25860214364,-0.2571498922392688
100000,-0.2016003399451838
104712.85480509,-0.1600309308939289
109647.8196143186,-0.1290398487347782
114815.3621496883,-0.1136097440296111
120226.4434617413,-0.1075150373736419
125892.5411794167,-0.1120857554567075
131825.6738556407,-0.131224220614785
138038.4264602886,-0.162068874674757
144543.9770745928,-0.2109512552483392
151356.1248436209,-0.2702781545046533
158489.3192461114,-0.3349560864531126
165958.6907437561,-0.42188443401041
173780.0828749376,-0.5151887914321591
181970.0858609984,-0.6235479094313348
190546.0717963248,-0.751626513011291
199526.2314968881,-0.8790265562418541
208929.613085404,-1.030544802838733
218776.1623949553,-1.228923391699285
229086.7652767773,-1.505743277363334
239883.2919019491,-1.888779800577529
251188.6431509582,-2.307337186432246
263026.7991895382,-2.753588814558862
275422.8703338167,-3.216795074997269
288403.1503126606,-3.699410254909519
301995.1720402017,-4.160207963752188
316227.766016838,-4.634680419490317
331131.121482591,-5.115752566104735
346736.8504525317,-5.571433579121222
363078.0547701015,-6.029789185402469
380189.3963205612,-6.498304636060507
398107.1705534974,-6.954262364333324
416869.3834703353,-7.397644823891888
436515.832240166,-7.842413284411734
457088.1896148752,-8.284070786330235
478630.0923226383,-8.723703795055805
501187.2336272725,-9.163836632894233
524807.4602497725,-9.598748271709534
549540.8738576246,-10.03304216178039
575439.9373371572,-10.23902650739092
602559.5860743576,-10.64892400296046
630957.3444801933,-11.04680921488332
660693.4480075957,-11.49290538935913
691830.9709189365,-11.88847497295781
724435.9600749902,-12.3157865385396
758577.5750291836,-12.7454620639265
794328.2347242816,-13.14847300576169
831763.7711026713,-13.58776706132935
870963.5899560805,-14.01305448768393
912010.8393559098,-14.41586328476586
954992.5860214357,-14.83411928680045
1000000,-15.24975162323484
