#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-04-02 19:29:17.140
#Start: 40000 Hz
#Stop: 300000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
40000.00000000001,-6.177040500318732
40540.93242641333,-6.08235794151671
41089.18005007527,-5.949110379223578
41644.84179667078,-5.816585583381404
42208.01792968755,-5.674549373023825
42778.81006850762,-5.532071193247795
43357.32120674341,-5.394731505446909
43943.65573082203,-5.239103727953842
44537.91943882065,-5.091840758465503
45140.2195595567,-4.945299084244829
45750.6647719362,-4.788544841634587
46369.36522456382,-4.644014678151818
46996.43255561803,-4.490391200730692
47631.97991299503,-4.335323937134568
48276.12197472518,-4.185433251220583
48928.97496966551,-4.031200421718843
49590.65669847192,-3.879041928136896
50261.28655485527,-3.735332215068929
50940.98554712459,-3.573660094965319
51629.87632002187,-3.423223297455438
52328.08317685207,-3.268195585714487
53035.73210191237,-3.121078104131414
53752.95078322472,-2.970430306507196
54479.86863557583,-2.818032357278739
55216.61682386883,-2.670261183569686
55963.32828679056,-2.518821827532434
56720.13776079901,-2.380444229177646
57487.18180443516,-2.232364331612462
58264.59882296355,-2.091027334487186
59052.52909334616,-1.961296551451068
59851.11478955381,-1.831947464045431
60660.50000822017,-1.708252375465832
61480.83079464245,-1.590771570499478
62312.25516913374,-1.50153009473005
63154.92315373186,-1.414116703053948
64008.98679926922,-1.333852217075102
64874.60021280887,-1.261347279344327
65751.91958545157,-1.20005935207127
66641.10322051884,-1.127048899057943
67542.3115621172,-1.078589061077111
68455.70722408869,-1.038647804107487
69381.45501935283,-0.9886564522469145
70319.72198964545,-0.9466651997402471
71270.67743565961,-0.9057223760970692
72234.49294759442,-0.8649783296409994
73211.34243611635,-0.8247393653312461
74201.40216373994,-0.7861845982111306
75204.85077663249,-0.7524282084673993
76221.86933684885,-0.7126085554410992
77252.64135500234,-0.678432813225806
78297.35282337728,-0.6441168555748743
79356.19224948953,-0.610959827581202
80429.35069010041,-0.58136711025627
81517.02178569148,-0.5457572887849691
82619.40179540451,-0.5154503461765267
83736.6896324546,-0.4958900799472655
84869.08690002216,-0.4584027360638465
86016.79792762992,-0.4317904672233132
87180.02980801233,-0.4136018942897123
88358.99243448314,-0.3821504529937345
89553.89853880863,-0.3611155080413497
90764.96372959287,-0.3340874024252069
91992.40653118196,-0.313322720465131
93236.44842309474,-0.3018884356823344
94497.31387998635,-0.2723250347064918
95775.23041215236,-0.259709784932967
97070.42860658084,-0.2384194605053689
98383.14216855928,-0.2204831273991841
99713.60796384439,-0.2073053323483925
101062.0660614021,-0.190902195491437
102428.7597767255,-0.1877659735516028
103813.9357157387,-0.1670943945923273
105217.8438192945,-0.1676906063699397
106640.7374082732,-0.1465781376541863
108082.8732292922,-0.1437434973100586
109544.5115010333,-0.1308448037089525
111025.9159611961,-0.126871722749936
