#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-04-02 19:16:29.429
#Start: 40000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
40000.00000000001,-4.712439073820152
40431.49418068973,-4.622034940209912
40867.64304207868,-4.478544820047895
41308.49679585773,-4.348969158870278
41754.10619536904,-4.218090874824262
42204.5225414491,-4.077431623986965
42659.7976883347,-3.941126205981784
43119.98404963263,-3.800330782826885
43585.13460435389,-3.668311377983482
44055.30290301282,-3.520902766180212
44530.54307379214,-3.380449534744678
45010.90982877451,-3.255158003145262
45496.45847024114,-3.100079052386861
45987.24489703868,-2.958859692775333
46483.32561101431,-2.834286198973486
46984.75772352076,-2.684234377147351
47491.59896199116,-2.545763057177534
48003.90767658489,-2.423182281332192
48521.74284690521,-2.279821585439235
49045.16408878929,-2.150147470193649
49574.23166117143,-2.020216116026652
50109.00647302042,-1.903297929061092
50649.55009035172,-1.782261776088218
51195.9247433152,-1.664834284362113
51748.19333335945,-1.561072876834724
52306.41944047322,-1.474247867045035
52870.66733050522,-1.396912599679728
53441.00196256261,-1.333620652260611
54017.48899648945,-1.248079296603342
54600.19480042587,-1.178767382732087
55189.18645844859,-1.115449157370947
55784.53177829411,-1.061405608434578
56386.29929916499,-1.024220519503125
56994.55829962045,-0.9724336158795875
57609.37880555216,-0.924882949157982
58230.83159824579,-0.8771461286963818
58858.98822252994,-0.8353157988989104
59493.92099501263,-0.8115757452835841
60135.70301240667,-0.7556406108546734
60784.40815994515,-0.7161670236294289
61440.11111988727,-0.6783433250654497
62102.8873801163,-0.6409437008109187
62772.81324283005,-0.6095957325132647
63449.96583332514,-0.5691892861374912
64134.4231088762,-0.5345948106826542
64826.26386771051,-0.5016201071755451
65525.56775807984,-0.4824034692509565
66232.41528742989,-0.4394952966421408
66946.88783166866,-0.4126470877788665
67669.06764453498,-0.3826681915619229
68399.03786706788,-0.3609554078767477
69136.88253717829,-0.3309223698576316
69882.68659932382,-0.3061275628776703
70636.53591428811,-0.2844882779783274
71398.51726906552,-0.2656233519732118
72168.71838685244,-0.2415290659726138
72947.22793714648,-0.2218196672440467
73734.13554595463,-0.2039055253403846
74529.53180611131,-0.1929604739876517
75333.50828770795,-0.1723226894790036
76146.15754863515,-0.1588299699892668
76967.57314523812,-0.1459523492924891
77797.84964308764,-0.1472463137489653
78637.0826278668,-0.1239316783411677
79485.36871637535,-0.1160528691267347
80342.80556765267,-0.1086583735447737
81209.49189422086,-0.1067416791199438
82085.52747344902,-0.09693626237470226
82971.01315904001,-0.09378676650446381
83866.0508926414,-0.105888582382205
84770.74371558148,-0.09058672529473785
85685.19578073182,-0.09173499750409202
86609.51236449795,-0.09759664783554967
87543.79987893936,-0.09854942917130657
88488.16588402007,-0.1016784978660635
89442.71909999159,-0.1088373935425781
90407.5694199094,-0.1195515802876395
91382.82792228421,-0.1230724787871874
92368.60688387013,-0.1351719813238277
93365.01979259029,-0.1497322717434868
94372.18136060238,-0.1594162589445074
95390.20753750477,-0.1718658029788032
96419.21552368523,-0.1938727991773251
97459.32378381368,-0.2054802559779423
98510.65206048047,-0.2230743731351203
99573.32138798165,-0.2450400208097176
100647.4541062532,-0.26465679167728
101733.1738749553,-0.2867017552243006
102830.6056877088,-0.3090839004909574
103939.875886485,-0.3326439721857354
105061.1121761507,-0.3672094283020736
106194.4436391707,-0.3862199661060653
107340.0007504678,-0.4158922845521964
108497.9153924443,-0.4514133062948605
109668.3208701644,-0.472157505300734
110851.3519267016,-0.5055734784070126
112047.1447586506,-0.5400705990862429
113255.837031807,-0.5726495737657036
114477.5678970163,-0.6210209295116204
115712.4780061932,-0.6429961585870647
116960.7095285146,-0.6834113109735008
118222.406166787,-0.7200643304798358
119497.7131739897,-0.7583548638596939
120786.7773699973,-0.8070704471011723
122089.7471584828,-0.8421405458004684
123406.7725440019,-0.8938415943258313
124738.0051492629,-0.9308593232872688
126083.5982325817,-0.977152038949874
127443.7067055262,-1.020814710232556
128818.4871507502,-1.07148476668816
130208.0978400203,-1.135093203071366
131612.6987524365,-1.199382794310084
133032.4515928501,-1.271829701054765
134467.5198104802,-1.34148316086831
135918.0686177302,-1.432379519178602
137384.2650092087,-1.512078737495408
138866.2777809539,-1.629061909752166
140364.277549867,-1.72299061730913
141878.4367733541,-1.848774363704075
143408.9297691805,-1.950464243710385
144955.9327355391,-2.086704136581822
146519.623771335,-2.193517779959675
148100.1828966895,-2.331507533446074
149697.7920736646,-2.447337310354458
151312.6352272118,-2.579154100273669
152944.898266346,-2.705641567903102
154594.7691055487,-2.837021776321021
156262.4376864017,-2.965231945804714
157948.0959994535,-3.096549709681106
159651.9381063231,-3.231103054386821
161374.160162041,-3.361221374028569
163114.9604376313,-3.500466024979342
164874.5393429381,-3.625110053384044
166653.0994496976,-3.761023046702299
168450.8455148588,-3.889747213156464
170267.9845041569,-4.020999282395685
172104.7256159397,-4.154378482271301
173961.2803052517,-4.281008543167679
175837.862308178,-4.416297378586034
177734.6876664505,-4.546955552132168
179651.9747523199,-4.676524298055778
181589.944293696,-4.821872252418149
183548.8193995585,-4.931040887986295
185528.825585643,-5.057231726500184
187530.1908004031,-5.196921693043238
189553.1454512533,-5.313654748611423
191597.9224310945,-5.438339530335204
193664.757145126,-5.570706692711679
195753.8875379463,-5.690237715818039
197865.5541209466,-5.811138545698332
200000,-5.9470505046048
