#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-04-07 22:32:52.408
#Start: 1000 Hz
#Stop: 5e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-16.03458189091237
1058.424294923851,-15.59463794352536
1120.26198808505,-15.1235233012154
1185.712504868912,-14.65150536457344
1254.986921948269,-14.15983219411004
1328.308648001751,-13.67467516648919
1405.914144202507,-13.18857500628398
1488.053686801006,-12.70157899047805
1574.992174261191,-12.2297645025788
1667.009981552986,-11.73861159658182
1764.403864356239,-11.25137286725533
1867.48791609217,-10.78644130055936
1976.594580868665,-10.29630520482006
2092.075725606221,-9.833339562877653
2214.303774802068,-9.350617955590256
2343.6729115921,-8.880133238512999
2480.600348983997,-8.411945246341624
2625.527675361243,-7.94893611637894
2778.922278597281,-7.48986950673814
2941.278853372508,-7.030901879177991
3113.120996555226,-6.572376070156047
3295.002895791604,-6.121518897425988
3487.511116750276,-5.675496820409372
3691.266494785498,-5.235306359909792
3906.926137119376,-4.803364747389341
4135.185542000135,-4.374377563783185
4376.780841670799,-3.954576774012335
4632.491176381629,-3.545390823430517
4903.141207102686,-3.14483906554663
5189.60377503974,-2.758760151140585
5492.802716530587,-2.387102827293414
5813.715842399698,-2.035825056028027
6153.378091379528,-1.710020007580802
6512.884867768241,-1.433887616432871
6893.395574087818,-1.231174802386533
7296.137350135093,-1.048042117795235
7722.409030484302,-0.9347879423873566
8173.585333203926,-0.8458945920541062
8651.121293296303,-0.766337196574868
9156.556955157843,-0.6939233951702638
9691.522339193012,-0.626153453661208
10257.74269859912,-0.5663040676914362
10857.04408327505,-0.5127229170749691
11491.35922879754,-0.4662514443613265
12162.73378945674,-0.4229053376550843
12873.33293545225,-0.3818154114872322
13625.44833552602,-0.3464628482833882
14421.50554755048,-0.3169258025086278
15264.07184090652,-0.2889647253639875
16155.86447587848,-0.2625709042613085
17099.75946676697,-0.2399954059211976
18098.80085698029,-0.2199933348952114
19156.21053601653,-0.2011385002116819
20275.39862999611,-0.1864300721848595
21459.97449925365,-0.1728690630473145
22713.75837845639,-0.1606523109241939
24040.79369678839,-0.1505506716997204
25445.36011793301,-0.1402727897584941
26931.98734190672,-0.1310271348653148
28505.46971325566,-0.1226668734380806
30170.88168272581,-0.1133127421906161
31933.59417227003,-0.10734652690616
33799.29189616926,-0.1011373236552871
35773.99169412834,-0.1053162688135249
37864.06193546952,-0.09262012764915396
40076.24305700231,-0.08749548592458302
42417.6693008045,-0.08498248389317516
44895.89172201711,-0.08918669213680229
47518.90254085352,-0.08000173131705814
50295.16091735802,-0.09274966117465309
53233.62023203628,-0.08504476918256496
56343.75696033708,-0.08385214157759641
59635.60123410552,-0.08223614283505294
63119.76918856806,-0.0732194104491784
66807.49719916639,-0.07146354981268761
70710.67811865476,-0.06932357074313436
74841.89963132453,-0.08231106953836527
79214.48484804624,-0.07133334090924573
83842.53527304941,-0.08169847871596858
88740.97628100532,-0.06987829639626301
93925.60525107727,-0.07022335443125118
99413.14251316742,-0.07870982803671445
105221.2852706634,-0.08481602384229388
111368.7646735833,-0.08843148619255115
117875.4062261777,-0.07813921338124122
124762.1937238045,-0.07849442152158935
132051.3369252708,-0.07981561231552564
139766.3431788814,-0.08039848198979295
147932.0932331926,-0.09514850071291836
156574.9214769513,-0.08720970673328565
165722.7008669993,-0.09280369207778048
175404.9328180301,-0.1074648932641276
185652.8423440887,-0.09850288988905927
196499.4787586509,-0.1081226965924184
207979.8222580294,-0.1084827293918244
220130.8967318424,-0.1154106231963662
232991.8891643553,-0.1245228608185615
246604.2760117587,-0.1301761134544888
261011.9569629523,-0.1493280298275335
276261.3965152074,-0.1607487827635295
292401.7738212866,-0.159012987093787
309485.1412912785,-0.1761492896496045
327566.5924606298,-0.1881135865402234
346704.4396657504,-0.2046953609883686
366960.4021001906,-0.2169040157383495
388399.8048578667,-0.2336522947982911
411091.789605249,-0.2564091578767357
435109.5375619197,-0.2878861393220976
460530.5055086171,-0.3070249344562411
487436.675583883,-0.3353222280304938
515914.8196748967,-0.3645378788462949
546056.7792551683,-0.4023020917224921
577959.7615715405,-0.4432699287767012
611726.653135714,-0.4928599831473136
647466.3515312955,-0.5300195519334081
685294.1166064297,-0.5908471653123443
725331.9421846229,-0.6435609994952786
767708.949492507,-0.7156787570603029
812561.8035733363,-0.7698502243820137
860035.1540291613,-0.8649514839193932
910282.1015130405,-1.008375892725146
963464.6914757404,-1.227452607918106
1019754.436759236,-1.497683497579579
1079332.870722362,-1.797578383572371
1142392.132682452,-2.128068326043915
1209135.587560979,-2.410486594568673
1279778.481731564,-2.74215015909315
1354548.637185448,-3.108687369542587
1433687.186253071,-3.498441558282814
1517449.349251264,-3.896761943530111
1606105.257563926,-4.297251646651156
1699940.824810587,-4.696383783592799
1799258.668912415,-5.109473849881711
1904379.08802925,-5.494888790452084
2015641.093515083,-5.939653292766657
2133403.503223242,-6.307709578348401
2258046.098687132,-6.727120173497964
2389970.84990848,-7.183353839616778
2529603.21170294,-7.797142058826131
2677393.49578379,-7.4752210585082
2833818.323008663,-7.947083953280304
2999382.160472731,-8.319394570922331
3174618.948405528,-8.712314049799749
3360093.822118018,-8.998387461949694
3556404.934553247,-9.489422765082447
3764185.385318225,-10.0994996449407
3984105.262418107,-10.59098222174279
4216873.803277285,-11.0808658114707
4463241.682016619,-11.63877770176108
4724003.430363178,-12.18512647627899
5000000,-12.81508295531366
