#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2026-04-07 22:35:22.581
#Start: 20000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
20000,-0.1924655070598286
20309.37984866161,-0.187945699268721
20623.5454918611,-0.1841945985954409
20942.57096101799,-0.1845657213392551
21266.53143274322,-0.1753393097359718
21595.50324655419,-0.1717136860334291
21929.5639228637,-0.177609098350863
22268.79218124723,-0.1644561364487629
22613.26795899278,-0.1609023916920057
22963.07242993766,-0.1653468003294636
23318.28802359663,-0.1558835856566348
23678.99844458604,-0.1515005475265046
24045.28869234826,-0.1520140618841913
24417.24508118142,-0.14574364603555
24794.95526057889,-0.1423620590363245
25178.50823588335,-0.1567595410716694
25567.99438926047,-0.1379765841570541
25963.50550099698,-0.135602588823423
26365.13477112814,-0.132606159454479
26772.97684139986,-0.1404890179155679
27187.12781757051,-0.1282002654638282
27607.6852920577,-0.1260748239562216
28034.7483669354,-0.1289276240017764
28468.41767728683,-0.1242306451573624
28908.79541491855,-0.1211184271390157
29355.98535244139,-0.1183239156687459
29810.09286772392,-0.1280340613924416
30271.22496872416,-0.1151434423949897
30739.49031870543,-0.1124079366540737
31214.99926184223,-0.1201822998085924
31697.86384922227,-0.1095348327696331
32188.1978652507,-0.1087716670315372
32686.11685446275,-0.1133104187927135
33191.73814875121,-0.1050100894820327
33705.18089501503,-0.1033401763897597
34226.56608323562,-0.1097849472755639
34756.01657498751,-0.1004119788858279
35293.65713239001,-0.1001597434482182
35839.61444750668,-0.1128989895374604
36394.01717219967,-0.0962111589371884
36956.99594844582,-0.09527094234269326
37528.68343912171,-0.1002787426915157
38109.21435926494,-0.09377505472015463
38698.72550781904,-0.09516761018139486
39297.35579986935,-0.09109623227725944
39905.24629937759,-0.09048930560324414
40522.54025242287,-0.09716404333434869
41149.38312095679,-0.09078531623076659
41785.9226170808,-0.09152755993361267
42432.30873785369,-0.08605399854518342
43088.69380063767,-0.08615510360284252
43755.23247899106,-0.08476549041686024
44432.08183911623,-0.08413397963655211
45119.40137687152,-0.09084360231458789
45817.35305535546,-0.08245467034876869
46526.10134307252,-0.09680765231123886
47245.81325268924,-0.08292218146879195
47976.65838038981,-0.08856214009564631
48718.80894584054,-0.0797133731018522
49472.43983277243,-0.07998864770369442
50237.7286301916,-0.0913788323894871
51014.85567422719,-0.07629262363174838
51804.00409062648,-0.0772993516135709
52605.35983790763,-0.07899696659537594
53419.11175117971,-0.09175147562152568
54245.45158664057,-0.07716881532900519
55084.57406676333,-0.07608214796961033
55936.67692618154,-0.07651447693368664
56801.9609582843,-0.0817463178805817
57680.63006253211,-0.07559972180227038
58572.89129250473,-0.07516952505623206
59478.95490469212,-0.09030963192405136
60399.03440804032,-0.07391803786017045
61333.34661426366,-0.072873786564324
62282.11168893519,-0.07935653077252412
63245.55320336759,-0.0717411576771758
64223.89818729646,-0.07365300073240011
65217.37718237865,-0.07492275774759442
66226.22429651822,-0.07141757084853621
67250.67725903253,-0.07295911339327728
68290.97747667204,-0.07611196036811756
69347.37009050633,-0.07079863185418522
70420.10403369038,-0.07342736134680898
71509.43209012428,-0.08134306880942301
72615.61095402029,-0.07247618018741342
73738.9012903915,-0.07081549736218659
74879.56779647623,-0.0816234465606748
76037.87926411223,-0.07379324028385643
77214.10864307627,-0.07097196385700423
78408.53310540305,-0.07271556942152668
79621.43411069944,-0.07206275108171069
80853.09747246886,-0.08702082450351906
82103.81342546157,-0.07303767951105886
83373.87669406709,-0.072734049444831
84663.58656176418,-0.07116310033025942
85973.24694164553,-0.07215951094960914
87303.1664480332,-0.07470221952318702
88653.65846920176,-0.07087022681358907
90025.04124122673,-0.08827872670946453
91417.63792297502,-0.07302175930692963
92831.77667225557,-0.0781119843103195
94267.79072314809,-0.07343132880451174
95726.01846452769,-0.0739239693912595
97206.80351980434,-0.07354182079485566
98710.49482789614,-0.07347095225702437
100237.4467254544,-0.07311151099050156
101788.0190303618,-0.07352083793027377
103362.5771265207,-0.07469163247320486
104961.4920499545,-0.07869577393877625
106585.1405762401,-0.07326288730379958
108233.9053092927,-0.08570459652989651
109908.1747715249,-0.07692159926107443
111608.3434953993,-0.0823603008870511
113334.8121163982,-0.07746661740837787
115087.9874674314,-0.07685891516934419
116868.2826747035,-0.07611358446939628
118676.1172550656,-0.07808525425344348
120511.9172148716,-0.0935357649213521
122376.1151503644,-0.07864643269863263
124269.1503496151,-0.07964792371201654
126191.4688960387,-0.08086158642738706
128143.5237735108,-0.08027431404545558
130125.7749731114,-0.08423482781682241
132138.6896015192,-0.08178750668103632
134182.7419910822,-0.08113351439592305
136258.4138115923,-0.08286873425736878
138366.1941837873,-0.08438989641239061
140506.5797946104,-0.08484478514352686
142680.0750142513,-0.08386544751464139
144887.192014998,-0.09853383535393986
147128.4508919283,-0.08365594854996225
149404.3797854663,-0.08658202215039669
151715.5150058368,-0.08648439977068759
154062.4011594429,-0.1014665728283831
156445.5912772005,-0.08862887871018116
158865.6469448563,-0.08838351835005989
161323.1384353227,-0.08994367260850641
163818.6448430594,-0.09284489875162485
166352.7542205342,-0.1089497727059335
168926.0637167937,-0.09431693660631521
171539.1797181788,-0.09532188950033807
174192.7179912161,-0.09520972693237541
176887.3038277199,-0.09782249513442456
179623.5721921389,-0.09784427032224242
182402.1678711819,-0.09830819005202585
185223.7456257587,-0.1022462332564881
188088.9703452704,-0.1060007292364142
190998.5172042872,-0.109176488063307
193953.0718216499,-0.1141227635302813
196953.3304220316,-0.1187506771293847
200000,-0.1184364680890349
