#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 17:52:31.325
#Start: 970 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
970.0000000000008,-30.20827803379675
1031.636238701903,-30.21144845397957
1097.188998972175,-30.20847899815377
1166.907146437897,-30.20908408696928
1241.055360273775,-30.20826075772906
1319.915138034715,-30.2083107252556
1403.785864337975,-30.20395680247739
1492.985947452089,-30.19991439495679
1587.854028107496,-30.1960509894876
1688.750265118023,-30.1929246998197
1796.057702694017,-30.20713446989051
1910.183724637977,-30.19173176840149
2031.561600943413,-30.19057775556927
2160.652132668535,-30.18656212693606
2297.94540132929,-30.19426394704884
2443.962629453282,-30.17700792215748
2599.258159357933,-30.17427862611461
2764.421557665202,-30.17264156724668
2940.079853542461,-30.1668956650887
3126.899919166789,-30.1648018871634
3325.591001450006,-30.15721393387732
3536.907414635857,-30.14616573878982
3761.651403991553,-30.13404052971805
4000.676191465539,-30.12277520323671
4254.889214873985,-30.11687124057825
4525.255572913285,-30.10209271908828
4812.801689077406,-30.07789312554365
5118.619208389669,-30.05747894367832
5443.86914174271,-30.03382503817979
5789.786273580211,-30.01708057954175
6157.683849653808,-29.99130446441798
6548.958562651862,-29.96071548334726
6965.095854627614,-29.92439200001037
7407.675556356955,-29.87823134631403
7878.377885035168,-29.83715414670115
8378.989823082404,-29.80495783727914
8911.411902274485,-29.74486249709839
9477.665418954452,-29.6724503398397
10079.90010771676,-29.61031884915599
10720.40230269672,-29.51987964301826
11401.60361744872,-29.42604001782162
12126.09017636578,-29.31887889541989
12896.61243268668,-29.21872826205545
13716.095610364,-29.09457465875669
14587.65080943464,-28.95479777943724
15514.58681705352,-28.79355944163631
16500.42266903012,-28.62376816477027
17548.90100955654,-28.43889820273302
18664.00229984632,-28.23975671132656
19849.95992962589,-28.03006861289433
21111.27628884817,-27.76979132763747
22452.7398606433,-27.50371818977444
23879.44340039829,-27.22735698367872
25396.80326998128,-26.90758430955554
27010.580000511,-26.57255047964441
28726.90016173611,-26.22042829598564
30552.27962104999,-25.83469145004291
32493.64828044206,-25.42046902998634
34558.37638529673,-24.98918311144257
36754.30250491973,-24.52009875906864
39089.76329101784,-24.03004505082828
41573.62512710659,-23.49805399686627
44215.31778900115,-22.94059999347979
47024.87024417982,-22.34679708984039
50012.9487259286,-21.72581822928507
53190.89722681246,-21.05438360709634
56570.78056520435,-20.34457432288629
60165.43018836918,-19.56460290907193
63988.49288599088,-18.7378376426886
68054.48259907941,-17.84389644377519
72378.83552094676,-16.87203970572619
76977.96869943634,-15.80509492857963
81869.34236288579,-14.6391507359954
87071.526206439,-13.37345007415391
92604.26989035564,-11.97772256736443
98488.57801796109,-10.55400453062809
104746.7898778849,-9.280513756860891
111402.6642533191,-8.514788417790593
118481.4696202733,-8.539305547812868
126010.0800772499,-9.346316773294014
134017.0773705358,-10.57996763528775
142532.8594024345,-11.96030613771332
151589.7556343861,-13.32243279459735
161222.1498230914,-14.60735889244155
171466.6105555966,-15.80280750641028
182362.0300789067,-16.91235779504351
193949.7719511821,-17.94893021668916
206273.828075061,-18.90656924923087
219380.9857092772,-19.80577405443159
233321.005092613,-20.6653170303759
248146.8083545265,-21.46731317362625
263914.6804296346,-22.25745120210686
280684.4827388069,-22.98931499961158
298519.8804480949,-23.71171668926823
317488.5841682621,-24.40352630315367
337662.6070125136,-25.09045875470072
359118.5379883177,-25.75771167466324
381937.8327612312,-26.40408300972555
406207.1228945908,-27.04315603889415
432018.5447390692,-27.68693852082119
459470.089220704,-28.31251716598382
488665.9738553349,-28.91853395410866
519717.0384017733,-29.53530015013765
552741.1656557705,-30.14616096606559
587863.7289822934,-30.75633191555449
625218.0682851208,-31.36951223374856
664945.9962207543,-31.9776077561257
707198.3365784213,-32.61020527857382
752135.4968701075,-33.23686170919652
799928.0773043967,-33.83972953539433
850757.5184560327,-34.48324882117597
904816.7900900479,-35.1522929001612
962311.1237554912,-35.81084830891088
1023458.791930016,-36.46173245290473
1088491.936673273,-37.1568560745846
1157657.450935016,-37.84319397158522
1231217.915863744,-38.56566468489402
1309452.597674298,-39.33633560759429
1392658.507858915,-40.10496278115433
1481151.530766779,-40.95604315490971
1575267.622832789,-41.81501032095479
1675364.088008356,-42.72890039677104
1781820.934236272,-43.72128226753716
1895042.316119398,-44.77334542556133
2015458.069260164,-45.90092519235434
2143525.34209583,-47.14445899095148
2279730.33142469,-48.5284661535481
2424590.12821197,-50.12054230224928
2578654.680682846,-51.93692296102897
2742508.882155366,-54.16943459934666
2916774.791539507,-56.90724950741235
3102113.994932311,-59.62373926226086
3299230.117274746,-60.98892677974078
3508871.493605522,-59.60540279903703
3731834.01005312,-57.23951767405037
3968964.125351588,-54.9266830854478
4221162.084351026,-53.09244269190983
4489385.335722658,-51.63446755445618
4774652.166833404,-50.3612619175602
5078045.569589587,-49.30269983962737
5400717.351926045,-48.43447331937426
5743892.510549569,-47.72698616568959
6108873.881537512,-47.1175852270231
6497047.086447066,-46.53347389014978
6909885.792712785,-46.11851844146339
7348957.308303026,-45.74536879903849
7815928.531874839,-45.4115202697755
8312572.28101674,-45.17712621533374
8840774.022603925,-44.9519220876265
9402539.03081711,-44.77993714658491
10000000,-44.60095407297158
