#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 17:23:04.822
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 21.5288 V
#Offset: 0.000273979 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-17.93097344962883
1063.326571637164,-17.93073214791154
1130.663397949641,-17.92134513363054
1202.264434617416,-17.91378915295152
1278.399719463026,-17.91364561234794
1359.356390878528,-17.90632480119808
1445.439770745931,-17.8933172000959
1536.974515935274,-17.88333193989651
1634.305842723141,-17.87086482629247
1737.80082874938,-17.86239837901011
1847.849797422294,-17.8412987880936
1964.867789993472,-17.8196120701537
2089.296130854043,-17.8111007873762
2221.604091955816,-17.78348589550747
2362.290662634467,-17.75774800237997
2511.886431509585,-17.74189344441417
2670.955587558991,-17.6921287957536
2840.098047914219,-17.65912894881961
3019.951720402022,-17.62265874538646
3211.19490936483,-17.58228843732927
3414.548873833608,-17.51298843327688
3630.780547701021,-17.46961853895009
3860.705432153823,-17.41725819910586
4105.190671273087,-17.33425153706412
4365.158322401669,-17.26031405624996
4641.588833612786,-17.17298997661667
4935.524741394816,-17.06248221992509
5248.074602497733,-16.97940034806694
5580.417174769976,-16.87202009444673
5933.805862753293,-16.73345379864346
6309.573444801943,-16.60126308898288
6709.137099554126,-16.43385145003208
7134.003750712579,-16.26605760469863
7585.775750291851,-16.08480337722663
8066.156921766152,-15.87048695425521
8576.958985908963,-15.64118893356966
9120.108393559114,-15.40918208647933
9697.653591082517,-15.16549913837242
10311.77274593057,-14.8929308866894
10964.78196143186,-14.60570865672467
11659.14401179832,-14.29897582250159
12397.47763028945,-13.97153062263086
13182.56738556409,-13.63688209565297
14017.37418346771,-13.29436936552125
14905.04643386197,-12.93914964192793
15848.93192461116,-12.53157886977634
16852.59044750753,-12.11892661410176
17919.80722375336,-11.69715669760744
19054.6071796325,-11.25097708907295
20261.27012621145,-10.80146694357651
21544.34690031884,-10.33146739024961
22908.67652767777,-9.858583328378446
24359.40447292029,-9.351574515647044
25902.00204531325,-8.833355468191451
27542.28703338169,-8.31387818033183
29286.4456462524,-7.768747242348944
31141.05584446762,-7.199698026094405
33113.11214825914,-6.62307533650191
35210.05201684524,-6.021706430509041
37439.78389823814,-5.41846976997414
39810.71705534978,-4.772370326934811
42331.79328088216,-4.108373423291905
45012.52062061341,-3.433703317182132
47863.00923226385,-2.69865280845398
50894.00951518099,-1.932774341825875
54116.95265464643,-1.137110441715875
57543.99373371572,-0.2900309082077836
61188.05757518225,0.6093527886111548
65062.8874865558,1.582853979828078
69183.09709189369,2.64524145870653
73564.22544596421,3.817333616806327
78222.79563860038,5.121108877900071
83176.37711026717,6.614915862653349
88443.65191386007,8.333881919593798
94044.48517263534,10.3358393166305
100000.0000000001,12.58009845595168
106332.6571637163,14.55656747308601
113066.339794964,15.00825424848895
120226.4434617414,13.69737511769704
127839.9719463024,11.71826923149498
135935.6390878527,9.727024930694434
144543.977074593,7.949414005953217
153697.4515935273,6.370208609398032
163430.5842723139,4.963428766994177
173780.0828749378,3.719291435172629
184784.9797422292,2.573311820387849
196486.778999347,1.540351073661229
208929.6130854041,0.5644724881672992
222160.4091955814,-0.3207647136388889
236229.0662634465,-1.181331932247593
251188.6431509582,-1.98340402884319
267095.5587558988,-2.762711612129751
284009.8047914217,-3.506437806333425
301995.1720402019,-4.218345878976066
321119.4909364826,-4.91882535309967
341454.8873833602,-5.594082700877538
363078.0547701016,-6.266817811674008
386070.5432153813,-6.926102659961647
410519.0671273081,-7.575597636115585
436515.8322401663,-8.203155509612111
464158.8833612779,-8.834871802683928
493552.4741394809,-9.468187538272234
524807.4602497731,-10.09013736645756
558041.7174769967,-10.72005125264386
593380.5862753284,-11.3713546740455
630957.3444801933,-12.00017505889141
670913.7099554116,-12.6398865207377
713400.3750712569,-13.27678844355341
758577.575029184,-13.93205231799443
806615.692176614,-14.61039966368085
857695.8985908942,-15.28535095435989
912010.8393559101,-16.00658145888759
969765.3591082501,-16.72464323925285
1031177.274593055,-17.45032690108799
1096478.196143186,-18.22374740593131
1165914.401179833,-19.02550452282323
1239747.763028945,-19.87842626463196
1318256.738556408,-20.79854466756397
1401737.41834677,-21.76492601157219
1490504.643386197,-22.78452166807076
1584893.192461115,-23.8957077078636
1685259.044750752,-25.13606525913533
1791980.722375334,-26.45575177616948
1905460.717963247,-27.95250679496439
2026127.012621144,-29.58838404419916
2154434.690031885,-31.50806755227633
2290867.652767773,-33.55303797708372
2435940.447292028,-35.39263507547235
2590200.204531326,-36.02618005426149
2754228.703338167,-35.10302867329183
2928644.564625238,-33.31832896620212
3114105.584446759,-31.48390907897884
3311311.214825912,-29.9110192382128
3521005.201684522,-28.50174449738448
3743978.389823812,-27.3138515073089
3981071.705534974,-26.34079898159052
4233179.328088207,-25.41096746365037
4501252.062061337,-24.64019991586284
4786300.923226386,-23.92461352133077
5089400.95151809,-23.3063568848317
5411695.265464637,-22.75963178416166
5754399.373371567,-22.27986686071457
6118805.75751822,-21.87125989898139
6506288.748655574,-21.50573894793026
6918309.709189363,-21.18099465998419
7356422.544596414,-20.91468662378744
7822279.56386003,-20.68956487571661
8317637.711026709,-20.49679634428166
8844365.191385999,-20.35722047561586
9404448.517263513,-20.25162394264518
10000000,-20.17605911109957
