#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 17:22:14.883
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 21.5288 V
#Offset: 0.000273979 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-2.154328009071754
50464.24006059373,-2.054154363418778
50932.79049786464,-1.919868525123986
51405.69133280335,-1.796331405897458
51882.98295798738,-1.687499759073537
52364.70614103135,-1.562876787108048
52850.90202806905,-1.442377841889037
53341.6121472679,-1.336459082176408
53836.87841237617,-1.19839555684743
54336.74312630293,-1.078878442297885
54841.24898473131,-0.9523607609497478
55350.43907976546,-0.8273605613106578
55864.35690361102,-0.7106819287651994
56383.04635229024,-0.5848641030942174
56906.55172939115,-0.4490673341442269
57434.91774985177,-0.3151687263314138
57968.1895437795,-0.1830498379740333
58506.41266030572,-0.04975505454559721
59049.63307147654,0.08377331669441197
59597.89717617932,0.2100636303816252
60151.25180410585,0.355224836284666
60709.74421975237,0.4948157839579479
61273.42212645651,0.6465980518892543
61842.33367047189,0.7817257691765213
62416.52744508062,0.9142989217294257
62996.05249474368,1.064287555403549
63580.95831929017,1.21792283114991
64171.29487814524,1.367448182894257
64767.11259459736,1.514770549458122
65368.46236010528,1.660967528299418
65975.39553864473,1.819962683302307
66587.96397109581,1.979762482230743
67206.21997967089,2.141117352437833
67830.21637238361,2.302753726327265
68460.00644755962,2.461400576487097
69095.64399838883,2.632138482524664
69737.18331752029,2.800755934388162
70384.6792016995,2.971780915458869
71038.18695644882,3.141740582802609
71697.7624007914,3.304718837630835
72363.46187201892,3.499841794827935
73035.34223050365,3.680722976389536
73713.46086455509,3.866410387544071
74397.87569532174,4.049803177418142
75088.64518173854,4.242219395612872
75785.82832551993,4.440805379430664
76489.4846761996,4.638273265685883
77199.67433621682,4.840900057391972
77916.45796605002,5.038519426796434
78639.89678939813,5.260018852593645
79370.05259840999,5.473491751593738
80106.98775896225,5.692357996528907
80850.76521598625,5.90198252537315
81601.44849884458,6.143548043000915
82359.10172675735,6.37738856805054
83123.78961427879,6.614466271401387
83895.57747682504,6.840463782122844
84674.53123625273,7.105366792884599
85460.71742648998,7.356051045012206
86254.20319921909,7.617677829256992
87055.05632961243,7.871259766072379
87863.34522212141,8.156735894105658
88679.13891631906,8.432206300064395
89502.50709279726,8.717935486997943
90333.52007911826,9.003777797701172
91172.2488558217,9.30645687825492
92018.76506248752,9.612084754125918
92873.14100385488,9.915905678258433
93735.44965599805,10.24157564354715
94605.7646725596,10.56541749381847
95484.16039104169,10.89582381608492
96370.71183915522,11.22601796806318
97265.49474122858,11.57152312760644
98168.58552467548,11.9142644392257
99080.06132652298,12.24600175681908
100000,12.59864297724773
100928.4801211875,12.93701174189815
101865.5809957293,13.26302483529317
102811.3826656067,13.58396727921269
103765.9659159748,13.88263644604315
104729.4122820627,14.16182716655383
105701.8040561381,14.41033136269635
106683.2242945358,14.62613174080862
107673.7568247523,14.80253416739616
108673.4862526058,14.93205428166207
109682.4979694626,15.02061395842145
110700.8781595309,15.05909050494494
111728.713807222,15.04377588917803
112766.0927045805,14.99075517400855
113813.1034587823,14.89133788890621
114869.8354997035,14.74780508759737
115936.379087559,14.57635279051585
117012.8253206114,14.36761853052667
118099.2661429531,14.13829316763364
119195.7943523586,13.88662999043376
120302.5036082117,13.61191536352685
121419.4884395047,13.33535640329849
122546.844252913,13.04250341627603
123684.6673409438,12.73027550120037
124833.0548901612,12.43893485062173
125992.1049894873,12.13101049909179
127161.9166385803,11.82300870500932
128342.5897562905,11.51649866411958
129534.2251891947,11.2019985054395
130736.9247202105,10.90725208938313
131950.7910772894,10.60809091369683
133175.9279421916,10.30980326361806
134412.4399593418,10.02148312050561
135660.4327447672,9.722041247913168
136920.0128951192,9.451090413082538
138191.2879967776,9.174015444503675
139474.3666350406,8.900058925448231
140769.358403399,8.632882646449158
142076.3739128976,8.358933942368008
143395.5248015828,8.110099389562796
144726.9237440378,7.850473208441132
146070.6844610073,7.608348978361636
147426.9217291102,7.362394093212204
148795.7513906435,7.123329854343633
150177.290363477,6.8895468510481
151571.6566510398,6.658081872194225
152978.9693523992,6.433630367062133
154399.3486724336,6.206030748593612
155832.9159321,5.993725058243999
157279.7935787962,5.766278859252659
158740.10519682,5.566247328120157
160213.9755179244,5.345091283357139
161701.5304319724,5.157212434869122
163202.8969976892,4.944287352754755
164718.2034535146,4.759788874539178
166247.5792285576,4.555125332411139
167791.15495365,4.376011652202632
169349.0624725055,4.173163242883108
170921.43485298,4.005112194340633
172508.4063984382,3.810897771464958
174110.1126592249,3.642173633328482
175726.6904442428,3.459968924110526
177358.2778326381,3.294236049610093
179005.0141855945,3.120140039075392
180667.0401582365,2.952729724941843
182344.4977116434,2.783728761723374
184037.530124975,2.620216737376628
185746.2820077097,2.457602553784544
187470.8993119961,2.292014979431396
189211.5293451192,2.143070574126971
190968.3207820833,1.97690539091422
192741.4236783104,1.828338239377139
194530.9894824571,1.67780751941604
196337.1710493509,1.526126027855437
198160.1226530459,1.375564759808804
200000,1.217560745176423
