#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 16:06:28.024
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no
# coil1 test 2

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-0.04925953695082649
1063.326571637162,-0.05249857077305826
1130.663397949639,-0.05649820372046267
1202.264434617413,-0.0597162082417715
1278.399719463023,-0.06588014598743129
1359.356390878525,-0.0702324075137899
1445.439770745928,-0.07532811540251903
1536.974515935271,-0.08187997983925849
1634.305842723138,-0.08911986752282762
1737.800828749376,-0.1101955944586684
1847.849797422291,-0.1074487955628815
1964.867789993468,-0.1149363806048909
2089.296130854039,-0.1337665908749175
2221.604091955812,-0.1386326934682204
2362.290662634463,-0.1520589690580282
2511.886431509579,-0.1777238263711908
2670.955587558985,-0.1877606513765989
2840.098047914214,-0.2030072865771911
3019.951720402016,-0.2243859665086682
3211.194909364824,-0.2485026501207474
3414.548873833601,-0.2742242955059341
3630.780547701014,-0.306271139400084
3860.705432153815,-0.3465104115787732
4105.190671273079,-0.3745935323583751
4365.158322401661,-0.4153356821645499
4641.588833612777,-0.4609418466133485
4935.524741394806,-0.5114550673584422
5248.074602497722,-0.5674733738285493
5580.417174769963,-0.6406456791872608
5933.805862753281,-0.7161033932416261
6309.57344480193,-0.7867992771657362
6709.137099554112,-0.8670915184524781
7134.003750712565,-0.9564176042354136
7585.775750291836,-1.061173500074173
8066.156921766135,-1.184488232677372
8576.958985908946,-1.291713884946931
9120.108393559096,-1.426511357803392
9697.653591082495,-1.572515129036464
10311.77274593056,-1.730964560746342
10964.78196143185,-1.903655992095818
11659.14401179831,-2.088387014975964
12397.47763028944,-2.28851549332215
13182.56738556407,-2.502629011661422
14017.37418346769,-2.735628375542315
14905.04643386196,-2.986911093711659
15848.93192461114,-3.234643308392108
16852.59044750751,-3.516462733258765
17919.80722375334,-3.800814671828425
