#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:53:37.861
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-29.47031517200426
1063.326571637164,-29.45601526921687
1130.663397949641,-29.47357731850462
1202.264434617416,-29.47552244570946
1278.399719463026,-29.46548067800528
1359.356390878528,-29.46757650038909
1445.439770745931,-29.46790835514943
1536.974515935274,-29.47766074712235
1634.305842723141,-29.46958798729853
1737.80082874938,-29.4787532133378
1847.849797422294,-29.46347405827064
1964.867789993472,-29.45454685811051
2089.296130854043,-29.4564729897621
2221.604091955816,-29.43962537976343
2362.290662634467,-29.4383200686797
2511.886431509585,-29.44300429285336
2670.955587558991,-29.41738917790811
2840.098047914219,-29.40674521805514
3019.951720402022,-29.39302440855487
3211.19490936483,-29.38800130199707
3414.548873833608,-29.38050541434023
3630.780547701021,-29.35052965895144
3860.705432153823,-28.52049611454722
4105.190671273087,-28.5345956523707
4365.158322401669,-28.5255665395852
4641.588833612786,-28.51234303496565
4935.524741394816,-28.49920267410172
5248.074602497733,-28.48776545396076
5580.417174769976,-28.48461311918803
5933.805862753293,-28.46917996900729
6309.573444801943,-28.44985672126847
6709.137099554126,-28.43118460878398
7134.003750712579,-28.40354623637745
7585.775750291851,-28.37825845160031
8066.156921766152,-28.36142573847032
8576.958985908963,-28.32105604723768
9120.108393559114,-28.28848248119464
9697.653591082517,-28.24925771181647
10311.77274593057,-28.22235427950127
10964.78196143186,-28.12533781748012
11659.14401179832,-28.00766913860475
12397.47763028945,-27.87786298944587
13182.56738556409,-27.75979247970529
14017.37418346771,-27.68354708992849
14905.04643386197,-27.54370207460283
15848.93192461116,-27.38044226363487
16852.59044750753,-27.25151303279099
17919.80722375336,-27.10115666266447
19054.6071796325,-26.92402233987612
20261.27012621145,-26.711247178314
21544.34690031884,-26.49924794872325
22908.67652767777,-26.25620758223452
24359.40447292029,-25.94654032538156
25902.00204531325,-25.71745426555049
27542.28703338169,-25.44516831570619
29286.4456462524,-25.13846653756726
31141.05584446762,-24.79849688831669
33113.11214825914,-24.38052399747441
35210.05201684524,-23.9794255093887
37439.78389823814,-23.58309115594472
39810.71705534978,-23.16590938763574
42331.79328088216,-22.68613378965362
45012.52062061341,-22.18565795933169
47863.00923226385,-21.61388988406991
50894.00951518099,-21.0112586663598
54116.95265464643,-20.34989743838683
57543.99373371572,-19.65967547529973
61188.05757518225,-18.89994357461013
65062.8874865558,-18.08328048301392
69183.09709189369,-17.18007288621599
73564.22544596421,-16.19016174464992
78222.79563860038,-15.10990744899634
83176.37711026717,-13.93358450572246
88443.65191386007,-12.673107386135
94044.48517263534,-11.38098362032743
100000.0000000001,-10.16482820042656
106332.6571637163,-9.322959219944181
113066.339794964,-9.163844841333725
120226.4434617414,-9.760793479128116
127839.9719463024,-10.87008712947776
135935.6390878527,-12.22838637068205
144543.977074593,-13.58738881525641
153697.4515935273,-14.89077752337006
163430.5842723139,-16.11930602160944
173780.0828749378,-17.23824144593866
184784.9797422292,-18.30231122806066
196486.778999347,-19.27907742351569
208929.6130854041,-20.20245460403502
222160.4091955814,-21.0649731846416
236229.0662634465,-21.89493649821093
251188.6431509582,-22.67813170246379
267095.5587558988,-23.44994895575916
284009.8047914217,-24.16816481635692
301995.1720402019,-24.8828827066948
321119.4909364826,-25.55594046234356
341454.8873833602,-26.2238920870369
363078.0547701016,-26.89349182939745
386070.5432153813,-27.55348112631715
410519.0671273081,-28.1841843701467
436515.8322401663,-28.8034100588294
464158.8833612779,-29.43873327821987
493552.4741394809,-30.06006691945434
524807.4602497731,-30.66720581910523
558041.7174769967,-31.29964704198107
593380.5862753284,-31.93681123542811
630957.3444801933,-32.53858633320557
670913.7099554116,-33.15783421467542
713400.3750712569,-33.77704427145057
758577.575029184,-34.43298545783439
806615.692176614,-35.06067248784211
857695.8985908942,-35.71838172727719
912010.8393559101,-36.38794790000751
969765.3591082501,-37.05916438863161
1031177.274593055,-37.73956908636477
1096478.196143186,-38.44100941547397
1165914.401179833,-39.18230489776243
1239747.763028945,-39.97869595569839
1318256.738556408,-40.77362248756828
1401737.41834677,-41.60061371094271
1490504.643386197,-42.51468087809957
1584893.192461115,-43.442757492773
1685259.044750752,-44.42818852012774
1791980.722375334,-45.53120309832444
1905460.717963247,-46.68940172861572
2026127.012621144,-47.95843500458896
2154434.690031885,-49.3654487799261
2290867.652767773,-51.00736626888555
2435940.447292028,-52.98345016744975
2590200.204531326,-55.34823952990305
2754228.703338167,-58.03271322241181
2928644.564625238,-60.81647765262778
3114105.584446759,-61.17085813419536
3311311.214825912,-59.11475780559491
3521005.201684522,-56.55603153990432
3743978.389823812,-54.45471827599963
3981071.705534974,-52.73537380441638
4233179.328088207,-51.25571752290614
4501252.062061337,-50.08225242926839
4786300.923226386,-49.09992536725845
5089400.95151809,-48.25859984668967
5411695.265464637,-47.55671114267433
5754399.373371567,-46.96928681412927
6118805.75751822,-46.44110785909182
6506288.748655574,-45.97312920418297
6918309.709189363,-45.60114669557117
7356422.544596414,-45.31701438293915
7822279.56386003,-45.05425858933503
8317637.711026709,-44.84282495800836
8844365.191385999,-44.69496084283665
9404448.517263513,-44.59370491082196
10000000,-44.55432765649867
