#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:54:28.120
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-21.34128473953407
50464.24006059373,-21.25186574579436
50932.79049786464,-21.14956190708266
51405.69133280335,-21.06458367871889
51882.98295798738,-20.96402142818381
52364.70614103135,-20.86423045268856
52850.90202806905,-20.76602650310177
53341.6121472679,-20.67425610329336
53836.87841237617,-20.55816881385292
54336.74312630293,-20.45376571650276
54841.24898473131,-20.33901269632937
55350.43907976546,-20.23757561876216
55864.35690361102,-20.12229792458607
56383.04635229024,-20.02602028651243
56906.55172939115,-19.90062383156591
57434.91774985177,-19.78321546787063
57968.1895437795,-19.67084549146425
58506.41266030572,-19.55792398205961
59049.63307147654,-19.44280973774132
59597.89717617932,-19.33001534442223
60151.25180410585,-19.20158129248159
60709.74421975237,-19.08223470666752
61273.42212645651,-18.95818552770862
61842.33367047189,-18.83439935796862
62416.52744508062,-18.71891761299637
62996.05249474368,-18.5801694992671
63580.95831929017,-18.45045659604867
64171.29487814524,-18.31782556119719
64767.11259459736,-18.18489841767479
65368.46236010528,-18.06152328347043
65975.39553864473,-17.92004188337347
66587.96397109581,-17.77614892045613
67206.21997967089,-17.64075128734856
67830.21637238361,-17.49398276662675
68460.00644755962,-17.36018543158748
69095.64399838883,-17.20873294358744
69737.18331752029,-17.05929115310871
70384.6792016995,-16.91048796318947
71038.18695644882,-16.76154405130823
71697.7624007914,-16.62096614327165
72363.46187201892,-16.45019740924561
73035.34223050365,-16.29411221369646
73713.46086455509,-16.13254594577268
74397.87569532174,-15.97239141993963
75088.64518173854,-15.81025998520696
75785.82832551993,-15.63851499103593
76489.4846761996,-15.47057820292118
77199.67433621682,-15.29705412696235
77916.45796605002,-15.1370177679267
78639.89678939813,-14.95214925256291
79370.05259840999,-14.77690603526478
80106.98775896225,-14.59434635321602
80850.76521598625,-14.42482875230927
81601.44849884458,-14.22384445882216
82359.10172675735,-14.03765716967398
83123.78961427879,-13.84613841334005
83895.57747682504,-13.66906454199494
84674.53123625273,-13.46129354754314
85460.71742648998,-13.26439698428768
86254.20319921909,-13.06771447446288
87055.05632961243,-12.88045487003776
87863.34522212141,-12.66793305654262
88679.13891631906,-12.46519943416182
89502.50709279726,-12.26375373767361
90333.52007911826,-12.06032339797349
91172.2488558217,-12.18923084241778
92018.76506248752,-11.96804593648398
92873.14100385488,-11.7294956968248
93735.44965599805,-11.53350154604883
94605.7646725596,-11.34763204314041
95484.16039104169,-11.16430111636546
96370.71183915522,-10.99189956279357
97265.49474122858,-10.80778824487738
98168.58552467548,-10.63567001876179
99080.06132652298,-10.48386639819178
100000,-10.3136872646466
100928.4801211875,-10.1655779806848
101865.5809957293,-10.02819884418524
102811.3826656067,-9.892653630377271
103765.9659159748,-9.772934125458145
104729.4122820627,-9.665309426962965
105701.8040561381,-9.573238443883474
106683.2242945358,-9.491586542756513
107673.7568247523,-9.428705625420555
108673.4862526058,-9.383205582696256
109682.4979694626,-9.346194357452662
110700.8781595309,-9.332620691706834
111728.713807222,-9.338249022161385
112766.0927045805,-9.353513026038907
113813.1034587823,-9.392891116089631
114869.8354997035,-9.447380674768443
115936.379087559,-9.515194749320113
117012.8253206114,-9.601342003058015
118099.2661429531,-9.700330386877669
119195.7943523586,-9.814958437545446
120302.5036082117,-9.945925417063391
121419.4884395047,-10.0782998679893
122546.844252913,-10.2271021666825
123684.6673409438,-10.39834272034408
124833.0548901612,-10.55229474935631
125992.1049894873,-10.72633672295523
127161.9166385803,-10.90652736764044
128342.5897562905,-11.09195775681781
129534.2251891947,-11.29064252019248
130736.9247202105,-11.47375550654075
131950.7910772894,-11.6703993137607
133175.9279421916,-11.87179140732807
134412.4399593418,-12.07016001518717
135660.4327447672,-12.28186534163683
136920.0128951192,-12.47177269792953
138191.2879967776,-12.67619072016043
139474.3666350406,-12.87966844010112
140769.358403399,-13.07916675949776
142076.3739128976,-13.29031907233311
143395.5248015828,-13.48112136615444
144726.9237440378,-13.68858823338397
146070.6844610073,-13.87758262766912
147426.9217291102,-14.07696753300112
148795.7513906435,-14.27225939526618
150177.290363477,-14.4655859861592
151571.6566510398,-14.65907966025976
152978.9693523992,-14.84634821635919
154399.3486724336,-15.0387082217345
155832.9159321,-15.21929359067005
157279.7935787962,-15.41482820364312
158740.10519682,-15.58662840097966
160213.9755179244,-15.78138560135795
161701.5304319724,-15.94059197897351
163202.8969976892,-16.13134210599254
164718.2034535146,-16.2925973647348
166247.5792285576,-16.48042597542438
167791.15495365,-16.63527713020676
169349.0624725055,-16.82028377935869
170921.43485298,-16.97154796610235
172508.4063984382,-17.14797046071254
174110.1126592249,-17.30127177659474
175726.6904442428,-17.47101982566702
177358.2778326381,-17.62202205578213
179005.0141855945,-17.78048057247562
180667.0401582365,-17.93681631288124
182344.4977116434,-18.09129643233799
184037.530124975,-18.24213945766758
185746.2820077097,-18.3946217868589
187470.8993119961,-18.55136013179044
189211.5293451192,-18.69378272183276
190968.3207820833,-18.84849261056995
192741.4236783104,-18.98520249634774
194530.9894824571,-19.13439370276012
196337.1710493509,-19.27744334924197
198160.1226530459,-19.41547361536637
200000,-19.5672247689505
