#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 16:37:22.561
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-10.14838192008844
1063.326571637164,-10.14990878029831
1130.663397949641,-10.15184826753564
1202.264434617416,-10.15324260183423
1278.399719463026,-10.15715883055608
1359.356390878528,-10.15814485557033
1445.439770745931,-10.16045126575101
1536.974515935274,-10.16418912758383
1634.305842723141,-10.16714138040038
1737.80082874938,-10.18429744212271
1847.849797422294,-10.17659817798689
1964.867789993472,-10.17835869053121
2089.296130854043,-10.19127558383201
2221.604091955816,-10.18879032190165
2362.290662634467,-10.19406772677529
2511.886431509585,-10.21356151608691
2670.955587558991,-10.21076464816795
2840.098047914219,-10.21537266082294
3019.951720402022,-10.22343975885956
3211.19490936483,-10.23296305547561
3414.548873833608,-10.24315406633252
3630.780547701021,-10.25651511622262
3860.705432153823,-10.27641657290014
4105.190671273087,-10.28054488609176
4365.158322401669,-10.29513494027919
4641.588833612786,-10.31147030235686
4935.524741394816,-10.32811976593566
5248.074602497733,-10.34686308965995
5580.417174769976,-10.37760810531888
5933.805862753293,-10.40527775554205
6309.573444801943,-10.4232414731909
6709.137099554126,-10.44496754093611
7134.003750712579,-10.47012356522939
7585.775750291851,-10.50247478015696
8066.156921766152,-10.5471057411703
8576.958985908963,-10.56710516574532
9120.108393559114,-10.6069654641434
9697.653591082517,-10.64995591859374
10311.77274593057,-10.69573374704854
10964.78196143186,-10.74866072298668
11659.14401179832,-10.80333886686685
12397.47763028945,-10.8663945702586
13182.56738556409,-10.93374416266098
14017.37418346771,-11.01196861803552
14905.04643386197,-11.10142794284266
15848.93192461116,-11.18040590316582
16852.59044750753,-11.29022205475702
17919.80722375336,-11.39754266579854
19054.6071796325,-11.52148195897891
20261.27012621145,-11.66641532761805
21544.34690031884,-11.83270904419016
22908.67652767777,-12.04140066992122
24359.40447292029,-12.25661324068369
25902.00204531325,-12.52174373847043
27542.28703338169,-12.82559748053813
29286.4456462524,-13.16770955163395
31141.05584446762,-13.55173552407946
33113.11214825914,-13.95269826447428
35210.05201684524,-14.38342779150032
37439.78389823814,-14.84505818831547
39810.71705534978,-15.30197593337664
42331.79328088216,-15.78252779690888
45012.52062061341,-16.29325319493603
47863.00923226385,-16.78591537277283
50894.00951518099,-17.30259761455637
54116.95265464643,-17.83375298749304
57543.99373371572,-18.37977992783726
61188.05757518225,-18.93923433854931
65062.8874865558,-19.52451622555165
69183.09709189369,-20.1218541511233
73564.22544596421,-20.7578792638118
78222.79563860038,-21.43002581096875
83176.37711026717,-22.12012925229347
88443.65191386007,-22.84383810322168
94044.48517263534,-23.56690246540929
100000.0000000001,-24.27793791085723
106332.6571637163,-24.97338961334776
113066.339794964,-25.64341245419484
120226.4434617414,-26.29719202812208
127839.9719463024,-26.91857044637138
135935.6390878527,-27.56003275279411
144543.977074593,-28.15010698822275
153697.4515935273,-28.76484016278916
163430.5842723139,-29.40596118361849
173780.0828749378,-30.01612634514555
184784.9797422292,-30.66199629615003
196486.778999347,-31.29117654524175
208929.6130854041,-31.95662453442333
222160.4091955814,-32.60945802629592
236229.0662634465,-33.3008535590207
251188.6431509582,-34.00187688040054
267095.5587558988,-34.75457660294598
284009.8047914217,-35.52392564236079
301995.1720402019,-36.33018830959389
321119.4909364826,-37.16190114559123
341454.8873833602,-38.01285141617968
363078.0547701016,-38.95069093618608
386070.5432153813,-39.9816326293289
410519.0671273081,-41.11338650700784
436515.8322401663,-42.31865866584759
464158.8833612779,-43.61860162812778
493552.4741394809,-45.1049307553547
524807.4602497731,-46.56714761814986
558041.7174769967,-48.26682278785483
593380.5862753284,-49.63233525274019
630957.3444801933,-50.43127706655572
670913.7099554116,-50.09394160130127
713400.3750712569,-48.84885930860271
758577.575029184,-47.41820699069859
806615.692176614,-45.74828464542166
857695.8985908942,-44.29224469530045
912010.8393559101,-42.97825980880957
969765.3591082501,-41.7263399555858
1031177.274593055,-40.5894970760965
1096478.196143186,-39.6021061869459
1165914.401179833,-38.63236992176824
1239747.763028945,-37.73794608195604
1318256.738556408,-36.91977550924461
1401737.41834677,-36.13406455871882
1490504.643386197,-35.36182137551653
1584893.192461115,-34.61821072557726
1685259.044750752,-33.90018976015059
1791980.722375334,-33.20688470840161
1905460.717963247,-32.53270858083721
2026127.012621144,-31.85466830005579
2154434.690031885,-31.17873196876381
2290867.652767773,-30.51472709015413
2435940.447292028,-29.83221347587937
2590200.204531326,-29.13128502682024
2754228.703338167,-28.40361848349545
2928644.564625238,-27.59490792789254
3114105.584446759,-26.69040807972727
3311311.214825912,-25.57070903090958
3521005.201684522,-24.05891525785729
3743978.389823812,-21.7961666073672
3981071.705534974,-23.43773403975845
4233179.328088207,-41.99488729812416
4501252.062061337,-34.52954497002244
4786300.923226386,-30.47196676840279
5089400.95151809,-28.59285873903593
5411695.265464637,-27.39493383046811
5754399.373371567,-26.48320549578121
6118805.75751822,-25.72704624773462
6506288.748655574,-25.06837328017783
6918309.709189363,-24.47613542054853
7356422.544596414,-23.93569714787718
7822279.56386003,-23.41722087724987
8317637.711026709,-22.9541052465611
8844365.191385999,-22.50920855745463
9404448.517263513,-22.11828673588096
10000000,-21.7624605092406
