#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 17:11:48.363
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-38.39442666978722
1063.326571637164,-38.41248031617885
1130.663397949641,-38.3280198623567
1202.264434617416,-38.3788727704797
1278.399719463026,-38.38343638531836
1359.356390878528,-38.40136740105328
1445.439770745931,-38.33083692805246
1536.974515935274,-38.42564816908919
1634.305842723141,-38.34906061721323
1737.80082874938,-38.41827128138883
1847.849797422294,-38.40368218948431
1964.867789993472,-38.43011456400468
2089.296130854043,-38.53208145729652
2221.604091955816,-38.46746841489249
2362.290662634467,-38.41104374856285
2511.886431509585,-38.39044963129912
2670.955587558991,-38.44561951761177
2840.098047914219,-38.43126006972642
3019.951720402022,-38.5825637100676
3211.19490936483,-38.51455492147505
3414.548873833608,-38.45953571163567
3630.780547701021,-38.34234787706634
3860.705432153823,-38.52353168054889
4105.190671273087,-38.56109839745039
4365.158322401669,-38.57957159412162
4641.588833612786,-38.42718023587422
4935.524741394816,-38.41104255130053
5248.074602497733,-38.49231644540605
5580.417174769976,-38.53905051836526
5933.805862753293,-38.60563040556171
6309.573444801943,-38.59780405857069
6709.137099554126,-38.76193109578859
7134.003750712579,-38.56952185524892
7585.775750291851,-38.66192015921072
8066.156921766152,-38.6490714128056
8576.958985908963,-38.63992852892277
9120.108393559114,-38.68878942459839
9697.653591082517,-38.68836734645114
10311.77274593057,-38.83278721335703
10964.78196143186,-38.62556961940136
11659.14401179832,-38.78070192244203
12397.47763028945,-38.72189462399729
13182.56738556409,-38.90080327630255
14017.37418346771,-39.03676911672634
14905.04643386197,-38.8988853114095
15848.93192461116,-39.10337246994774
16852.59044750753,-38.99670472441718
17919.80722375336,-39.00219434724384
19054.6071796325,-39.03262050271982
20261.27012621145,-39.09988299507694
21544.34690031884,-39.35111822637619
22908.67652767777,-39.35270490014132
24359.40447292029,-39.21743313731392
25902.00204531325,-39.45840057091639
27542.28703338169,-39.76514830884063
29286.4456462524,-39.80448644092731
31141.05584446762,-40.00024620985643
33113.11214825914,-40.26167357920886
35210.05201684524,-40.31335345885048
37439.78389823814,-40.45163627040742
39810.71705534978,-40.80871643651247
42331.79328088216,-40.88328636261381
45012.52062061341,-41.22910729764739
47863.00923226385,-41.05594588857475
50894.00951518099,-41.40832060887027
54116.95265464643,-42.11408191148233
57543.99373371572,-41.75606436479461
61188.05757518225,-42.36417568133285
65062.8874865558,-42.56429734274388
69183.09709189369,-43.50683835912343
73564.22544596421,-43.39268162181067
78222.79563860038,-44.94083114275256
83176.37711026717,-46.09355398200315
88443.65191386007,-48.40099954593836
94044.48517263534,-49.41887833569064
100000.0000000001,-52.47943826905917
106332.6571637163,-56.34723436961514
113066.339794964,-57.18977055281182
120226.4434617414,-66.71715992757993
127839.9719463024,-65.52115236342786
135935.6390878527,-66.18095901500554
144543.977074593,-72.1036498912564
153697.4515935273,-68.49911353663499
163430.5842723139,-67.54897656129945
173780.0828749378,-77.59879288230979
184784.9797422292,-69.0378179204981
196486.778999347,-68.08759806576008
208929.6130854041,-59.80616832614195
222160.4091955814,-66.57080111929537
236229.0662634465,-65.60267866334124
251188.6431509582,-67.17007200663731
267095.5587558988,-68.7368039725896
284009.8047914217,-64.91273020819098
301995.1720402019,-67.86231441183459
321119.4909364826,-70.0464543022191
341454.8873833602,-74.90522252865871
363078.0547701016,-65.98948564268281
386070.5432153813,-67.14054860618226
410519.0671273081,-67.43376857446714
436515.8322401663,-72.64756903571174
464158.8833612779,-65.23918045862919
493552.4741394809,-69.02756136567382
524807.4602497731,-65.41798716632296
558041.7174769967,-83.29473922353444
593380.5862753284,-82.13276092048017
630957.3444801933,-67.0113613113668
670913.7099554116,-77.24159501185194
713400.3750712569,-85.9639267060673
758577.575029184,-72.21031711893647
806615.692176614,-76.5320134186214
857695.8985908942,-71.07781457783571
912010.8393559101,-72.25264780096208
969765.3591082501,-69.11708090096455
1031177.274593055,-74.88694333450132
1096478.196143186,-70.92417062569181
1165914.401179833,-75.61536800812183
1239747.763028945,-77.01907448987654
1318256.738556408,-75.28307583167914
1401737.41834677,-75.74688412693473
1490504.643386197,-68.25871637413005
1584893.192461115,-76.06415171406394
1685259.044750752,-70.7789597003468
1791980.722375334,-74.78677196897694
1905460.717963247,-74.5630650582268
2026127.012621144,-71.38304004885231
2154434.690031885,-67.94673060076676
2290867.652767773,-68.14350413093874
2435940.447292028,-63.54237625534332
2590200.204531326,-64.95083315595254
2754228.703338167,-68.40838563154335
2928644.564625238,-70.02076288569215
3114105.584446759,-76.57499018938169
3311311.214825912,-70.8320846067905
3521005.201684522,-71.33182079073825
3743978.389823812,-67.00790788404825
3981071.705534974,-63.2823868585793
4233179.328088207,-59.55901403742352
4501252.062061337,-57.84753873296204
4786300.923226386,-53.90939285602993
5089400.95151809,-51.08501521809867
5411695.265464637,-48.03716928557682
5754399.373371567,-45.06528626937332
6118805.75751822,-42.97242137271165
6506288.748655574,-41.84975648152795
6918309.709189363,-40.98367966304963
7356422.544596414,-40.27672560753017
7822279.56386003,-39.98632759456654
8317637.711026709,-39.59132578688745
8844365.191385999,-39.38965414181848
9404448.517263513,-39.48014590134357
10000000,-40.09251478476187
