#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:45:23.202
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-38.29045625043489
1063.326571637164,-38.27757507815858
1130.663397949641,-38.265383659001
1202.264434617416,-38.25931041813044
1278.399719463026,-38.25128079131861
1359.356390878528,-38.23893539298568
1445.439770745931,-38.23525604326385
1536.974515935274,-38.22883423297846
1634.305842723141,-38.20792973635153
1737.80082874938,-38.20508256351871
1847.849797422294,-38.17791505363333
1964.867789993472,-38.15173017417214
2089.296130854043,-38.14116776269255
2221.604091955816,-38.10549970512149
2362.290662634467,-38.08240734851018
2511.886431509585,-38.05266111763238
2670.955587558991,-38.01267134859082
2840.098047914219,-37.96938406367223
3019.951720402022,-37.9304338789109
3211.19490936483,-37.8830657038359
3414.548873833608,-37.82735035545756
3630.780547701021,-37.7677868900492
3860.705432153823,-37.70472429356488
4105.190671273087,-37.62393508189598
4365.158322401669,-37.55173228288839
4641.588833612786,-37.4409936508469
4935.524741394816,-37.35286821145762
5248.074602497733,-37.23453205492664
5580.417174769976,-37.11029327470211
5933.805862753293,-36.98307883240955
6309.573444801943,-36.83519296743658
6709.137099554126,-36.65486447380381
7134.003750712579,-36.47402881104196
7585.775750291851,-36.28873725672156
8066.156921766152,-36.0828349489036
8576.958985908963,-35.84523146379831
9120.108393559114,-35.57913588478763
9697.653591082517,-35.31246595298368
10311.77274593057,-35.03551885418584
10964.78196143186,-34.7250154111856
11659.14401179832,-34.39849825307198
12397.47763028945,-34.07442777262683
13182.56738556409,-33.72309917375197
14017.37418346771,-33.36758075950085
14905.04643386197,-32.98731054415671
15848.93192461116,-32.56866762777775
16852.59044750753,-32.15552925993062
17919.80722375336,-31.7164397122921
19054.6071796325,-31.25642639080213
20261.27012621145,-30.78321112624147
21544.34690031884,-30.29439219077788
22908.67652767777,-29.81274325707899
24359.40447292029,-29.28401893843748
25902.00204531325,-28.76563185907231
27542.28703338169,-28.22211376678235
29286.4456462524,-27.66063284431889
31141.05584446762,-27.08534644399546
33113.11214825914,-26.49264385105194
35210.05201684524,-25.8796101675659
37439.78389823814,-25.25703888100736
39810.71705534978,-24.59602413832025
42331.79328088216,-23.91937504686796
45012.52062061341,-23.22033158103034
47863.00923226385,-22.48029666017155
50894.00951518099,-21.6991268956882
54116.95265464643,-20.88369485981072
57543.99373371572,-20.0093491673995
61188.05757518225,-19.07913597477888
65062.8874865558,-18.07685261105396
69183.09709189369,-16.97891885555279
73564.22544596421,-15.75944038204263
78222.79563860038,-14.40034442462935
83176.37711026717,-12.84319589561429
88443.65191386007,-11.04913113475471
94044.48517263534,-8.971596363558948
100000.0000000001,-6.672712739619793
106332.6571637163,-4.712318693699245
113066.339794964,-4.480221895293524
120226.4434617414,-6.22369433248798
127839.9719463024,-8.532375822871296
135935.6390878527,-10.6837882903504
144543.977074593,-12.53365310074675
153697.4515935273,-14.13941232477779
163430.5842723139,-15.55437817247969
173780.0828749378,-16.79915316407147
184784.9797422292,-17.93883256968888
196486.778999347,-18.97373530756237
208929.6130854041,-19.94220387498996
222160.4091955814,-20.82874670583529
236229.0662634465,-21.67729943637019
251188.6431509582,-22.48062394977677
267095.5587558988,-23.2673443450169
284009.8047914217,-24.00346816122515
301995.1720402019,-24.7147422180515
321119.4909364826,-25.41474024366937
341454.8873833602,-26.10163536391419
363078.0547701016,-26.76240836930756
386070.5432153813,-27.44004797169239
410519.0671273081,-28.07687679431464
436515.8322401663,-28.7043694612761
464158.8833612779,-29.34809949711608
493552.4741394809,-29.97802079241522
524807.4602497731,-30.61347698864927
558041.7174769967,-31.24556717355204
593380.5862753284,-31.89977086478539
630957.3444801933,-32.52793912149347
670913.7099554116,-33.1696027639105
713400.3750712569,-33.8070351285865
758577.575029184,-34.47473026017636
806615.692176614,-35.14736700064569
857695.8985908942,-35.84080156536475
912010.8393559101,-36.52529079681622
969765.3591082501,-37.24008188866504
1031177.274593055,-37.98571774855582
1096478.196143186,-38.7699375876461
1165914.401179833,-39.57424220911551
1239747.763028945,-40.43798700426051
1318256.738556408,-41.34258906951722
1401737.41834677,-42.32390037059541
1490504.643386197,-43.35660951379472
1584893.192461115,-44.47852353285371
1685259.044750752,-45.68110951453128
1791980.722375334,-47.02939025978837
1905460.717963247,-48.57245380910576
2026127.012621144,-50.38980771973179
2154434.690031885,-52.54834856921775
2290867.652767773,-55.26575606795745
2435940.447292028,-58.59811439309432
2590200.204531326,-61.39999589101213
2754228.703338167,-60.16673915702442
2928644.564625238,-57.05109317007611
3114105.584446759,-54.34984406896287
3311311.214825912,-52.09645280260217
3521005.201684522,-50.41174925536184
3743978.389823812,-49.06035593349654
3981071.705534974,-47.88482318843621
4233179.328088207,-46.90233266505526
4501252.062061337,-46.06522134290655
4786300.923226386,-45.29452025956488
5089400.95151809,-44.64625456658257
5411695.265464637,-44.07495810897473
5754399.373371567,-43.60101873397328
6118805.75751822,-43.16136329593222
6506288.748655574,-42.77745366148329
6918309.709189363,-42.46776295455891
7356422.544596414,-42.20195367016803
7822279.56386003,-41.97918144479118
8317637.711026709,-41.81341702726861
8844365.191385999,-41.64790463992242
9404448.517263513,-41.56941463124271
10000000,-41.52825998595595
