#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:46:39.307
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-21.92587429869675
50464.24006059373,-21.81367766423754
50932.79049786464,-21.68391449181041
51405.69133280335,-21.56128780241619
51882.98295798738,-21.44124433182526
52364.70614103135,-21.3157544130138
52850.90202806905,-21.20103489226828
53341.6121472679,-21.08851197701958
53836.87841237617,-20.94692514731621
54336.74312630293,-20.81854229761143
54841.24898473131,-20.69784535179713
55350.43907976546,-20.57070096601967
55864.35690361102,-20.43737296216678
56383.04635229024,-20.31948604304839
56906.55172939115,-20.17464384596848
57434.91774985177,-20.03655103315167
57968.1895437795,-19.90264166087983
58506.41266030572,-19.76191561631299
59049.63307147654,-19.62858151268694
59597.89717617932,-19.49467414491118
60151.25180410585,-19.34716303985753
60709.74421975237,-19.20030517236663
61273.42212645651,-19.05372313306621
61842.33367047189,-18.9089334694463
62416.52744508062,-18.77082360048338
62996.05249474368,-18.61397435485964
63580.95831929017,-18.45762947825459
64171.29487814524,-18.308333032128
64767.11259459736,-18.14963448168229
65368.46236010528,-17.99858021886583
65975.39553864473,-17.83397093386242
66587.96397109581,-17.67022105849231
67206.21997967089,-17.50686421462417
67830.21637238361,-17.33887448020205
68460.00644755962,-17.176539218952
69095.64399838883,-17.00155763679794
69737.18331752029,-16.82261792235866
70384.6792016995,-16.64747034342541
71038.18695644882,-16.46879280659923
71697.7624007914,-16.29938183042025
72363.46187201892,-16.09769159717477
73035.34223050365,-15.90850671793554
73713.46086455509,-15.71794926270756
74397.87569532174,-15.52525074357212
75088.64518173854,-15.32806136708398
75785.82832551993,-15.12014744335266
76489.4846761996,-14.91589878926409
77199.67433621682,-14.70482983492398
77916.45796605002,-14.50308968896996
78639.89678939813,-14.27117946362138
79370.05259840999,-14.04950816303882
80106.98775896225,-13.82146044251748
80850.76521598625,-13.60275613718977
81601.44849884458,-13.35262904011852
82359.10172675735,-13.10792135311163
83123.78961427879,-12.86284102107614
83895.57747682504,-12.62369427517676
84674.53123625273,-12.35252759517418
85460.71742648998,-12.08727943068252
86254.20319921909,-11.81700197954703
87055.05632961243,-11.55407784511497
87863.34522212141,-11.2582214963171
88679.13891631906,-10.96974215185641
89502.50709279726,-10.67567227005703
90333.52007911826,-10.37572420517764
91172.2488558217,-10.06328136605802
92018.76506248752,-9.746063249113973
92873.14100385488,-9.430226842101442
93735.44965599805,-9.096566270097176
94605.7646725596,-8.760188866022174
95484.16039104169,-8.42256884602091
96370.71183915522,-8.082431474265348
97265.49474122858,-7.727258693526946
98168.58552467548,-7.376850974620497
99080.06132652298,-7.038882700865994
100000,-6.679667198047994
100928.4801211875,-6.337085099334798
101865.5809957293,-6.006831349164766
102811.3826656067,-5.683439252128584
103765.9659159748,-5.38137441802744
104729.4122820627,-5.103833960463521
105701.8040561381,-4.861226912927934
106683.2242945358,-4.649926380471729
107673.7568247523,-4.483189066310879
108673.4862526058,-4.369455951000328
109682.4979694626,-4.301956160818561
110700.8781595309,-4.292739188357924
111728.713807222,-4.343893033909071
112766.0927045805,-4.443598999600562
113813.1034587823,-4.593026205129781
114869.8354997035,-4.79248938261571
115936.379087559,-5.026267135773905
117012.8253206114,-5.29581002340911
118099.2661429531,-5.590130576321812
119195.7943523586,-5.904751839663518
120302.5036082117,-6.241829101913082
121419.4884395047,-6.576104641499342
122546.844252913,-6.925022893947487
123684.6673409438,-7.285759464360756
124833.0548901612,-7.626077898726136
125992.1049894873,-7.976878206834947
127161.9166385803,-8.325625748391705
128342.5897562905,-8.666893692216428
129534.2251891947,-9.014156409968972
130736.9247202105,-9.336790712376057
131950.7910772894,-9.661195123638674
133175.9279421916,-9.984346631567218
134412.4399593418,-10.29366620140203
135660.4327447672,-10.60955116603026
136920.0128951192,-10.89829283797949
138191.2879967776,-11.19142778244089
139474.3666350406,-11.47753535105733
140769.358403399,-11.75775420005557
142076.3739128976,-12.0372068887987
143395.5248015828,-12.30004038571532
144726.9237440378,-12.56551332659321
146070.6844610073,-12.81215068273591
147426.9217291102,-13.06376960383439
148795.7513906435,-13.31037983108325
150177.290363477,-13.54777683056149
151571.6566510398,-13.7850900027749
152978.9693523992,-14.01496173332057
154399.3486724336,-14.24528956202733
155832.9159321,-14.46099229024152
157279.7935787962,-14.68935269058107
158740.10519682,-14.89138086114694
160213.9755179244,-15.11577363838245
161701.5304319724,-15.30689024097493
163202.8969976892,-15.5197072759608
164718.2034535146,-15.70479594755102
166247.5792285576,-15.91396492403474
167791.15495365,-16.09221686277032
169349.0624725055,-16.29563736313447
170921.43485298,-16.4672367049725
172508.4063984382,-16.6604294731786
174110.1126592249,-16.82858958141242
175726.6904442428,-17.01162798721861
177358.2778326381,-17.1811433526832
179005.0141855945,-17.35569525876792
180667.0401582365,-17.51884966706126
182344.4977116434,-17.69042609657245
184037.530124975,-17.8528641806477
185746.2820077097,-18.01559777652255
187470.8993119961,-18.18438323330515
189211.5293451192,-18.33228374902924
190968.3207820833,-18.49411087830545
192741.4236783104,-18.64447104750942
194530.9894824571,-18.80131597493488
196337.1710493509,-18.95340664273658
198160.1226530459,-19.10035605002091
200000,-19.25608401296901
