#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:34:19.965
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-33.60448288705162
1063.326571637164,-33.60730864740881
1130.663397949641,-33.61062182327009
1202.264434617416,-33.60645038406909
1278.399719463026,-33.60596107840811
1359.356390878528,-33.60567745541435
1445.439770745931,-33.59730481239434
1536.974515935274,-33.60193372079732
1634.305842723141,-33.5906255667158
1737.80082874938,-33.60238936969937
1847.849797422294,-33.58766814976558
1964.867789993472,-33.57920942952735
2089.296130854043,-33.58224451304305
2221.604091955816,-33.56472671200726
2362.290662634467,-33.55762253297026
2511.886431509585,-33.54839036718327
2670.955587558991,-33.53112707446491
2840.098047914219,-33.51118975653299
3019.951720402022,-33.48978513849441
3211.19490936483,-33.4697324873358
3414.548873833608,-33.45290503617639
3630.780547701021,-33.43522651829177
3860.705432153823,-33.41359479124186
4105.190671273087,-33.37782174117106
4365.158322401669,-33.35313636024035
4641.588833612786,-33.32647426787965
4935.524741394816,-33.28239484714355
5248.074602497733,-33.23741893463867
5580.417174769976,-33.2083745244172
5933.805862753293,-33.15401613710993
6309.573444801943,-33.08854141972682
6709.137099554126,-33.01503178213164
7134.003750712579,-32.94113035841931
7585.775750291851,-32.85729268475735
8066.156921766152,-32.77394112650438
8576.958985908963,-32.65684823126163
9120.108393559114,-32.52324317710507
9697.653591082517,-32.39253779792471
10311.77274593057,-32.24400034454606
10964.78196143186,-32.08653410550875
11659.14401179832,-31.92317176252105
12397.47763028945,-31.73721273371525
13182.56738556409,-31.53303943838939
14017.37418346771,-31.31816371016001
14905.04643386197,-31.07688541645505
15848.93192461116,-30.81081729760704
16852.59044750753,-30.52958639664568
17919.80722375336,-30.23315402359779
19054.6071796325,-29.9122153130861
20261.27012621145,-29.56123673508321
21544.34690031884,-29.1969390891708
22908.67652767777,-28.83385891564481
24359.40447292029,-28.39977063559927
25902.00204531325,-27.99076480069403
27542.28703338169,-27.53927234181021
29286.4456462524,-27.06219381004757
31141.05584446762,-26.57361965431874
33113.11214825914,-26.05201642488154
35210.05201684524,-25.50932526599589
37439.78389823814,-24.95151148154285
39810.71705534978,-24.34504045413012
42331.79328088216,-23.71481571204237
45012.52062061341,-23.07326385018019
47863.00923226385,-22.36962459784851
50894.00951518099,-21.63710966531657
54116.95265464643,-20.86158267978438
57543.99373371572,-20.0267583228623
61188.05757518225,-19.14167330981158
65062.8874865558,-18.17666593109032
69183.09709189369,-17.12844968072399
73564.22544596421,-15.97257322818447
78222.79563860038,-14.69052221587109
83176.37711026717,-13.24495561709383
88443.65191386007,-11.63151990530696
94044.48517263534,-9.852038652834347
100000.0000000001,-8.055781710534138
106332.6571637163,-6.730970406216747
113066.339794964,-6.635032923395019
120226.4434617414,-7.85506673906815
127839.9719463024,-9.642286020414792
135935.6390878527,-11.47676840221528
144543.977074593,-13.13694866170328
153697.4515935273,-14.63069101802425
163430.5842723139,-15.97254404959365
173780.0828749378,-17.17099434255392
184784.9797422292,-18.28237830456981
196486.778999347,-19.29407087261311
208929.6130854041,-20.24619598887494
222160.4091955814,-21.12297290043049
236229.0662634465,-21.97005081894263
251188.6431509582,-22.75738415258728
267095.5587558988,-23.53571852306349
284009.8047914217,-24.26796541110784
301995.1720402019,-24.99101757039588
321119.4909364826,-25.68599173727674
341454.8873833602,-26.37341462192717
363078.0547701016,-27.03623152700688
386070.5432153813,-27.71002523122392
410519.0671273081,-28.34833295866933
436515.8322401663,-28.98941014076695
464158.8833612779,-29.63556565891344
493552.4741394809,-30.27052721553653
524807.4602497731,-30.89964163906193
558041.7174769967,-31.53106258836985
593380.5862753284,-32.20097509773431
630957.3444801933,-32.83223238422384
670913.7099554116,-33.47774127444865
713400.3750712569,-34.15138261912662
758577.575029184,-34.81380980206966
806615.692176614,-35.52398733528494
857695.8985908942,-36.2242153251781
912010.8393559101,-36.94597648372383
969765.3591082501,-37.67794067352789
1031177.274593055,-38.43427131021923
1096478.196143186,-39.27074307424215
1165914.401179833,-40.1317779674789
1239747.763028945,-41.04228681278058
1318256.738556408,-42.00391323098817
1401737.41834677,-43.06775437898043
1490504.643386197,-44.18854436992046
1584893.192461115,-45.41616053907421
1685259.044750752,-46.76467422141884
1791980.722375334,-48.28208405332249
1905460.717963247,-50.12810762547883
2026127.012621144,-52.30416994546793
2154434.690031885,-55.02018691330154
2290867.652767773,-58.21387105482717
2435940.447292028,-60.73180697102587
2590200.204531326,-59.57137433372679
2754228.703338167,-56.37962945444548
2928644.564625238,-53.60348869399091
3114105.584446759,-51.52533978517384
3311311.214825912,-49.82273100562615
3521005.201684522,-48.40724228450937
3743978.389823812,-47.2519557236506
3981071.705534974,-46.29535642659488
4233179.328088207,-45.40787259524513
4501252.062061337,-44.67867226917189
4786300.923226386,-43.99556623932098
5089400.95151809,-43.40016178753143
5411695.265464637,-42.87869907384966
5754399.373371567,-42.42640638169274
6118805.75751822,-42.01402215487374
6506288.748655574,-41.69301317695914
6918309.709189363,-41.39457226202889
7356422.544596414,-41.16047250199351
7822279.56386003,-40.92639409015472
8317637.711026709,-40.77760738032264
8844365.191385999,-40.62569248284275
9404448.517263513,-40.55402463175727
10000000,-40.51748848239568
