#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:35:06.697
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-21.8223528600025
50464.24006059373,-21.71795867493606
50932.79049786464,-21.603113065768
51405.69133280335,-21.48418433460696
51882.98295798738,-21.36330461006036
52364.70614103135,-21.25167227161835
52850.90202806905,-21.13773388212815
53341.6121472679,-21.03955936752267
53836.87841237617,-20.90178879965347
54336.74312630293,-20.7851435588125
54841.24898473131,-20.66200866075001
55350.43907976546,-20.54471525864997
55864.35690361102,-20.41945689717877
56383.04635229024,-20.30924884534288
56906.55172939115,-20.17208255095707
57434.91774985177,-20.04538678420522
57968.1895437795,-19.9170602160997
58506.41266030572,-19.7821519421155
59049.63307147654,-19.65609057267437
59597.89717617932,-19.52936872000431
60151.25180410585,-19.38497350647395
60709.74421975237,-19.25110285992
61273.42212645651,-19.11688786526951
61842.33367047189,-18.97623894830558
62416.52744508062,-18.84437896942658
62996.05249474368,-18.69381406736413
63580.95831929017,-18.54719347528154
64171.29487814524,-18.40089254034823
64767.11259459736,-18.25128404418173
65368.46236010528,-18.10648256249895
65975.39553864473,-17.95443814316605
66587.96397109581,-17.79566174518177
67206.21997967089,-17.64040730101644
67830.21637238361,-17.4814163223391
68460.00644755962,-17.32801487852159
69095.64399838883,-17.16213657778076
69737.18331752029,-16.99444785817074
70384.6792016995,-16.82635492921772
71038.18695644882,-16.65455062355545
71697.7624007914,-16.49961855880212
72363.46187201892,-16.31182922470156
73035.34223050365,-16.1322496227727
73713.46086455509,-15.94660454624828
74397.87569532174,-15.76878017433498
75088.64518173854,-15.58334691385578
75785.82832551993,-15.38998807919105
76489.4846761996,-15.19982641618544
77199.67433621682,-15.00593036867441
77916.45796605002,-14.81714896522614
78639.89678939813,-14.60237653362071
79370.05259840999,-14.39735534123096
80106.98775896225,-14.18691998218779
80850.76521598625,-13.98725638667667
81601.44849884458,-13.75405250218124
82359.10172675735,-13.53107359157439
83123.78961427879,-13.30935678152468
83895.57747682504,-13.09237284439776
84674.53123625273,-12.84409601428905
85460.71742648998,-12.60718781870467
86254.20319921909,-12.36564006585004
87055.05632961243,-12.13308617299579
87863.34522212141,-11.87120424322868
88679.13891631906,-11.62169414583192
89502.50709279726,-11.36409170169177
90333.52007911826,-11.11071002035217
91172.2488558217,-10.84223242037055
92018.76506248752,-10.5739638674312
92873.14100385488,-10.31565810471965
93735.44965599805,-10.03910043247223
94605.7646725596,-9.766790779831611
95484.16039104169,-9.496395913123902
96370.71183915522,-9.232794271801637
97265.49474122858,-8.95591787803005
98168.58552467548,-8.69159772677332
99080.06132652298,-8.442964567539045
100000,-8.177609756317512
100928.4801211875,-7.935299270254421
101865.5809957293,-7.708889979312964
102811.3826656067,-7.415873361919878
103765.9659159748,-7.210834323709294
104729.4122820627,-6.974603084822986
105701.8040561381,-6.81803561707051
106683.2242945358,-6.685942312574332
107673.7568247523,-6.585775096745238
108673.4862526058,-6.707530621642714
109682.4979694626,-6.657714859470229
110700.8781595309,-6.647233042766361
111728.713807222,-6.679709261002723
112766.0927045805,-6.734913971156975
113813.1034587823,-6.826407933196354
114869.8354997035,-6.955135227313935
115936.379087559,-7.107306821031592
117012.8253206114,-7.286292517039737
118099.2661429531,-7.484504720807161
119195.7943523586,-7.704174347471944
120302.5036082117,-7.943561416215554
121419.4884395047,-8.183209635145824
122546.844252913,-8.439915757910587
123684.6673409438,-8.716446177360666
124833.0548901612,-8.971789695364089
125992.1049894873,-9.244896763838574
127161.9166385803,-9.52178382213223
128342.5897562905,-9.798144131472773
129534.2251891947,-10.08149459217259
130736.9247202105,-10.34665613771229
131950.7910772894,-10.62271376323822
133175.9279421916,-10.89638882519249
134412.4399593418,-11.16233389346004
135660.4327447672,-11.43745135943785
136920.0128951192,-11.68674690238242
138191.2879967776,-11.94604900557472
139474.3666350406,-12.20173879953901
140769.358403399,-12.45089533749637
142076.3739128976,-12.70515468025562
143395.5248015828,-12.94107666847743
144726.9237440378,-13.18388172773934
146070.6844610073,-13.41362067820883
147426.9217291102,-13.64572922375955
148795.7513906435,-13.8696155232751
150177.290363477,-14.09134265292547
151571.6566510398,-14.3118664373261
152978.9693523992,-14.52598638977695
154399.3486724336,-14.74562130195373
155832.9159321,-14.94963654302296
157279.7935787962,-15.16325042641009
158740.10519682,-15.35836830503979
160213.9755179244,-15.56674385958377
161701.5304319724,-15.74916328940369
163202.8969976892,-15.9539332643209
164718.2034535146,-16.12902669112509
166247.5792285576,-16.32921080026618
167791.15495365,-16.51164601110189
169349.0624725055,-16.73187909447041
170921.43485298,-16.9708302471962
172508.4063984382,-17.10848017642512
174110.1126592249,-17.26510261193352
175726.6904442428,-17.43338343384789
177358.2778326381,-17.59530988335777
179005.0141855945,-17.76084387604693
180667.0401582365,-17.9215573208383
182344.4977116434,-18.08157313467371
184037.530124975,-18.24108822343608
185746.2820077097,-18.39743639531821
187470.8993119961,-18.55877068732775
189211.5293451192,-18.70583140862886
190968.3207820833,-18.86160075941735
192741.4236783104,-19.00287530021969
194530.9894824571,-19.15171941566427
196337.1710493509,-19.3004745933363
198160.1226530459,-19.4422944535613
200000,-19.59853355536915
