#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:58:45.079
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-21.69348822782693
50464.24006059373,-21.60549251910644
50932.79049786464,-21.49523201012604
51405.69133280335,-21.3947901308997
51882.98295798738,-21.29956603733348
52364.70614103135,-21.19691383065508
52850.90202806905,-21.10023444908628
53341.6121472679,-21.00740733268451
53836.87841237617,-20.89600298299126
54336.74312630293,-20.78701598923102
54841.24898473131,-20.68725867620614
55350.43907976546,-20.57355693169384
55864.35690361102,-20.46839506610424
56383.04635229024,-20.37033384576089
56906.55172939115,-20.2541175199481
57434.91774985177,-20.1481728736114
57968.1895437795,-20.02763724069654
58506.41266030572,-19.91366302154013
59049.63307147654,-19.80723739220796
59597.89717617932,-19.69794149238678
60151.25180410585,-19.56825608264229
60709.74421975237,-19.44982395838939
61273.42212645651,-19.32812295801799
61842.33367047189,-19.20537015259513
62416.52744508062,-19.09375882850197
62996.05249474368,-18.96102435466357
63580.95831929017,-18.83628760983521
64171.29487814524,-18.7106260158495
64767.11259459736,-18.58196710295709
65368.46236010528,-18.45633016905234
65975.39553864473,-18.32206172531067
66587.96397109581,-18.18426979784498
67206.21997967089,-18.05089826129548
67830.21637238361,-17.91592343884077
68460.00644755962,-17.78453252050866
69095.64399838883,-17.64087200248873
69737.18331752029,-17.49604007421734
70384.6792016995,-17.35165445712
71038.18695644882,-17.20375535495416
71697.7624007914,-17.07269290069862
72363.46187201892,-16.91054613338475
73035.34223050365,-16.75701622504536
73713.46086455509,-16.60332437979975
74397.87569532174,-16.45051701859738
75088.64518173854,-16.2949638678206
75785.82832551993,-16.12718789779529
76489.4846761996,-15.96752968696408
77199.67433621682,-15.80397507564116
77916.45796605002,-15.64923747205968
78639.89678939813,-15.46701852701357
79370.05259840999,-15.29687373459543
80106.98775896225,-15.12102393170295
80850.76521598625,-14.9594960209117
81601.44849884458,-14.76742489067218
82359.10172675735,-14.58461715898991
83123.78961427879,-14.40033469801987
83895.57747682504,-14.22623298987684
84674.53123625273,-14.02427432418464
85460.71742648998,-13.83130144868026
86254.20319921909,-13.63395264985861
87055.05632961243,-13.45063771182387
87863.34522212141,-13.24180754732805
88679.13891631906,-13.03903281808635
89502.50709279726,-12.83557699149253
90333.52007911826,-12.63152822951078
91172.2488558217,-12.41893363880883
92018.76506248752,-12.20993078534567
92873.14100385488,-12.00529094094454
93735.44965599805,-11.78784086497124
94605.7646725596,-11.57073020684436
95484.16039104169,-11.35682609712747
96370.71183915522,-11.14843035598549
97265.49474122858,-10.92772082341991
98168.58552467548,-10.71523148133924
99080.06132652298,-10.51501660683825
100000,-10.29399661575198
100928.4801211875,-10.09102268112402
101865.5809957293,-9.895712703079431
102811.3826656067,-9.698378287225935
103765.9659159748,-9.511725363401441
104729.4122820627,-9.333204373414009
105701.8040561381,-9.166508475177954
106683.2242945358,-9.006996380007338
107673.7568247523,-8.860915373641827
108673.4862526058,-8.736180904453107
109682.4979694626,-8.618725774563615
110700.8781595309,-8.521521671005491
111728.713807222,-8.446841775074187
112766.0927045805,-8.382887578092227
113813.1034587823,-8.342578764710906
114869.8354997035,-8.324759680025913
115936.379087559,-8.323810679224819
117012.8253206114,-8.342484580226031
118099.2661429531,-8.381749887483828
119195.7943523586,-8.441931770820746
120302.5036082117,-8.524940905132567
121419.4884395047,-8.610742499233927
122546.844252913,-8.721821499383955
123684.6673409438,-8.858122296850532
124833.0548901612,-8.984906592396234
125992.1049894873,-9.134828083277318
127161.9166385803,-9.297171927773544
128342.5897562905,-9.465900755637088
129534.2251891947,-9.65235686197812
130736.9247202105,-9.827386526906896
131950.7910772894,-10.01836515195289
133175.9279421916,-10.2189303821419
134412.4399593418,-10.41749654957549
135660.4327447672,-10.63076622408362
136920.0128951192,-10.82582331121402
138191.2879967776,-11.034659417294
139474.3666350406,-11.24262521419702
140769.358403399,-11.45105852164577
142076.3739128976,-11.66994386268757
143395.5248015828,-11.87264054503268
144726.9237440378,-12.08597322279903
146070.6844610073,-12.28725031133696
147426.9217291102,-12.49462032100942
148795.7513906435,-12.70219953450997
150177.290363477,-12.90639578219442
151571.6566510398,-13.10912605361145
152978.9693523992,-13.30779417745574
154399.3486724336,-13.51136195671862
155832.9159321,-13.70475791883619
157279.7935787962,-13.90981167049939
158740.10519682,-14.09241235252846
160213.9755179244,-14.29894738127904
161701.5304319724,-14.47477153558465
163202.8969976892,-14.67158657049363
164718.2034535146,-14.84107717549804
166247.5792285576,-15.03839320208006
167791.15495365,-15.20515392843252
169349.0624725055,-15.39814052097514
170921.43485298,-15.55854940381923
172508.4063984382,-15.74679210255712
174110.1126592249,-15.90600186141486
175726.6904442428,-16.08311827533706
177358.2778326381,-16.24360708390986
179005.0141855945,-16.41047254337426
180667.0401582365,-16.5744041116254
182344.4977116434,-16.73569895764128
184037.530124975,-16.89735463669005
185746.2820077097,-17.05588416266535
187470.8993119961,-17.22231348902304
189211.5293451192,-17.36924195030754
190968.3207820833,-17.52615876975474
192741.4236783104,-17.67437532821636
194530.9894824571,-17.82321703898812
196337.1710493509,-17.97633776713953
198160.1226530459,-18.11899190873146
200000,-18.27894736797903
