#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 16:39:29.674
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-41.05290999610502
1063.326571637164,-41.06161386931387
1130.663397949641,-41.05140050016524
1202.264434617416,-41.06127741347093
1278.399719463026,-41.05972394549099
1359.356390878528,-41.06341566327611
1445.439770745931,-41.05375144131824
1536.974515935274,-41.07567136788494
1634.305842723141,-41.05925321465229
1737.80082874938,-41.0737025763229
1847.849797422294,-41.06267558046714
1964.867789993472,-41.06614506091353
2089.296130854043,-41.08593432723887
2221.604091955816,-41.06546119937485
2362.290662634467,-41.06429715848412
2511.886431509585,-41.09561669607389
2670.955587558991,-41.0775905717609
2840.098047914219,-41.08945748740634
3019.951720402022,-41.08901630553014
3211.19490936483,-41.10035629077888
3414.548873833608,-41.11378329893192
3630.780547701021,-41.11044701280165
3860.705432153823,-41.12899580667337
4105.190671273087,-41.12434556943376
4365.158322401669,-41.15513409695174
4641.588833612786,-41.13762450866993
4935.524741394816,-41.16955308951064
5248.074602497733,-41.17423561481775
5580.417174769976,-41.19181269041589
5933.805862753293,-41.19480325825381
6309.573444801943,-41.21766670077718
6709.137099554126,-41.25769535978414
7134.003750712579,-41.2583655976531
7585.775750291851,-41.28907023913486
8066.156921766152,-41.32222513504311
8576.958985908963,-41.31025143930199
9120.108393559114,-41.34762022546317
9697.653591082517,-41.41795028949201
10311.77274593057,-41.4503812152971
10964.78196143186,-41.46448374676633
11659.14401179832,-41.52010833764006
12397.47763028945,-41.58379162487861
13182.56738556409,-41.67879644983763
14017.37418346771,-41.71495830382763
14905.04643386197,-41.81725820584585
15848.93192461116,-41.88186805421788
16852.59044750753,-41.92549622393401
17919.80722375336,-42.06536395365396
19054.6071796325,-42.18312026698363
20261.27012621145,-42.29944077208665
21544.34690031884,-42.40645408984977
22908.67652767777,-42.60909248895079
24359.40447292029,-42.74178135816534
25902.00204531325,-42.88473420739766
27542.28703338169,-43.04333181493142
29286.4456462524,-43.2229299160982
31141.05584446762,-43.40099571087228
33113.11214825914,-43.65316032228485
35210.05201684524,-43.97536621551836
37439.78389823814,-44.4219529607099
39810.71705534978,-45.03015016883811
42331.79328088216,-45.80413047234001
45012.52062061341,-46.88833793885714
47863.00923226385,-48.17814608479775
50894.00951518099,-49.9218480644485
54116.95265464643,-52.08256137681357
57543.99373371572,-54.36592794138465
61188.05757518225,-57.51252010494669
65062.8874865558,-60.30924548544513
69183.09709189369,-63.9292169258628
73564.22544596421,-67.24457607367039
78222.79563860038,-70.44002908528125
83176.37711026717,-74.65740476918994
88443.65191386007,-77.1574461651806
94044.48517263534,-78.46589556443674
100000.0000000001,-83.45085754454672
106332.6571637163,-89.74534656580261
113066.339794964,-90.26271665763468
120226.4434617414,-94.50678022542489
127839.9719463024,-99.21621091945175
135935.6390878527,-102.5040136519418
144543.977074593,-100.7645905835776
153697.4515935273,-85.53382407677249
163430.5842723139,-85.16137249803039
173780.0828749378,-87.51190802622013
184784.9797422292,-91.3223740064997
196486.778999347,-85.99631289576109
208929.6130854041,-94.03415090150659
222160.4091955814,-82.99492803823586
236229.0662634465,-83.994929159642
251188.6431509582,-84.5401374895894
267095.5587558988,-85.81503545773305
284009.8047914217,-84.35008303933205
301995.1720402019,-87.55319535620305
321119.4909364826,-84.68426641383243
341454.8873833602,-80.14486262893834
363078.0547701016,-87.18940405083119
386070.5432153813,-81.45241985775854
410519.0671273081,-80.63559658029163
436515.8322401663,-80.23532391145126
464158.8833612779,-79.09133690143419
493552.4741394809,-82.29175895002903
524807.4602497731,-80.88761113513459
558041.7174769967,-81.78044130707758
593380.5862753284,-82.5290702555062
630957.3444801933,-79.42227979086847
670913.7099554116,-77.47313780061437
713400.3750712569,-78.172573453748
758577.575029184,-82.34123851398488
806615.692176614,-78.36669959790123
857695.8985908942,-79.23118711031391
912010.8393559101,-78.04818567585043
969765.3591082501,-78.96375745902255
1031177.274593055,-77.31868228893779
1096478.196143186,-79.47196223926346
1165914.401179833,-77.83911832430219
1239747.763028945,-76.83227319075715
1318256.738556408,-78.82790367488768
1401737.41834677,-77.27938361396045
1490504.643386197,-76.87689948421587
1584893.192461115,-75.7991179876995
1685259.044750752,-72.9742193648824
1791980.722375334,-70.31677856731028
1905460.717963247,-67.32212903520013
2026127.012621144,-64.07769319102856
2154434.690031885,-60.85246834952414
2290867.652767773,-57.14182273317329
2435940.447292028,-52.80574159089748
2590200.204531326,-49.44746946424157
2754228.703338167,-48.08465067736453
2928644.564625238,-47.57224263202687
3114105.584446759,-47.79663865894683
3311311.214825912,-49.36538777065763
3521005.201684522,-51.35388129606953
3743978.389823812,-53.1584382556467
3981071.705534974,-54.87138663638133
4233179.328088207,-56.79479013736474
4501252.062061337,-59.00949233033242
4786300.923226386,-62.58354863517938
5089400.95151809,-66.45989619153788
5411695.265464637,-62.52924011269086
5754399.373371567,-56.10585533961885
6118805.75751822,-50.66202384130619
6506288.748655574,-45.69099312280918
6918309.709189363,-40.86914806212036
7356422.544596414,-38.22543649234744
7822279.56386003,-36.83877549170668
8317637.711026709,-36.0742570445622
8844365.191385999,-35.77060394121073
9404448.517263513,-36.39976620601718
10000000,-37.87075196705688
