#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 16:42:10.624
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-39.17555351025194
1063.326571637164,-39.13230025120556
1130.663397949641,-39.23235913139906
1202.264434617416,-39.12398835554491
1278.399719463026,-39.22063660301033
1359.356390878528,-39.24673777024961
1445.439770745931,-39.13126478109793
1536.974515935274,-39.20834980794343
1634.305842723141,-39.20292258119515
1737.80082874938,-39.25909817929527
1847.849797422294,-39.12205390750021
1964.867789993472,-39.23834006288824
2089.296130854043,-39.28467891876562
2221.604091955816,-39.18507614005745
2362.290662634467,-39.22517114479896
2511.886431509585,-39.22789169987729
2670.955587558991,-39.22034164384261
2840.098047914219,-39.15836492942832
3019.951720402022,-39.22425806262735
3211.19490936483,-39.20472080351372
3414.548873833608,-39.16826931117655
3630.780547701021,-39.19789900256617
3860.705432153823,-39.21002305523054
4105.190671273087,-39.35878001963349
4365.158322401669,-39.19920275169187
4641.588833612786,-39.19118457100193
4935.524741394816,-39.43132671821574
5248.074602497733,-38.92887569558757
5580.417174769976,-39.34241349820935
5933.805862753293,-39.25150371404618
6309.573444801943,-39.38795476355261
6709.137099554126,-39.40839354823876
7134.003750712579,-39.31751814613663
7585.775750291851,-39.22550585027946
8066.156921766152,-39.23831280892663
8576.958985908963,-39.35797855250205
9120.108393559114,-39.36591216413733
9697.653591082517,-39.46617002934989
10311.77274593057,-39.34345773748004
10964.78196143186,-39.41276914834935
11659.14401179832,-39.43103534771691
12397.47763028945,-39.71862767724852
13182.56738556409,-39.50318794293611
14017.37418346771,-39.33719470370725
14905.04643386197,-39.62633287963265
15848.93192461116,-39.6829597141322
16852.59044750753,-39.53865446040989
17919.80722375336,-39.66274245747443
19054.6071796325,-39.54916744321699
20261.27012621145,-39.61643653135879
21544.34690031884,-40.1169416341901
22908.67652767777,-39.6493411983107
24359.40447292029,-39.85492310874213
25902.00204531325,-39.70090893349364
27542.28703338169,-39.67790176446573
29286.4456462524,-39.81159707961869
31141.05584446762,-39.58089187744297
33113.11214825914,-39.70639521231491
35210.05201684524,-39.55491892162559
37439.78389823814,-39.33598736722474
39810.71705534978,-39.28081926854683
42331.79328088216,-39.24791673944433
45012.52062061341,-39.04243251703843
47863.00923226385,-39.59105309129252
50894.00951518099,-38.80312842554004
54116.95265464643,-39.37745202408309
57543.99373371572,-39.82949515541991
61188.05757518225,-39.72279269783229
65062.8874865558,-40.7077900922033
69183.09709189369,-40.92041339797449
73564.22544596421,-41.63025579462884
78222.79563860038,-43.69365056678993
83176.37711026717,-45.15608426362248
88443.65191386007,-47.08765703387215
94044.48517263534,-48.87412132156219
100000.0000000001,-52.52792162248073
106332.6571637163,-58.0806280857102
113066.339794964,-60.53762316665185
120226.4434617414,-59.57021165394467
127839.9719463024,-62.04566471385375
135935.6390878527,-69.8368871013538
144543.977074593,-74.41119336451632
153697.4515935273,-67.78689032004682
163430.5842723139,-75.64518304846206
173780.0828749378,-65.93591196976
184784.9797422292,-69.74430532803021
196486.778999347,-77.06451107574027
208929.6130854041,-66.4248255253184
222160.4091955814,-72.59163252075399
236229.0662634465,-64.00033351751814
251188.6431509582,-75.50152722237588
267095.5587558988,-68.87004416948857
284009.8047914217,-83.50010813541692
301995.1720402019,-68.83251898144306
321119.4909364826,-73.62520701772236
341454.8873833602,-61.86785043334286
363078.0547701016,-72.10274246164785
386070.5432153813,-69.69118226301825
410519.0671273081,-73.90260533229595
436515.8322401663,-70.54986318592609
464158.8833612779,-69.7634594802327
493552.4741394809,-64.7899893110723
524807.4602497731,-69.3678588278337
558041.7174769967,-70.19177784947226
593380.5862753284,-66.1752821823612
630957.3444801933,-68.31893630141907
670913.7099554116,-65.59455924789842
713400.3750712569,-84.4291707155302
758577.575029184,-68.90869585250772
806615.692176614,-64.27118924635211
857695.8985908942,-66.74954111654047
912010.8393559101,-73.84925649728176
969765.3591082501,-70.44339715583359
1031177.274593055,-77.10677433521292
1096478.196143186,-73.79302759301409
1165914.401179833,-76.24856441805348
1239747.763028945,-92.92608828338759
1318256.738556408,-76.06523705222106
1401737.41834677,-77.00826153062133
1490504.643386197,-72.00739203907953
1584893.192461115,-84.41070898460512
1685259.044750752,-69.55616960794677
1791980.722375334,-71.42935059939944
1905460.717963247,-70.27070467943022
2026127.012621144,-63.58398900065423
2154434.690031885,-63.22205767599932
2290867.652767773,-56.63502879885329
2435940.447292028,-54.66645883852652
2590200.204531326,-53.46218324755693
2754228.703338167,-52.34146592216294
2928644.564625238,-52.20190529888745
3114105.584446759,-51.95341840999041
3311311.214825912,-52.28649003567435
3521005.201684522,-52.60676170450155
3743978.389823812,-54.04611849024246
3981071.705534974,-54.97836183707121
4233179.328088207,-56.83593157306112
4501252.062061337,-60.46175270005135
4786300.923226386,-62.41051832097185
5089400.95151809,-66.07744789018868
5411695.265464637,-59.20824198203195
5754399.373371567,-52.41807068474646
6118805.75751822,-46.94629024449198
6506288.748655574,-44.02959307398455
6918309.709189363,-42.4392943335987
7356422.544596414,-41.3692194764926
7822279.56386003,-40.57665043854014
8317637.711026709,-40.06742231008662
8844365.191385999,-39.65010365346078
9404448.517263513,-39.50276000798073
10000000,-39.41552092154814
