#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 16:45:12.779
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 500 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 53.7845 V
#Offset: 0.00120451 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-42.13621841206439
1063.326571637164,-42.17122290720688
1130.663397949641,-42.07356081813437
1202.264434617416,-42.04936795905446
1278.399719463026,-42.05939361004823
1359.356390878528,-42.01902835326388
1445.439770745931,-42.04375358139575
1536.974515935274,-42.08944759352549
1634.305842723141,-42.00298850015778
1737.80082874938,-42.00665492795064
1847.849797422294,-41.97319991468669
1964.867789993472,-41.93541111465584
2089.296130854043,-41.91681318632217
2221.604091955816,-41.95785774450984
2362.290662634467,-41.96894906578776
2511.886431509585,-41.96305855544185
2670.955587558991,-41.89805631750446
2840.098047914219,-41.90275674213534
3019.951720402022,-41.92149591086343
3211.19490936483,-41.99117880051628
3414.548873833608,-41.89100094416045
3630.780547701021,-41.84042321345742
3860.705432153823,-41.86112726432435
4105.190671273087,-41.88165694053783
4365.158322401669,-41.96100641374238
4641.588833612786,-41.8772172492782
4935.524741394816,-41.90963694634775
5248.074602497733,-41.78201691644551
5580.417174769976,-41.92066273011304
5933.805862753293,-41.86302253883922
6309.573444801943,-41.89515170771813
6709.137099554126,-41.88386430877081
7134.003750712579,-41.83532819630291
7585.775750291851,-41.85648850309369
8066.156921766152,-41.8588718810576
8576.958985908963,-41.84375494294176
9120.108393559114,-41.7056262412066
9697.653591082517,-41.88639075223837
10311.77274593057,-41.8679764875567
10964.78196143186,-41.88358179602781
11659.14401179832,-41.76778787231249
12397.47763028945,-41.81134407039007
13182.56738556409,-41.89841793093946
14017.37418346771,-41.88140635679552
14905.04643386197,-41.85002270966436
15848.93192461116,-41.77785221490999
16852.59044750753,-41.7399395817442
17919.80722375336,-41.9462438164235
19054.6071796325,-41.74971789406275
20261.27012621145,-41.81803125460015
21544.34690031884,-41.70300591487116
22908.67652767777,-41.68650061354511
24359.40447292029,-41.65351179051602
25902.00204531325,-41.73101404636925
27542.28703338169,-41.82497147171402
29286.4456462524,-41.71070058970466
31141.05584446762,-41.50792918949003
33113.11214825914,-41.5719458564693
35210.05201684524,-41.64577007533904
37439.78389823814,-41.39584994446327
39810.71705534978,-41.22089382247747
42331.79328088216,-41.21325772251926
45012.52062061341,-40.84919774067143
47863.00923226385,-40.73109164165991
50894.00951518099,-40.59378591969271
54116.95265464643,-40.47041310070156
57543.99373371572,-40.36243630234802
61188.05757518225,-40.15564176472238
65062.8874865558,-39.9386839984514
69183.09709189369,-39.80591308919844
73564.22544596421,-39.94292755341779
78222.79563860038,-40.08611667925323
83176.37711026717,-40.25540213631464
88443.65191386007,-40.71369739214074
94044.48517263534,-41.98215875061855
100000.0000000001,-43.57730599212737
106332.6571637163,-45.83872237763136
113066.339794964,-48.31003483778898
120226.4434617414,-50.76587698880843
127839.9719463024,-53.68935834271878
135935.6390878527,-55.06689714871051
144543.977074593,-56.56975054745612
153697.4515935273,-58.35255594289885
163430.5842723139,-61.15529151615316
173780.0828749378,-62.11878111043256
184784.9797422292,-58.80967409980263
196486.778999347,-76.31507013489204
208929.6130854041,-77.28787483992076
222160.4091955814,-64.94350261117478
236229.0662634465,-64.8289162551429
251188.6431509582,-64.60025160437584
267095.5587558988,-66.00981509595719
284009.8047914217,-64.98309370203459
301995.1720402019,-68.84744903931056
321119.4909364826,-65.63000174692787
341454.8873833602,-68.18815632860387
363078.0547701016,-67.57430490030016
386070.5432153813,-65.37817487876821
410519.0671273081,-74.37535156337303
436515.8322401663,-70.02794337445016
464158.8833612779,-67.6352957416552
493552.4741394809,-67.80954453587627
524807.4602497731,-72.53972822250053
558041.7174769967,-71.63284611582129
593380.5862753284,-72.32439125767962
630957.3444801933,-73.79148472864246
670913.7099554116,-85.65101236266801
713400.3750712569,-79.06941509579815
758577.575029184,-79.40917710926639
806615.692176614,-78.2527640920386
857695.8985908942,-82.17273292221279
912010.8393559101,-75.04882292893048
969765.3591082501,-75.62214531380064
1031177.274593055,-79.09220308172786
1096478.196143186,-75.98954162910155
1165914.401179833,-74.88713408894174
1239747.763028945,-75.7719839974487
1318256.738556408,-78.97510091341324
1401737.41834677,-76.29934420438802
1490504.643386197,-71.79001549337384
1584893.192461115,-73.72174023743574
1685259.044750752,-70.67253488802228
1791980.722375334,-68.5502581280046
1905460.717963247,-68.21094188527934
2026127.012621144,-65.01116162506901
2154434.690031885,-61.5324960745756
2290867.652767773,-59.02873982067675
2435940.447292028,-57.22999495572198
2590200.204531326,-57.06323926900773
2754228.703338167,-56.72681820911245
2928644.564625238,-56.26223646381204
3114105.584446759,-56.90689191806641
3311311.214825912,-57.16479654804896
3521005.201684522,-58.45387468100498
3743978.389823812,-58.28668646151667
3981071.705534974,-59.49605830320445
4233179.328088207,-57.32579917655598
4501252.062061337,-53.53552949453505
4786300.923226386,-50.29410146530876
5089400.95151809,-48.41597970417463
5411695.265464637,-47.48812522441692
5754399.373371567,-46.79998692844354
6118805.75751822,-46.12065145230562
6506288.748655574,-45.69625774032403
6918309.709189363,-45.35615447622696
7356422.544596414,-44.71581560424802
7822279.56386003,-44.42023020475058
8317637.711026709,-44.20460003091662
8844365.191385999,-43.99126703423673
9404448.517263513,-43.85961444758108
10000000,-43.88688747213284
