#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:38:30.461
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-38.24275844572176
1063.326571637164,-38.23590923595
1130.663397949641,-38.23737004357583
1202.264434617416,-38.23167277424626
1278.399719463026,-38.21661798040728
1359.356390878528,-38.21378280999375
1445.439770745931,-38.20648311141338
1536.974515935274,-38.19592445051836
1634.305842723141,-38.16003177154126
1737.80082874938,-38.1713105006105
1847.849797422294,-38.12098619801246
1964.867789993472,-38.12375995041651
2089.296130854043,-38.10503069228893
2221.604091955816,-38.08193814307062
2362.290662634467,-38.05781923364501
2511.886431509585,-38.0388734512056
2670.955587558991,-37.98233731636123
2840.098047914219,-37.94977283316718
3019.951720402022,-37.91379163663911
3211.19490936483,-37.87144546971249
3414.548873833608,-37.81784484859031
3630.780547701021,-37.77343534838366
3860.705432153823,-37.70532606030557
4105.190671273087,-37.61489987524374
4365.158322401669,-37.52688714827686
4641.588833612786,-37.44454318274371
4935.524741394816,-37.3515146796086
5248.074602497733,-37.2391812684285
5580.417174769976,-37.13246069811711
5933.805862753293,-37.00665254396762
6309.573444801943,-36.86169631484218
6709.137099554126,-36.6934353630603
7134.003750712579,-36.52313011635783
7585.775750291851,-36.33242352492092
8066.156921766152,-36.12723703638714
8576.958985908963,-35.90518220185633
9120.108393559114,-35.65957996855406
9697.653591082517,-35.40265439571093
10311.77274593057,-35.13168705643301
10964.78196143186,-34.82894160800122
11659.14401179832,-34.51811023967362
12397.47763028945,-34.19026306262248
13182.56738556409,-33.83680359805167
14017.37418346771,-33.50181240756183
14905.04643386197,-33.1249527398646
15848.93192461116,-32.71234898222181
16852.59044750753,-32.29812724524854
17919.80722375336,-31.86681550730414
19054.6071796325,-31.42590986572108
20261.27012621145,-30.94921758389047
21544.34690031884,-30.47769574918568
22908.67652767777,-29.99481291873935
24359.40447292029,-29.47429833895566
25902.00204531325,-28.95665372207566
27542.28703338169,-28.42566860942645
29286.4456462524,-27.86542553893511
31141.05584446762,-27.29880460170249
33113.11214825914,-26.71173014292451
35210.05201684524,-26.1116130939992
37439.78389823814,-25.49379979401266
39810.71705534978,-24.84328669258536
42331.79328088216,-24.17533990294903
45012.52062061341,-23.50291869400287
47863.00923226385,-22.76863830046223
50894.00951518099,-22.00722584006934
54116.95265464643,-21.21271114617059
57543.99373371572,-20.3685594419101
61188.05757518225,-19.47530151813272
65062.8874865558,-18.51301379520626
69183.09709189369,-17.46315074195336
73564.22544596421,-16.30854454653919
78222.79563860038,-15.0248503065045
83176.37711026717,-13.55891383477364
88443.65191386007,-11.8766919527946
94044.48517263534,-9.909044710273475
100000.0000000001,-7.671743436907672
106332.6571637163,-5.57922958765106
113066.339794964,-4.87257017218017
120226.4434617414,-6.002472541280028
127839.9719463024,-7.925751244489899
135935.6390878527,-9.918297683207504
144543.977074593,-11.72188484934143
153697.4515935273,-13.32599382621607
163430.5842723139,-14.75844323169972
173780.0828749378,-16.02796261571907
184784.9797422292,-17.19167228113704
196486.778999347,-18.24813171621593
208929.6130854041,-19.23644147076051
222160.4091955814,-20.13787734840513
236229.0662634465,-21.00627917311687
251188.6431509582,-21.82897076689709
267095.5587558988,-22.62372360617002
284009.8047914217,-23.36891332138547
301995.1720402019,-24.09005922798141
321119.4909364826,-24.80879221621851
341454.8873833602,-25.50480891052163
363078.0547701016,-26.19204804671284
386070.5432153813,-26.87073935887767
410519.0671273081,-27.53837613452136
436515.8322401663,-28.18325938815155
464158.8833612779,-28.82815954971714
493552.4741394809,-29.49137056860774
524807.4602497731,-30.15619966954515
558041.7174769967,-30.80398183560767
593380.5862753284,-31.48527753898877
630957.3444801933,-32.1532176838405
670913.7099554116,-32.83582021158171
713400.3750712569,-33.53702858542613
758577.575029184,-34.24872817009117
806615.692176614,-34.99164807860001
857695.8985908942,-35.76104079545041
912010.8393559101,-36.55365929177853
969765.3591082501,-37.37285121478519
1031177.274593055,-38.24111064778411
1096478.196143186,-39.18645416697536
1165914.401179833,-40.19171055169168
1239747.763028945,-41.29168460111948
1318256.738556408,-42.49764029060879
1401737.41834677,-43.79613740609331
1490504.643386197,-45.2727320145945
1584893.192461115,-46.9237751591335
1685259.044750752,-48.86654206226311
1791980.722375334,-51.1160674689074
1905460.717963247,-53.72092209331214
2026127.012621144,-55.71009084482306
2154434.690031885,-55.38057892194767
2290867.652767773,-53.15729419622878
2435940.447292028,-50.82079576622014
2590200.204531326,-48.78533397232458
2754228.703338167,-47.13231622375923
2928644.564625238,-45.71157697868326
3114105.584446759,-44.48018364670278
3311311.214825912,-43.40729663999988
3521005.201684522,-42.4567672195893
3743978.389823812,-41.62691017931539
3981071.705534974,-40.89347416494601
4233179.328088207,-40.2106532209719
4501252.062061337,-39.60592782365343
4786300.923226386,-39.07545985933552
5089400.95151809,-38.58830748993476
5411695.265464637,-38.16115146068793
5754399.373371567,-37.79627631904049
6118805.75751822,-37.47198916158948
6506288.748655574,-37.18293117596802
6918309.709189363,-36.93438985848638
7356422.544596414,-36.73302790730965
7822279.56386003,-36.54636115239374
8317637.711026709,-36.41739574465981
8844365.191385999,-36.30012343226052
9404448.517263513,-36.23799519217371
10000000,-36.18737208277951
