#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-17 14:37:13.328
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-22.22742436956535
50464.24006059373,-22.11494236292241
50932.79049786464,-21.98739957011945
51405.69133280335,-21.86915203676815
51882.98295798738,-21.75673863162879
52364.70614103135,-21.63965893121906
52850.90202806905,-21.51918702819339
53341.6121472679,-21.41007280090273
53836.87841237617,-21.28153580999493
54336.74312630293,-21.15302283381749
54841.24898473131,-21.02656710536483
55350.43907976546,-20.90057418813586
55864.35690361102,-20.77484754797527
56383.04635229024,-20.6640900806493
56906.55172939115,-20.52339188593484
57434.91774985177,-20.39057524145472
57968.1895437795,-20.26006258143557
58506.41266030572,-20.12415601217806
59049.63307147654,-19.99660423450374
59597.89717617932,-19.8717781465272
60151.25180410585,-19.71912979959072
60709.74421975237,-19.58458180482862
61273.42212645651,-19.44700252777282
61842.33367047189,-19.30525487516989
62416.52744508062,-19.17405127969446
62996.05249474368,-19.02046951069469
63580.95831929017,-18.87031254741065
64171.29487814524,-18.72296330372141
64767.11259459736,-18.57280452175782
65368.46236010528,-18.42745276210022
65975.39553864473,-18.2742107852206
66587.96397109581,-18.11337177881154
67206.21997967089,-17.95741179978279
67830.21637238361,-17.79537933920962
68460.00644755962,-17.64488912523404
69095.64399838883,-17.47483562404287
69737.18331752029,-17.30490820455195
70384.6792016995,-17.13745311458924
71038.18695644882,-16.9658243108142
71697.7624007914,-16.80727825572217
72363.46187201892,-16.61612463881323
73035.34223050365,-16.4369572324024
73713.46086455509,-16.25273410068409
74397.87569532174,-16.0730192517313
75088.64518173854,-15.88419897690657
75785.82832551993,-15.6880560964821
76489.4846761996,-15.49413485555343
77199.67433621682,-15.29322058075554
77916.45796605002,-15.10175065957663
78639.89678939813,-14.88441002537163
79370.05259840999,-14.67627871377143
80106.98775896225,-14.46152138369985
80850.76521598625,-14.25375399919774
81601.44849884458,-14.01836963991469
82359.10172675735,-13.78831949309909
83123.78961427879,-13.55575135561291
83895.57747682504,-13.33244550882947
84674.53123625273,-13.07357702489963
85460.71742648998,-12.8277715637525
86254.20319921909,-12.57165123416618
87055.05632961243,-12.32534485874568
87863.34522212141,-12.04410744501552
88679.13891631906,-11.77136239990789
89502.50709279726,-11.49575496557136
90333.52007911826,-11.21291456038161
91172.2488558217,-10.91514093463168
92018.76506248752,-10.61719924441276
92873.14100385488,-10.31810060924082
93735.44965599805,-9.996819706448569
94605.7646725596,-9.679419327590516
95484.16039104169,-9.353105022965138
96370.71183915522,-9.027349216303065
97265.49474122858,-8.680777345237038
98168.58552467548,-8.339244411700278
99080.06132652298,-8.004986796143674
100000,-7.648838419861434
100928.4801211875,-7.306807142648131
101865.5809957293,-6.968587234749807
102811.3826656067,-6.63364112690428
103765.9659159748,-6.313511391894112
104729.4122820627,-6.014479860664181
105701.8040561381,-5.737760429912169
106683.2242945358,-5.486501900597155
107673.7568247523,-5.273662955081723
108673.4862526058,-5.105571406634942
109682.4979694626,-4.974895902572988
110700.8781595309,-4.895090990973186
111728.713807222,-4.867279644098265
112766.0927045805,-4.880103414804885
113813.1034587823,-4.94241330077131
114869.8354997035,-5.049891570887423
115936.379087559,-5.191061919081299
117012.8253206114,-5.369686735984148
118099.2661429531,-5.576787081586896
119195.7943523586,-5.808576199626463
120302.5036082117,-6.066969628133156
121419.4884395047,-6.328359374778312
122546.844252913,-6.610726136811685
123684.6673409438,-6.91229984626573
124833.0548901612,-7.198735859590641
125992.1049894873,-7.500451811395385
127161.9166385803,-7.805147439641904
128342.5897562905,-8.110325859183931
129534.2251891947,-8.42577451826887
130736.9247202105,-8.718667199917133
131950.7910772894,-9.018979482289083
133175.9279421916,-9.321877682555385
134412.4399593418,-9.612877726489886
135660.4327447672,-9.912355153906546
136920.0128951192,-10.19035380269522
138191.2879967776,-10.47181994665069
139474.3666350406,-10.7506417908599
140769.358403399,-11.02152575564283
142076.3739128976,-11.29957783480146
143395.5248015828,-11.55271397328931
144726.9237440378,-11.81599765984851
146070.6844610073,-12.06389691668641
147426.9217291102,-12.31377065528307
148795.7513906435,-12.55880406383522
150177.290363477,-12.79700147836565
151571.6566510398,-13.03488852509706
152978.9693523992,-13.26242982202684
154399.3486724336,-13.49560009361966
155832.9159321,-13.71197006122991
157279.7935787962,-13.94143654226975
158740.10519682,-14.14722756884239
160213.9755179244,-14.37438459609788
161701.5304319724,-14.56776022262909
163202.8969976892,-14.78287207185312
164718.2034535146,-14.96983912794226
166247.5792285576,-15.18060912580219
167791.15495365,-15.36380106293782
169349.0624725055,-15.57002854927191
170921.43485298,-15.74380016169328
172508.4063984382,-15.94115884139567
174110.1126592249,-16.11245491009425
175726.6904442428,-16.29667732962321
177358.2778326381,-16.46627534617532
179005.0141855945,-16.64270475799538
180667.0401582365,-16.81623105210135
182344.4977116434,-16.98467058843138
184037.530124975,-17.15200774508939
185746.2820077097,-17.31999319039681
187470.8993119961,-17.49085156999212
189211.5293451192,-17.64223408501101
190968.3207820833,-17.80766442397219
192741.4236783104,-17.96304168233663
194530.9894824571,-18.11653532069782
196337.1710493509,-18.2730354788246
198160.1226530459,-18.42385275807033
200000,-18.58531965388512
