#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-02 15:16:38.968
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-38.71202781937678
1063.326571637162,-38.25474045811003
1130.663397949639,-37.80235970383254
1202.264434617413,-37.33328734792566
1278.399719463023,-36.87119665482644
1359.356390878525,-36.39607237268343
1445.439770745928,-35.90088650860979
1536.974515935271,-35.40792669665092
1634.305842723138,-34.90860413266604
1737.800828749376,-34.41615938402978
1847.849797422291,-33.89458859758109
1964.867789993468,-33.39273671567054
2089.296130854039,-32.89699991581039
2221.604091955812,-32.38116520760445
2362.290662634463,-31.86154378422749
2511.886431509579,-31.35285471752557
2670.955587558985,-30.81886583559024
2840.098047914214,-30.31267670845573
3019.951720402016,-29.78956616751596
3211.194909364824,-29.26571734615262
3414.548873833601,-28.73921458336038
3630.780547701014,-28.22025345011774
3860.705432153815,-27.70184501007458
4105.190671273079,-27.16289276133273
4365.158322401661,-26.63808817174167
4641.588833612777,-26.1160017678618
4935.524741394806,-25.58473211710533
5248.074602497722,-25.06216065844971
5580.417174769963,-24.54211133879351
5933.805862753281,-24.01933258206164
6309.57344480193,-23.4883902336291
6709.137099554112,-22.95284353301591
7134.003750712565,-22.41963087644874
7585.775750291836,-21.89222748834526
8066.156921766135,-21.37613882442576
8576.958985908946,-20.83174260325865
9120.108393559096,-20.30325036485927
9697.653591082495,-19.77273743416525
10311.77274593056,-19.24467540240449
10964.78196143185,-18.71538942052577
11659.14401179831,-18.1844991438793
12397.47763028944,-17.65872352373929
13182.56738556407,-17.12738985402786
14017.37418346769,-16.60168515026175
14905.04643386196,-16.07613003626449
15848.93192461114,-15.53346269246411
16852.59044750751,-15.00939938599803
17919.80722375334,-14.47244808196073
19054.60717963248,-13.93245366321775
20261.27012621143,-13.39794825810462
21544.34690031882,-12.86278917196654
22908.67652767774,-12.33956683184772
24359.40447292027,-11.78851544636242
25902.00204531322,-11.25078808989921
27542.28703338166,-10.71002212216051
29286.44564625237,-10.1691047317167
31141.05584446758,-9.632069361686126
33113.11214825911,-9.083959498657304
35210.05201684521,-8.539294594816532
37439.78389823811,-8.004061391226092
39810.71705534973,-7.44700024807198
42331.79328088211,-6.89964296053236
45012.52062061337,-6.368793411217267
47863.0092322638,-5.808439125188722
50894.00951518094,-5.26197677734721
54116.95265464637,-4.720517080507518
57543.99373371567,-4.185533963432946
61188.05757518219,-3.656625333991647
65062.88748655574,-3.138590238823077
69183.09709189362,-2.636140353759269
73564.22544596414,-2.151011800340292
78222.79563860029,-1.697626316112807
83176.37711026709,-1.272570726321065
88443.65191385998,-0.893931241577104
94044.48517263524,-0.5695751101551532
100000,-0.3089786260470309
106332.6571637162,-0.1202063173285009
113066.3397949639,-0.01247502763571358
120226.4434617413,0.005386698781836502
127839.9719463023,-0.05284146204552801
135935.6390878526,-0.2106053030355828
144543.9770745928,-0.4259046355226723
153697.4515935271,-0.7203096718301163
163430.5842723137,-1.078697976384793
173780.0828749376,-1.472456782990444
184784.9797422291,-1.924529088970528
196486.7789993468,-2.391555537061334
208929.6130854039,-2.896764318340245
222160.4091955812,-3.400079138372067
236229.0662634463,-3.933576961671368
251188.6431509579,-4.466798126117702
267095.5587558986,-5.023967299465076
284009.8047914214,-5.560913903671107
301995.1720402016,-6.112459024414219
321119.4909364824,-6.666172530728264
341454.8873833601,-7.221556077188181
363078.0547701014,-7.776896776731689
386070.5432153811,-8.346308364775787
410519.0671273078,-8.901913345691714
436515.8322401661,-9.443948390777482
464158.8833612778,-10.00058200555817
493552.4741394806,-10.55527799536409
524807.4602497729,-11.11194236727561
558041.7174769964,-11.66804624419721
593380.5862753281,-12.23437523388726
630957.344480193,-12.78483847025593
670913.7099554111,-13.34521286055001
713400.3750712564,-13.90715401742099
758577.5750291835,-14.48027615998953
806615.6921766135,-15.03810260674326
857695.8985908937,-15.60833882106577
912010.8393559097,-16.18143503254219
969765.3591082495,-16.75812824282401
1031177.274593055,-17.34005892426395
1096478.196143185,-17.92998765748111
1165914.401179832,-18.52563324025049
1239747.763028944,-19.12703159268138
1318256.738556407,-19.73574040933745
1401737.418346769,-20.35595591357695
1490504.643386196,-20.9883435989314
1584893.192461114,-21.62387583707056
1685259.044750751,-22.2757846654531
1791980.722375334,-22.94490467584296
1905460.717963246,-23.65089045402701
2026127.012621143,-24.34518061527841
2154434.690031885,-25.07309557716574
2290867.652767772,-25.83145197954167
2435940.447292027,-26.61571336893445
2590200.204531325,-27.44059168701423
2754228.703338166,-28.31415566038549
2928644.564625237,-29.20905869749037
3114105.584446758,-30.180646384444
3311311.214825911,-31.19806633523186
3521005.201684521,-32.32340352446859
3743978.389823811,-33.5011345639959
3981071.705534973,-34.81565044130222
4233179.328088207,-36.271683192001
4501252.062061337,-37.88864930721014
4786300.923226385,-39.80774678206829
5089400.951518089,-42.06653323469722
5411695.265464637,-44.94337344126039
5754399.373371566,-48.57380026014382
6118805.757518219,-54.34681585122199
6506288.748655573,-60.48754311956257
6918309.709189363,-53.95232491845994
7356422.544596414,-49.1165193772989
7822279.56386003,-46.30056980284209
8317637.711026709,-44.40780151617439
8844365.191385999,-42.82296981656654
9404448.517263513,-41.65766256785952
10000000,-40.74749191526637
