#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-02 15:17:36.308
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-5.422162815473169
50464.24006059373,-5.347107327622264
50932.79049786464,-5.255396692308299
51405.69133280335,-5.172478657419539
51882.98295798738,-5.09199110143422
52364.70614103135,-5.010274551184541
52850.90202806905,-4.929230375249246
53341.6121472679,-4.859460958195813
53836.87841237617,-4.769273912845115
54336.74312630293,-4.682758257745807
54841.24898473131,-4.603620072192859
55350.43907976546,-4.524282234071858
55864.35690361102,-4.442542788688693
56383.04635229024,-4.37488626090427
56906.55172939115,-4.283301316611158
57434.91774985177,-4.200683876055933
57968.1895437795,-4.120479080829807
58506.41266030572,-4.03995789108949
59049.63307147654,-3.963761282531157
59597.89717617932,-3.893162968823265
60151.25180410585,-3.802181006957884
60709.74421975237,-3.722918486392313
61273.42212645651,-3.644762632436862
61842.33367047189,-3.56537755026004
62416.52744508062,-3.495958583020776
62996.05249474368,-3.409506495020951
63580.95831929017,-3.329462356142754
64171.29487814524,-3.252829075143706
64767.11259459736,-3.174491702929645
65368.46236010528,-3.103987296938331
65975.39553864473,-3.025866562869182
66587.96397109581,-2.943954390450706
67206.21997967089,-2.869455100445681
67830.21637238361,-2.793212035124985
68460.00644755962,-2.727244177672953
69095.64399838883,-2.646791651032812
69737.18331752029,-2.570232648351858
70384.6792016995,-2.49609666281455
71038.18695644882,-2.421494461937877
71697.7624007914,-2.364863599042602
72363.46187201892,-2.2771102209904
73035.34223050365,-2.206221559992365
73713.46086455509,-2.13517129944348
74397.87569532174,-2.06865126613184
75088.64518173854,-1.999642989310109
75785.82832551993,-1.92574532816278
76489.4846761996,-1.857183834082259
77199.67433621682,-1.790496299101611
77916.45796605002,-1.733580499597782
78639.89678939813,-1.6573005468311
79370.05259840999,-1.590494929555839
80106.98775896225,-1.525965153012014
80850.76521598625,-1.477931944446589
81601.44849884458,-1.398759279096545
82359.10172675735,-1.337627361731807
83123.78961427879,-1.275656114710648
83895.57747682504,-1.231020063369497
84674.53123625273,-1.156876931915269
85460.71742648998,-1.099401784875333
86254.20319921909,-1.042842206787821
87055.05632961243,-0.9991446104358869
87863.34522212141,-0.9322848854851223
88679.13891631906,-0.8801119794287755
89502.50709279726,-0.8281954808000892
90333.52007911826,-0.7807395423189973
91172.2488558217,-0.7265391449056493
92018.76506248752,-0.6783828544590658
92873.14100385488,-0.6378949516355157
93735.44965599805,-0.5866859172747706
94605.7646725596,-0.5420500619145101
95484.16039104169,-0.4990332741899148
96370.71183915522,-0.4632771088788724
97265.49474122858,-0.417978682001836
98168.58552467548,-0.3801450304805282
99080.06132652298,-0.3548729482661375
100000,-0.3078134527371859
100928.4801211875,-0.2755329624002598
101865.5809957293,-0.2472452720959475
102811.3826656067,-0.2142828785606294
103765.9659159748,-0.1863500731733778
104729.4122820627,-0.1599066183123053
105701.8040561381,-0.1381519318339386
106683.2242945358,-0.1119408424147106
107673.7568247523,-0.09222069326967341
108673.4862526058,-0.07648551630306062
109682.4979694626,-0.0556419714901733
110700.8781595309,-0.04005140694071802
111728.713807222,-0.03150544624558323
112766.0927045805,-0.01547679386759563
113813.1034587823,-0.006310704694173961
114869.8354997035,-0.0004505292361825489
115936.379087559,0.007437478480059566
117012.8253206114,0.009424779116821276
118099.2661429531,0.01249705126872777
119195.7943523586,0.01130981091365973
120302.5036082117,0.003232076436974006
121419.4884395047,0.005521788782537623
122546.844252913,-0.0003530976338611913
123684.6673409438,-0.02047404316744707
124833.0548901612,-0.01778294643641172
125992.1049894873,-0.03004230261112572
127161.9166385803,-0.04563058257716929
128342.5897562905,-0.0608355405791119
129534.2251891947,-0.08698604287734611
130736.9247202105,-0.09732388272483185
131950.7910772894,-0.1185970238797559
133175.9279421916,-0.1439545748240299
134412.4399593418,-0.167435525723349
135660.4327447672,-0.2033766242032578
136920.0128951192,-0.222237147261701
138191.2879967776,-0.2526344487141746
139474.3666350406,-0.2853624601046648
140769.358403399,-0.3189082124829454
142076.3739128976,-0.3621235704942757
143395.5248015828,-0.3908791040775347
144726.9237440378,-0.4369015446876791
146070.6844610073,-0.4691430828370272
147426.9217291102,-0.5124140174123096
148795.7513906435,-0.5549821717116756
150177.290363477,-0.5988594023424331
