#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-02 16:51:53.361
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000.000000000002,-39.01339103888483
1063.326571637164,-38.5310336168379
1130.663397949641,-38.0402091579551
1202.264434617416,-37.54834173166069
1278.399719463026,-37.06264261825585
1359.356390878528,-36.56783412011444
1445.439770745931,-36.05189209311195
1536.974515935274,-35.54517329204158
1634.305842723141,-35.03279681276573
1737.80082874938,-34.5197335375376
1847.849797422294,-33.98996018058004
1964.867789993472,-33.47126668487718
2089.296130854043,-32.97160748792938
2221.604091955816,-32.43843795175626
2362.290662634467,-31.91537153268072
2511.886431509585,-31.39805494681571
2670.955587558991,-30.86456168863063
2840.098047914219,-30.33463875663898
3019.951720402022,-29.81763890712422
3211.19490936483,-29.28783746983147
3414.548873833608,-28.75728192528384
3630.780547701021,-28.23549694695253
3860.705432153823,-27.71599276880601
4105.190671273087,-27.17389817151457
4365.158322401669,-26.64974091969129
4641.588833612786,-26.1170926668443
4935.524741394816,-25.589264864989
5248.074602497733,-25.05993270405596
5580.417174769976,-24.54161439041151
5933.805862753293,-24.0173172035608
6309.573444801943,-23.4820022218464
6709.137099554126,-22.94908554599749
7134.003750712579,-22.41378928081513
7585.775750291851,-21.88791844944898
8066.156921766152,-21.37207675316102
8576.958985908963,-20.82934418009888
9120.108393559114,-20.29916703217669
9697.653591082517,-19.7674381201349
10311.77274593057,-19.23808868374156
10964.78196143186,-18.70905529902614
11659.14401179832,-18.17995126294233
12397.47763028945,-17.64972086841621
13182.56738556409,-17.1201399404112
14017.37418346771,-16.59325720055034
14905.04643386197,-16.06993920532232
15848.93192461116,-15.52612584606081
16852.59044750753,-15.00062590406455
17919.80722375336,-14.46265326373755
19054.6071796325,-13.92501977617028
20261.27012621145,-13.39038270120226
21544.34690031884,-12.8526019715999
22908.67652767777,-12.33102214527716
24359.40447292029,-11.77879665909416
25902.00204531325,-11.24055429385907
27542.28703338169,-10.69985588446218
29286.4456462524,-10.15867742999188
31141.05584446762,-9.622204225120029
33113.11214825914,-9.073984338578652
35210.05201684524,-8.528502454451989
37439.78389823814,-7.992944885433831
39810.71705534978,-7.437145700782325
42331.79328088216,-6.888576970245236
45012.52062061341,-6.358558616785356
47863.00923226385,-5.798991076414117
50894.00951518099,-5.253220765184735
54116.95265464643,-4.711906497840412
57543.99373371572,-4.17549027473639
61188.05757518225,-3.647910453419824
65062.8874865558,-3.12946184852151
69183.09709189369,-2.626913092614196
73564.22544596421,-2.143774396817095
78222.79563860038,-1.68970770815876
83176.37711026717,-1.266035806687467
88443.65191386007,-0.8901339038123384
94044.48517263534,-0.563643647861526
100000.0000000001,-0.3038625505827566
106332.6571637163,-0.116393939040505
113066.339794964,-0.009579922775978397
120226.4434617414,0.008401210507449049
127839.9719463024,-0.05190007812253962
135935.6390878527,-0.2093510794133682
144543.977074593,-0.4281181314222382
153697.4515935273,-0.7228447064652415
163430.5842723139,-1.084011558997387
173780.0828749378,-1.478624384043336
184784.9797422292,-1.932072226914574
196486.778999347,-2.400665958245415
208929.6130854041,-2.907915503443032
222160.4091955814,-3.414523070549742
236229.0662634465,-3.951384281729989
251188.6431509582,-4.4880538373489
267095.5587558988,-5.048286858295268
284009.8047914217,-5.588391919455272
301995.1720402019,-6.145039139324208
321119.4909364826,-6.703438534598974
341454.8873833602,-7.266321326880412
363078.0547701016,-7.828090383055072
386070.5432153813,-8.405272375547877
410519.0671273081,-8.970006289580784
436515.8322401663,-9.521039327983603
464158.8833612779,-10.08803350598616
493552.4741394809,-10.65659506602954
524807.4602497731,-11.22805131097989
558041.7174769967,-11.80011451922353
593380.5862753284,-12.38340604102399
630957.3444801933,-12.95387202101801
670913.7099554116,-13.53660717913298
713400.3750712569,-14.12589530614222
758577.575029184,-14.72761357153345
806615.692176614,-15.32048815071402
857695.8985908942,-15.9293967947042
912010.8393559101,-16.54717143334515
969765.3591082501,-17.17207335631248
1031177.274593055,-17.81164456225424
1096478.196143186,-18.46743842857482
1165914.401179833,-19.13586955142574
1239747.763028945,-19.82260484075965
1318256.738556408,-20.52937501365122
1401737.41834677,-21.26309823066471
1490504.643386197,-22.02710597236513
1584893.192461115,-22.8142762761378
1685259.044750752,-23.64492268835773
1791980.722375334,-24.52127332561603
1905460.717963247,-25.44970635361231
2026127.012621144,-26.44170197079375
2154434.690031885,-27.51323049365167
2290867.652767773,-28.67909873563709
2435940.447292028,-29.96824602784439
2590200.204531326,-31.4029564082092
2754228.703338167,-33.07989730053482
2928644.564625238,-35.00397723072511
3114105.584446759,-37.3760463621945
3311311.214825912,-40.4583643775922
3521005.201684522,-44.93635418279966
3743978.389823812,-53.29164442139852
3981071.705534974,-55.15991704805835
4233179.328088207,-46.32001744867081
4501252.062061337,-42.16459575846792
4786300.923226386,-39.46427256452151
5089400.95151809,-37.55493717235927
5411695.265464637,-36.11348491117183
5754399.373371567,-34.98745113374211
6118805.75751822,-34.06115273670953
6506288.748655574,-33.33364734711616
6918309.709189363,-32.7379112699453
7356422.544596414,-32.24911251825296
7822279.56386003,-31.83439074207445
8317637.711026709,-31.52104209611435
8844365.191385999,-31.25052638882889
9404448.517263513,-31.05782274223353
10000000,-30.89863588900305
