#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-02 16:52:55.579
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-5.41244377131976
50464.24006059373,-5.336977145061886
50932.79049786464,-5.246621332221584
51405.69133280335,-5.16358880924269
51882.98295798738,-5.082219687390438
52364.70614103135,-4.999447233446139
52850.90202806905,-4.920696494874536
53341.6121472679,-4.850533674784599
53836.87841237617,-4.759578999390373
54336.74312630293,-4.675402883898182
54841.24898473131,-4.596530004743014
55350.43907976546,-4.513439832605491
55864.35690361102,-4.435222207364568
56383.04635229024,-4.364970190960368
56906.55172939115,-4.273921918662934
57434.91774985177,-4.192610181379973
57968.1895437795,-4.112862873033812
58506.41266030572,-4.032440525456134
59049.63307147654,-3.954389321972832
59597.89717617932,-3.884392431778362
60151.25180410585,-3.793173627110177
60709.74421975237,-3.713994753030454
61273.42212645651,-3.636631355533571
61842.33367047189,-3.556884085160008
62416.52744508062,-3.487451369417099
62996.05249474368,-3.402342567820687
63580.95831929017,-3.321872451941661
64171.29487814524,-3.244286249600914
64767.11259459736,-3.166074951056082
65368.46236010528,-3.095975109831073
65975.39553864473,-3.017120005318579
66587.96397109581,-2.937318948227814
67206.21997967089,-2.861624660752536
67830.21637238361,-2.785156775649653
68460.00644755962,-2.718657624735364
69095.64399838883,-2.638964470652981
69737.18331752029,-2.562465778896861
70384.6792016995,-2.48888533897882
71038.18695644882,-2.415500413421152
71697.7624007914,-2.359079061307392
72363.46187201892,-2.271074668092678
73035.34223050365,-2.199023297999168
73713.46086455509,-2.127086726706199
74397.87569532174,-2.060618891689459
75088.64518173854,-1.992795356009906
75785.82832551993,-1.917904413332048
76489.4846761996,-1.851014248723475
77199.67433621682,-1.782276561461448
77916.45796605002,-1.726899383657483
78639.89678939813,-1.648231865552538
79370.05259840999,-1.584196206409341
80106.98775896225,-1.51931209893614
80850.76521598625,-1.470741072478985
81601.44849884458,-1.392927306898348
82359.10172675735,-1.330908643573654
83123.78961427879,-1.270460636818913
83895.57747682504,-1.224718734661758
84674.53123625273,-1.150934407915298
85460.71742648998,-1.093704480930316
86254.20319921909,-1.035981958994712
87055.05632961243,-0.9937118179464322
87863.34522212141,-0.9266468164752372
88679.13891631906,-0.8731160484599649
89502.50709279726,-0.8218315824948939
90333.52007911826,-0.7758115847824264
91172.2488558217,-0.7206811051711293
92018.76506248752,-0.6714138180617047
92873.14100385488,-0.6324917863000851
93735.44965599805,-0.5800841571479811
94605.7646725596,-0.5363853697468286
95484.16039104169,-0.4938213345042051
96370.71183915522,-0.4585897012195486
97265.49474122858,-0.412760819704893
98168.58552467548,-0.3742954780347541
99080.06132652298,-0.3498880875768773
100000,-0.3035190667484241
100928.4801211875,-0.271430396310451
101865.5809957293,-0.2428342762116668
102811.3826656067,-0.210059244418158
103765.9659159748,-0.1815947391724311
104729.4122820627,-0.1556240966083326
105701.8040561381,-0.1333128542051532
106683.2242945358,-0.1089635432469004
107673.7568247523,-0.08696198378323529
108673.4862526058,-0.07223979775482423
109682.4979694626,-0.05208343446628495
110700.8781595309,-0.03538301103287338
111728.713807222,-0.02672014935845202
112766.0927045805,-0.01076415764460865
113813.1034587823,-0.003636583796534612
114869.8354997035,0.003057567941149513
115936.379087559,0.00965538833416987
117012.8253206114,0.01208360251914576
118099.2661429531,0.01533395480503444
119195.7943523586,0.01457528346804445
120302.5036082117,0.006188935141570229
121419.4884395047,0.008864386252342137
122546.844252913,0.001584871736470336
123684.6673409438,-0.01777649888063578
124833.0548901612,-0.01676593964057282
125992.1049894873,-0.02779312690932837
127161.9166385803,-0.04433032783473247
128342.5897562905,-0.05826791579708537
129534.2251891947,-0.08558022551404593
130736.9247202105,-0.09653362588762772
131950.7910772894,-0.1177688841353722
133175.9279421916,-0.1428428744845438
134412.4399593418,-0.1664808564843547
135660.4327447672,-0.2030514584938991
136920.0128951192,-0.2225182764316223
138191.2879967776,-0.2531212002864432
139474.3666350406,-0.285876203869318
140769.358403399,-0.3183710306287998
