#Digilent WaveForms Oscilloscope Measurements
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-12-04 14:51:28.322
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 790 uV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 4: Range: 2 V/div Offset: 0 V Attenuation: 10 X Coupling: DC Bandwidth: Full Sample Mode: Average

,Name,Value
C1,Power Supply, 4.3168 V
C1,Power Supply Max, 5.5208 V
C1,Power Supply Min, 3.5434 V
C2,Current Probe Amp, 6.6012 A
C2,Frequency, 117.22 kHz
C3,TX Amplitude, 381.48 V
C3,Frequency, 117.32 kHz
C4,RX Average, 1.4581 V
C4,RX DC RMS, 1.8135 Ṽ
C4,RX Max, 2.6921 V
C4,RX Min,-0.54428 V
C4,Frequency, 234.48 kHz
