File Name,Power Supply Avg (V),Power Supply Max (V),Power Supply Min (V),TX Current (A),TX Current Freq (Hz),TX Amplitude (V),TX Frequency (Hz),RX Average (V),RX RMS (V),RX Max (V),RX Min (V),RX Frequency (Hz)
meas01,9.7196,11.058,8.1904,4.8827,114970.0,283.81,114900.0,1.0559,1.2152,2.6961,-0.38396674999999997,229930.0
meas02,9.7064,11.058,8.0586,5.3963,115210.0,310.52,115190.0,1.1835,1.3844,2.0522,-0.49960019,230350.0
meas03,9.6945,10.992,8.2234,5.6972,115330.0,331.39,115340.0,1.2592,1.4812,2.1718,-0.47988994,230630.0
meas04,9.6808,11.157,7.8608,6.414,115620.0,369.79,115600.0,1.4243,1.6855,4.6947,-0.518,231160.0
meas05,9.653,11.091,7.9927,6.8299,115740.0,394.0,115820.0,1.5929,1.934,2.8485,-0.55742,231320.0
meas06,9.6312,11.256,7.9268,7.8436,116020.0,454.93,115960.0,1.8354,2.2566,4.2887,-0.58633,232030.0
meas07,9.6012,11.256,7.9597,8.3906,116140.0,481.64,116160.0,1.9709,2.4408,5.4227,-0.7151,232200.0
meas08,9.5489,11.091,7.9597,9.7761,116410.0,561.78,116360.0,2.3081,2.899,7.0521,-0.83073,232820.0
meas09,9.5165,11.354,7.8938,10.485,116560.0,610.19,116630.0,2.4702,3.1231,8.9101,-0.63889,233060.0
meas10,9.4268,11.288,7.762,11.889,116810.0,685.32,116730.0,2.8569,3.5883,10.788,-0.99687,233800.0
meas11,9.3785,11.025,7.8938,12.605,116960.0,733.74,116880.0,3.0536,3.849,8.6216,-1.09535,233800.0
meas12,9.2808,10.992,8.0916,13.947,117240.0,806.36,117250.0,3.4106,4.3212,12.397,-1.0297,234190.0
meas13,9.262,11.256,8.2234,14.189,117360.0,828.06,117370.0,3.4712,4.4024,7.0787,-1.09535,234650.0
meas14,9.2696,10.563,8.3552,14.128,117650.0,834.74,117650.0,3.4729,4.423,14.793,-1.09535,235160.0
meas15,9.3005,10.992,8.4541,13.85,117780.0,823.05,117790.0,3.3848,4.3094,10.821,-1.0297,235430.0
meas16,9.3623,11.124,8.4541,12.625,118060.0,752.93,118090.0,3.0719,3.9093,9.7377,-1.06252,236270.0
meas17,9.4125,11.42,8.3552,11.804,118190.0,702.02,118160.0,2.8539,3.6194,11.313,-1.06252,236410.0
meas18,9.465,11.256,8.5859,10.977,118350.0,653.6,118390.0,2.6336,3.339,10.952,-1.06252,236710.0
meas19,9.5459,11.223,8.7178,9.4257,118630.0,559.27,118690.0,2.2114,2.8264,9.4922,-0.6402,237260.0
meas20,9.5703,11.19,8.6518,8.7276,118760.0,520.04,118700.0,2.0397,2.5981,4.064,-0.62312,237560.0
meas21,9.6194,11.19,8.7837,7.524,119040.0,448.25,119000.0,1.7415,2.1979,5.4608,-0.56924,238140.0
meas22,9.6376,10.959,8.8166,7.0225,119180.0,417.37,119200.0,1.6242,2.034,7.4896,-0.59158,238430.0
meas23,9.6622,10.926,8.9155,6.5477,119350.0,383.14,119390.0,1.5132,1.8774,2.8275,-0.58238,238690.0
meas24,9.6797,11.223,8.8496,5.7788,119610.0,337.23,119560.0,1.3136,1.6153,2.4031,-0.631,239190.0
meas25,9.6815,10.926,8.8496,5.4351,119760.0,324.71,119790.0,1.2358,1.5024,2.6803,-0.62575,239480.0
meas26,9.7116,10.827,8.9155,4.8693,120020.0,286.32,120050.0,1.0966,1.3111,2.0943,-0.60472,240140.0
