File Name,Power Supply Avg (V),Power Supply Max (V),Power Supply Min (V),TX Current (A),TX Current Freq (Hz),TX Amplitude (V),TX Frequency (Hz),RX Average (V),RX RMS (V),RX Max (V),RX Min (V),RX Frequency (Hz)
meas01,5.014,5.8175,4.2355,2.3324,120070.0,133.56,119750.0,0.37181000000000003,0.41066,0.59629,-0.05152062,240300.0
meas02,6.1747,6.971,5.4549,2.8406,120060.0,166.11,120040.0,0.54275,0.59651,0.8407,-0.055462670000000006,240120.0
meas03,7.0479,7.9268,6.2789,3.2672,120010.0,186.15,119720.0,0.65725,0.72936,1.026,-0.12641955,240200.0
meas04,8.0847,9.0473,7.2346,3.7219,120060.0,214.53,120160.0,0.7874,0.88626,1.2533,-0.21051659,240050.0
meas05,9.1315,10.168,8.2563,4.206,120050.0,242.91,120260.0,0.90961,1.0389,1.4767,-0.32615003000000004,240150.0
meas06,10.061,11.19,9.2121,4.6286,120050.0,265.45,120030.0,1.0272,1.1839,1.6909,-0.47463387999999995,240020.0
meas07,11.039,12.244,10.102,5.0994,120070.0,292.99,120200.0,1.1376,1.3286,1.9195,-0.57319,239980.0
meas08,12.111,13.398,11.124,5.534,120040.0,323.04,120090.0,1.2626,1.4902,2.1652,-0.61655,240220.0
meas09,13.112,14.321,12.145,6.0609,120040.0,348.09,120210.0,1.3958,1.6552,2.4898,-0.64677,240080.0
meas10,14.158,15.507,13.233,6.5437,120050.0,377.3,120050.0,1.5079,1.8069,3.7841,-0.66122,239960.0
meas11,15.25,16.562,14.288,7.0493,120070.0,406.52,120090.0,1.6383,1.9749,2.9392,-0.6967,240100.0
meas12,16.385,17.946,15.342,7.6123,120040.0,437.4,120050.0,1.7663,2.1522,3.202,-0.72035,240150.0
meas13,17.367,18.737,16.364,8.0777,120030.0,470.79,120100.0,1.878,2.3017,3.4241,-0.73875,240110.0
meas14,18.551,20.154,17.55,8.6528,120040.0,500.84,120040.0,2.0204,2.487,6.9903,-0.75715,240050.0
meas15,19.239,20.78,18.144,9.0072,120060.0,523.38,119960.0,2.1071,2.6053,4.1415,-0.74926,240110.0
meas16,20.409,22.198,19.363,9.5568,120060.0,553.43,120030.0,2.238,2.78,5.0482,-0.75058,240080.0
meas17,21.508,23.087,20.451,10.173,120040.0,591.83,120080.0,2.3784,2.9732,4.6329,-0.75978,240090.0
meas18,22.393,24.043,21.341,10.605,120040.0,611.03,120060.0,2.4785,3.1061,7.897,-0.7624,240140.0
meas19,23.485,25.23,22.428,11.15,120040.0,651.1,120050.0,2.6142,3.2928,10.763,-0.80051,240120.0
meas20,24.529,26.251,23.384,11.735,120050.0,680.31,120020.0,2.767,3.4893,5.4884,-0.76109,240120.0
meas21,25.087,26.878,24.076,12.138,120050.0,708.69,119990.0,2.8519,3.6251,5.65,-0.77686,240100.0
meas22,26.093,27.899,25.065,12.856,120050.0,746.26,120020.0,3.0136,3.8528,10.763,-0.82416,240080.0
meas23,27.148,29.02,26.119,13.461,120050.0,778.81,120080.0,3.1518,4.0455,7.7275,-1.01338,240120.0
meas24,28.3,30.503,27.174,14.125,120050.0,824.72,120010.0,3.3391,4.2902,8.4397,-0.72561,240120.0
meas25,29.239,31.327,28.13,14.702,120040.0,859.78,120020.0,3.496,4.5186,8.9101,-0.82285,240070.0
