#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 17:17:32.411
#Start: 50000 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 21.5288 V
#Offset: 0.000273979 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
50000.00000000002,-2.234612777122997
50464.24006059373,-2.116952837170613
50932.79049786464,-1.990821058169691
51405.69133280335,-1.875614215640036
51882.98295798738,-1.76196610789576
52364.70614103135,-1.632810966149878
52850.90202806905,-1.527546104418425
53341.6121472679,-1.412281939710823
53836.87841237617,-1.28606240916201
54336.74312630293,-1.159498062234213
54841.24898473131,-1.036487124743902
55350.43907976546,-0.9122330023833697
55864.35690361102,-0.7861674301642573
56383.04635229024,-0.6738067580000162
56906.55172939115,-0.5286959096824997
57434.91774985177,-0.3953613522268675
57968.1895437795,-0.2698212692751321
58506.41266030572,-0.1359120719081394
59049.63307147654,-0.007211140420246492
59597.89717617932,0.1203847337732539
60151.25180410585,0.2681844773697848
60709.74421975237,0.4056203300097314
61273.42212645651,0.5403010621210701
61842.33367047189,0.6784284216596415
62416.52744508062,0.8117506033903832
62996.05249474368,0.9628638607038519
63580.95831929017,1.112373373195255
64171.29487814524,1.260373977122742
64767.11259459736,1.408196169753517
65368.46236010528,1.553587259837616
65975.39553864473,1.704421608721053
66587.96397109581,1.866047776885696
67206.21997967089,2.0197315127456
67830.21637238361,2.183754440826192
68460.00644755962,2.334209510191579
69095.64399838883,2.500942282718375
69737.18331752029,2.670259868611453
70384.6792016995,2.833959749623895
71038.18695644882,3.007061379505683
71697.7624007914,3.163624210735896
72363.46187201892,3.352822492063643
73035.34223050365,3.534026548292083
73713.46086455509,3.712758470385928
74397.87569532174,3.890042338327194
75088.64518173854,4.079070933886182
75785.82832551993,4.27726630116709
76489.4846761996,4.467528912587058
77199.67433621682,4.667015472114
77916.45796605002,4.85420920975322
78639.89678939813,5.070663272572765
79370.05259840999,5.277908015495293
80106.98775896225,5.492998678030997
80850.76521598625,5.694633115393648
81601.44849884458,5.929262827828889
82359.10172675735,6.156469609303503
83123.78961427879,6.389447946186936
83895.57747682504,6.60750337147782
84674.53123625273,6.864477418162483
85460.71742648998,7.1098947970446
86254.20319921909,7.360497793993495
87055.05632961243,7.608013180143987
87863.34522212141,7.883110835142589
88679.13891631906,8.151773920104946
89502.50709279726,8.427617765305554
90333.52007911826,8.705274580687862
91172.2488558217,9.000476488551438
92018.76506248752,9.294014216823577
92873.14100385488,9.588976793035439
93735.44965599805,9.90628070804703
94605.7646725596,10.22517116478407
95484.16039104169,10.5452427240429
96370.71183915522,10.86941908107212
97265.49474122858,11.21196084813909
98168.58552467548,11.55212693315415
99080.06132652298,11.88451668242649
100000,12.24148082986407
100928.4801211875,12.58826749990618
101865.5809957293,12.92723918314671
102811.3826656067,13.26736666172306
103765.9659159748,13.59408626087924
104729.4122820627,13.90515884294923
105701.8040561381,14.19561052069419
106683.2242945358,14.46251064364038
107673.7568247523,14.69658321447458
108673.4862526058,14.88866058732675
109682.4979694626,15.04531855837648
110700.8781595309,15.15257815774939
111728.713807222,15.20626712365967
112766.0927045805,15.21687014960489
113813.1034587823,15.17888538404505
114869.8354997035,15.09370303847123
115936.379087559,14.96956285612096
117012.8253206114,14.80622869558006
118099.2661429531,14.61202309055811
119195.7943523586,14.3872847255424
120302.5036082117,14.13480694679914
121419.4884395047,13.8775593380693
122546.844252913,13.59758511519887
123684.6673409438,13.29546158619793
124833.0548901612,13.00893980488716
125992.1049894873,12.70251524949115
127161.9166385803,12.39777576506676
128342.5897562905,12.09018463829683
129534.2251891947,11.76995526323516
130736.9247202105,11.47380511666864
131950.7910772894,11.16526775328445
133175.9279421916,10.86147781066954
134412.4399593418,10.56575999645144
135660.4327447672,10.26249016463235
136920.0128951192,9.9833118744784
138191.2879967776,9.696942272681358
139474.3666350406,9.416232388340436
140769.358403399,9.141133054810616
142076.3739128976,8.860844850104366
143395.5248015828,8.602825659612812
144726.9237440378,8.336396214744514
146070.6844610073,8.086692004701273
147426.9217291102,7.837298516072504
148795.7513906435,7.589818787459224
150177.290363477,7.348313380506423
151571.6566510398,7.107385278379232
152978.9693523992,6.877558084266338
154399.3486724336,6.642914804123921
155832.9159321,6.422942095441525
157279.7935787962,6.196000639906631
158740.10519682,5.988390079497801
160213.9755179244,5.759770992405514
161701.5304319724,5.565962371025056
163202.8969976892,5.348443277676278
164718.2034535146,5.156902503680464
166247.5792285576,4.949748065858068
167791.15495365,4.765851076924729
169349.0624725055,4.558255180259973
170921.43485298,4.385332935786455
172508.4063984382,4.188597418954675
174110.1126592249,4.016260437332221
175726.6904442428,3.83002299249571
177358.2778326381,3.657729655460994
179005.0141855945,3.482513574577095
180667.0401582365,3.313023685977656
182344.4977116434,3.140943235719802
184037.530124975,2.97239418051678
185746.2820077097,2.812140946276632
187470.8993119961,2.639439039480993
189211.5293451192,2.485125494424639
190968.3207820833,2.320862233018882
192741.4236783104,2.167000239034951
194530.9894824571,2.009581330570942
196337.1710493509,1.857276376020599
198160.1226530459,1.707441849689304
200000,1.545146910632879
