#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 17:12:48.623
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 21.5288 V
#Offset: 0.000273979 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-18.85504995503972
1063.326571637162,-18.83983046364678
1130.663397949639,-18.84070884698432
1202.264434617413,-18.83733026411664
1278.399719463023,-18.82497152106295
1359.356390878525,-18.81783868862361
1445.439770745928,-18.79889714120522
1536.974515935271,-18.78552858734092
1634.305842723138,-18.76788619292883
1737.800828749376,-18.77064499009704
1847.849797422291,-18.73326421074339
1964.867789993468,-18.7237308835567
2089.296130854039,-18.68981866325909
2221.604091955812,-18.66365546929874
2362.290662634463,-18.63781489317446
2511.886431509579,-18.61110974358476
2670.955587558985,-18.56914066912224
2840.098047914214,-18.51750381666428
3019.951720402016,-18.46966466232954
3211.194909364824,-18.42870146195686
3414.548873833601,-18.35936826118731
3630.780547701014,-18.2896227827728
3860.705432153815,-18.2291549925827
4105.190671273079,-18.14417155879124
4365.158322401661,-18.03244132525009
4641.588833612777,-17.95647280184031
4935.524741394806,-17.84211110491923
5248.074602497722,-17.70786146341241
5580.417174769963,-17.59039369939706
5933.805862753281,-17.44820712690624
6309.57344480193,-17.28080061106381
6709.137099554112,-17.08574740276183
7134.003750712565,-16.88576055894458
7585.775750291836,-16.68214995534022
8066.156921766135,-16.45560669847641
8576.958985908946,-16.19362329770955
9120.108393559096,-15.92632508182228
9697.653591082495,-15.62857944583497
10311.77274593056,-15.33192733029987
10964.78196143185,-15.00959129475754
11659.14401179831,-14.65497170622641
12397.47763028944,-14.29278151564934
13182.56738556407,-13.92919309962833
14017.37418346769,-13.53926687034718
14905.04643386196,-13.13371378327126
15848.93192461114,-12.70064623988032
16852.59044750751,-12.25341920494397
17919.80722375334,-11.78604299119085
19054.60717963248,-11.30853069773217
20261.27012621143,-10.82129171061005
21544.34690031882,-10.32358956517001
22908.67652767774,-9.827586239306282
24359.40447292027,-9.27682912571699
25902.00204531322,-8.740310239534331
27542.28703338166,-8.188983009907528
29286.44564625237,-7.6087001468061
31141.05584446758,-7.033417854375386
33113.11214825911,-6.437534251431467
35210.05201684521,-5.817129784241938
37439.78389823811,-5.190326363626451
39810.71705534973,-4.526536563615069
42331.79328088211,-3.846592033230208
45012.52062061337,-3.151748150211565
47863.0092322638,-2.401486143937213
50894.00951518094,-1.622315314081589
54116.95265464637,-0.8081780867557553
57543.99373371567,0.06370505176018477
61188.05757518219,0.9948190600771513
65062.88748655574,1.998704707668149
69183.09709189362,3.099066752314964
73564.22544596414,4.319839185033851
78222.79563860029,5.691232721365667
83176.37711026709,7.263716780283479
88443.65191385998,9.084542711825186
94044.48517263524,11.19423123586001
100000,13.4302475245705
106332.6571637162,14.93499541189904
113066.3397949639,14.59556392474856
120226.4434617413,12.91159924974794
127839.9719463023,10.91086593947526
135935.6390878526,9.002741272170192
144543.9770745928,7.316152331745088
153697.4515935271,5.816320264129011
163430.5842723137,4.469666151055265
173780.0828749376,3.277683922489211
184784.9797422291,2.17202583648557
196486.7789993468,1.163570205703379
208929.6130854039,0.2226953333849992
222160.4091955812,-0.6532799016564195
236229.0662634463,-1.489370239512021
251188.6431509579,-2.281096905466585
267095.5587558986,-3.054673531143187
284009.8047914214,-3.786214391413896
301995.1720402016,-4.499788869316962
321119.4909364824,-5.193867715993644
341454.8873833601,-5.867642327793381
363078.0547701014,-6.533192158300354
386070.5432153811,-7.210331188437351
410519.0671273078,-7.856884463786924
436515.8322401661,-8.48440343592895
464158.8833612778,-9.133980339511901
493552.4741394806,-9.764249333334083
524807.4602497729,-10.40469499969281
558041.7174769964,-11.05206546185651
593380.5862753281,-11.71857045015868
630957.344480193,-12.36150312533603
670913.7099554111,-13.03463492408179
713400.3750712564,-13.7065408966702
758577.5750291835,-14.39496385386028
806615.6921766135,-15.09757224044484
857695.8985908937,-15.83520820689581
912010.8393559097,-16.6078642781034
969765.3591082495,-17.36220560833227
1031177.274593055,-18.17919535084334
1096478.196143185,-19.04253446807751
1165914.401179832,-19.96707960939918
1239747.763028944,-20.96202475894419
1318256.738556407,-22.03017107610913
1401737.418346769,-23.23079993095213
1490504.643386196,-24.51716573777949
1584893.192461114,-25.94106654581125
1685259.044750751,-27.6108113842143
1791980.722375334,-29.61765198655494
1905460.717963246,-32.0400857532658
2026127.012621143,-35.12543061474284
2154434.690031885,-38.74127729590192
2290867.652767772,-39.70872370233594
2435940.447292027,-36.73564548729983
2590200.204531325,-33.49649066078015
2754228.703338166,-31.03419002124366
2928644.564625237,-29.00509790339914
3114105.584446758,-27.45205521451454
3311311.214825911,-26.14328419149164
3521005.201684521,-25.02952629490343
3743978.389823811,-24.00898754469619
3981071.705534973,-23.17372937420001
4233179.328088207,-22.38778937608383
4501252.062061337,-21.70156473499699
4786300.923226385,-21.09436533983694
5089400.951518089,-20.57743772442112
5411695.265464637,-20.09444113268929
5754399.373371566,-19.67696195132629
6118805.757518219,-19.30500994339086
6506288.748655573,-18.97199424964987
6918309.709189363,-18.71483731472084
7356422.544596414,-18.47977858641269
7822279.56386003,-18.29421359889884
8317637.711026709,-18.13825590871784
8844365.191385999,-18.0081926338076
9404448.517263513,-17.93258065756802
10000000,-17.8826558355685
