#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 17:41:09.047
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-3.559774041291516
1063.326571637162,-3.561961292633641
1130.663397949639,-3.564284115189051
1202.264434617413,-3.565276042294492
1278.399719463023,-3.569525490626764
1359.356390878525,-3.570454625775692
1445.439770745928,-3.573147956715061
1536.974515935271,-3.576735211959741
1634.305842723138,-3.579835196178242
1737.800828749376,-3.598273704940003
1847.849797422291,-3.590498052312752
1964.867789993468,-3.5931018947386
2089.296130854039,-3.6060826165663
2221.604091955812,-3.605147530497621
2362.290662634463,-3.611604493252773
2511.886431509579,-3.629789547708762
2670.955587558985,-3.63061486636662
2840.098047914214,-3.636664937994081
3019.951720402016,-3.647102630449815
3211.194909364824,-3.659563388982162
3414.548873833601,-3.672216397121808
3630.780547701014,-3.689145564376513
3860.705432153815,-3.713014857796966
4105.190671273079,-3.721865313685508
4365.158322401661,-3.742646330025898
4641.588833612777,-3.765779723173992
4935.524741394806,-3.791619397245824
5248.074602497722,-3.819487703052711
5580.417174769963,-3.862140851450904
5933.805862753281,-3.903797174136819
6309.57344480193,-3.938111132308555
6709.137099554112,-3.977247368775909
7134.003750712565,-4.023230126839236
7585.775750291836,-4.080319174861499
8066.156921766135,-4.15133125131668
8576.958985908946,-4.202956348037096
9120.108393559096,-4.277658881815226
9697.653591082495,-4.360267666923848
10311.77274593056,-4.450581968368673
10964.78196143185,-4.551532752613438
11659.14401179831,-4.661576853624651
12397.47763028944,-4.783041190257393
13182.56738556407,-4.914223755292952
14017.37418346769,-5.062213413997364
14905.04643386196,-5.226301931257971
15848.93192461114,-5.385546730191365
16852.59044750751,-5.577193903256653
17919.80722375334,-5.770742896594355
19054.60717963248,-5.980285165409299
20261.27012621143,-6.208218870657324
21544.34690031882,-6.451091289165611
22908.67652767774,-6.722689047142043
24359.40447292027,-6.983242927757171
25902.00204531322,-7.274414056150937
27542.28703338166,-7.576209191396917
29286.44564625237,-7.893965380657043
31141.05584446758,-8.232750666907936
33113.11214825911,-8.575228136064219
35210.05201684521,-8.933285474114381
37439.78389823811,-9.317388630237341
39810.71705534973,-9.690029698063872
42331.79328088211,-10.08444373411089
45012.52062061337,-10.50740029247123
47863.0092322638,-10.90939239589727
50894.00951518094,-11.33211551811105
54116.95265464637,-11.76475168084491
57543.99373371567,-12.20767496684531
61188.05757518219,-12.65566730907462
65062.88748655574,-13.11453246464836
69183.09709189362,-13.57624504994518
73564.22544596414,-14.04327367088527
78222.79563860029,-14.51916368825156
83176.37711026709,-14.9946137434023
88443.65191385998,-15.47621687145614
94044.48517263524,-15.96356024112382
100000,-16.45301004247713
106332.6571637162,-16.94837099247927
113066.3397949639,-17.44420649560323
120226.4434617413,-17.94808767392545
127839.9719463023,-18.44462661955346
135935.6390878526,-18.9603014147837
144543.9770745928,-19.46210316767988
153697.4515935271,-19.97231757389624
163430.5842723137,-20.48501071237456
173780.0828749376,-20.98785322721077
184784.9797422291,-21.51734978711939
196486.7789993468,-22.02880544280046
208929.6130854039,-22.5536666795692
222160.4091955812,-23.06876366502203
236229.0662634463,-23.59277431464845
251188.6431509579,-24.11571886169553
267095.5587558986,-24.66438398714796
284009.8047914214,-25.17485545113927
301995.1720402016,-25.71664831708777
321119.4909364824,-26.2458979410708
341454.8873833601,-26.77535774905017
363078.0547701014,-27.32466875479492
386070.5432153811,-27.88393266776538
410519.0671273078,-28.42340515578728
436515.8322401661,-28.95857985442539
464158.8833612778,-29.50967813042532
493552.4741394806,-30.08087109313119
524807.4602497729,-30.65489835790994
558041.7174769964,-31.20676995664742
593380.5862753281,-31.81680012896521
630957.344480193,-32.39319804294369
670913.7099554111,-32.96951486403233
713400.3750712564,-33.57377808229322
758577.5750291835,-34.19718957690837
806615.6921766135,-34.81625913569937
857695.8985908937,-35.48011300845828
912010.8393559097,-36.11861371560394
969765.3591082495,-36.80962354819476
1031177.274593055,-37.4977945046329
1096478.196143185,-38.2289350759354
1165914.401179832,-38.96598694634043
1239747.763028944,-39.76378191220465
1318256.738556407,-40.59879453805492
1401737.418346769,-41.50243879965262
1490504.643386196,-42.45000294524108
1584893.192461114,-43.44854144981604
1685259.044750751,-44.55204018676568
1791980.722375334,-45.73496986908852
1905460.717963246,-47.06003615924567
2026127.012621143,-48.55436204495645
2154434.690031885,-50.23542160995093
2290867.652767772,-52.37288819502255
2435940.447292027,-54.90042243192416
2590200.204531325,-57.73987837621917
2754228.703338166,-60.26045058877277
2928644.564625237,-59.7333406519879
3114105.584446758,-57.27112801395985
3311311.214825911,-54.64180176751691
3521005.201684521,-52.47932527860335
3743978.389823811,-50.80091676366703
3981071.705534973,-49.436505501093
4233179.328088207,-48.27667236153719
4501252.062061337,-47.31780839933596
4786300.923226385,-46.44176561125925
5089400.951518089,-45.74092996218791
5411695.265464637,-45.10548841981526
5754399.373371566,-44.55444573271224
6118805.757518219,-44.04015298699713
6506288.748655573,-43.64979897582916
6918309.709189363,-43.29180502163923
7356422.544596414,-42.98088989302932
7822279.56386003,-42.73332817316742
8317637.711026709,-42.53790461836554
8844365.191385999,-42.36685045918598
9404448.517263513,-42.22662030804595
10000000,-42.12130505128532
