#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 17:49:18.278
#Start: 970 Hz
#Stop: 1.05e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
970.0000000000003,-0.04536683011876287
1031.971851290585,-0.04868828409088758
1097.902991604243,-0.05226154652031624
1168.046374003403,-0.05656993446616315
1242.671112343861,-0.06077458987009951
1322.063513763736,-0.06575626844648458
1406.528177136595,-0.07066010161417348
1496.389161703115,-0.07690107150083668
1591.991230364875,-0.08369235032158488
1693.701172410325,-0.09149603087206978
1801.909210747747,-0.1117869073670486
1917.030499044235,-0.1112004006122739
2039.506714514629,-0.1208680589402099
2169.807752471383,-0.1351532595351801
2308.433529136654,-0.1479711046768552
2455.915899633409,-0.1603193661058845
2612.820698514094,-0.1765344806960266
2779.749910655612,-0.1999439288390283
2957.343980849596,-0.2279482978973088
3146.284270948891,-0.2543176836467032
3347.295673997495,-0.2745296469719883
3561.14939537336,-0.2951528581793409
3788.665911614217,-0.3255370409449698
4030.718118278402,-0.3613628747359846
4288.234678917796,-0.4013989838595802
4562.203588011626,-0.4551846688410071
4853.675961530829,-0.5112157846860022
5163.770069675847,-0.5511424018651336
5493.675627260097,-0.6117941373454873
5844.658358199551,-0.6798551108471067
6218.064851620795,-0.7556358035233007
6615.327728218582,-0.8402078911228841
7037.97113668419,-0.9295595614993122
7487.616601292449,-1.030300001338609
7965.989243082352,-1.141219130933488
8474.924398499563,-1.264477425107106
9016.374660894151,-1.395859917999728
9592.417371889123,-1.540305507250072
10205.26259136123,-1.697923563847945
10857.26157661194,-1.867952844425978
11550.91580326014,-2.053012747042853
12288.88656246602,-2.252215390393376
13074.00517130726,-2.465873726591477
13909.28383548104,-2.693969769514133
14797.92720600781,-2.942518537844149
15743.34467427544,-3.199115532266579
16749.16345259564,-3.481139529774786
17819.24249045744,-3.772869299565504
18957.68727986929,-4.066939689875086
20168.86560659242,-4.381044273430121
21457.42430769707,-4.715606577074679
22828.30709973376,-5.071038641695131
24286.77354591981,-5.421339697490585
25838.41923511137,-5.794188444793045
27489.19724997951,-6.179404885887918
29245.44100675608,-6.574636227362271
31113.88855417692,-6.985283064466846
33101.70842484832,-7.398230375903353
35216.52713821841,-7.823882550409503
37466.45846067249,-8.268112855038602
39860.13453501234,-8.702700593602323
42406.73899875097,-9.15233563208535
45116.04221828619,-9.616044527194775
47998.43877413296,-10.08142186039677
51064.98734103072,-10.53903455704404
54327.45311593161,-11.01512515047441
57798.35295664981,-11.49448418560987
61491.00340435105,-11.97704311245472
65419.57177412761,-12.47283425977873
69599.13050967387,-12.95385291867044
74045.71501060117,-13.4486532078807
78776.38515425268,-13.94712659270227
83809.29074805584,-14.45887393121875
89163.74116352784,-14.95074388449164
94860.2794190931,-15.45707793357821
100920.7609959418,-15.96404542396892
107368.4376893161,-16.47117247667663
114228.0468169291,-16.99013540907345
121525.9061267771,-17.49624387720042
129290.0147684699,-18.01344983606841
137550.160715469,-18.52711068023631
146338.0350503711,-19.04487345086293
155687.353551709,-19.56713512260427
165633.9860487514,-20.08384329982873
176216.0940405864,-20.60710979706098
187474.277107484,-21.1365490789034
199451.7286762621,-21.6533977712006
212194.4017372674,-22.1952584556554
225751.1851487689,-22.71270833953793
240174.0912051736,-23.23881255103203
255518.4551886974,-23.77476988603012
271843.1476700931,-24.30847269009312
289210.8003729539,-24.8402471594321
307688.0464681535,-25.37601286543485
327345.7762203338,-25.91990692676273
348259.408967269,-26.46234233408592
370509.1824755849,-27.00677816864696
394180.4607829792,-27.55218419715228
419364.0617080274,-28.10854961077017
446156.6052840948,-28.64040018368335
474660.8844541745,-29.21370222072384
504986.2594488666,-29.78202510858562
537249.0773605714,-30.33769800707195
571573.1185236563,-30.90111882927275
608090.0714131857,-31.48326176976207
646940.0378842147,-32.0708389812878
688272.0706900761,-32.6776118219136
732244.745341899,-33.25224448299338
779026.7685033828,-33.86610715359338
828797.6252550075,-34.50620674081384
881748.2677109786,-35.13767573904065
938081.847630891,-35.78226067835208
998014.4958368479,-36.44964064289822
1061776.151426381,-37.12868775516387
1129611.443962551,-37.8311773385827
1201780.632025839,-38.55654655131627
1278560.601728735,-39.32699442858564
1360245.929023924,-40.14870547421444
1447150.00988175,-40.98055331547081
1539606.262673049,-41.89607469474964
1637969.407370396,-42.82239021833259
1742616.826475636,-43.8439138287351
1853950.012895036,-44.95250379791813
1972396.110317002,-46.12026615726285
2098409.552002251,-47.43714824668743
2232473.804273824,-48.89648390956577
2375103.221396071,-50.55285405959826
2526845.018959107,-52.47453019734743
2688281.373339816,-54.65794942694803
2860031.655294312,-56.86842370583102
3042754.806251283,-58.17109107085629
3237151.866423151,-57.63906435692277
3443968.664434505,-55.81840257505842
3663998.678786843,-53.91982743382031
3898086.082138051,-52.21353638134911
4147128.980076356,-50.77272099418394
4412082.856814665,-49.56679823298298
4693964.241025237,-48.50440661134198
4993854.605878987,-47.63030464655044
5312904.518252519,-46.89123867624471
5652338.053021817,-46.19883606208538
6013457.489378491,-45.63552602020559
6397648.307186753,-45.19350226972829
6806384.50255009,-44.74890037812866
7241234.242981601,-44.36107804896002
7703865.883874738,-44.10922875866358
8196054.369357306,-43.82440391132992
8719688.042086529,-43.61181017724383
9276775.888111759,-43.43433198384977
9869455.244600553,-43.2802969781175
10500000,-43.16278775140301
