#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 15:58:28.887
#Start: 1000 Hz
#Stop: 2.5e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no
# coil1 test 1

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-72.50702730497133
1069.841893022859,-71.91069843286088
1144.56167606673,-71.65220742330465
1224.500030204646,-70.79533936669885
1310.021430320684,-69.97692125057222
1401.515806914791,-69.46625551138004
1499.400323971179,-68.89625854047453
1604.12128099641,-68.52614580330113
1716.156147899453,-67.86269015391743
1836.015741991564,-67.20023825630415
1964.24655703202,-66.59864921126038
2101.433254938769,-66.19727699390042
2248.201331524871,-65.51773438752474
2405.21996841508,-65.02408132944058
2573.205084145567,-64.46954649810473
2752.922598358332,-63.76798001411127
2945.191923973082,-63.06482227601012
3150.889703258992,-62.84688452581105
3370.953804840829,-62.11061147438667
3606.387599863518,-61.43276934371332
3858.264536812142,-60.88254999948492
4127.733035846061,-60.26224969732725
4416.021724962538,-59.75066823230485
4724.445041863982,-59.0032789444496
5054.409227070217,-58.51133848393403
5407.418735600994,-58.06414604129007
5785.083096462635,-57.29747220764921
6189.124251214114,-56.81126330705062
6621.384405072585,-56.30932281001456
7083.834426354882,-55.60194416396106
7578.582832551989,-54.97675392320776
8107.885404007951,-54.43944906145703
8674.155469036263,-53.8632825885222
9279.97490736832,-53.31222385272419
9928.105922103543,-52.68773914837455
10621.5036338347,-52.2049240445929
11363.32955437086,-51.63656375740426
12156.96600149071,-50.99732652974538
13006.03152044934,-50.4868825504711
13914.39738255247,-49.87588914596425
14886.20523602221,-49.21507601371051
15925.88598963278,-48.62487723475287
17038.18001521494,-48.05019322611759
18228.15876114175,-47.45750711119199
19501.24787534108,-46.90320440978748
20863.25194326289,-46.46618388900788
22320.38095359316,-45.77925270028456
23879.27861238344,-45.15535695135586
25547.05263469254,-44.61347993907873
27331.30715185402,-44.04570641065384
29240.17738212865,-43.39194672094062
31282.36672282069,-42.81750471567271
33467.1864329777,-42.21870487215021
35804.59808760573,-41.5831397869448
38305.2589969667,-40.96884408875063
40980.57079804571,-40.33976752266001
43842.73143973842,-39.73921098248552
46904.79079878251,-39.08980253957164
50180.7101800106,-38.42996167381529
53685.42597221387,-37.80227867800499
57434.91774985177,-37.16185756689289
61446.28113111355,-36.53649479336509
65737.80572452515,-35.88346842732715
70329.05851949476,-35.17817088482172
75240.9731010117,-34.48483322681628
80495.94509526818,-33.77383512890256
86117.93428138563,-33.05546660685037
92132.57383481567,-32.30123723454619
98567.2872005074,-31.5191744999682
105451.4131287184,-30.71063122031651
112816.3394435636,-29.87517136783087
120695.6461542113,-28.97471764881894
129125.2585612383,-28.00637301843164
138143.6110562211,-26.97849088696737
147791.822361401,-25.86702151292065
158113.883008419,-24.61363992734633
169156.8559109216,-23.22893900276026
180971.090945535,-21.6112347684027
193610.4545195829,-19.71541787325722
207132.5751722462,-17.37209616549647
221599.1063289753,-14.44120506136712
237076.0074071644,-11.17161928095102
253633.8445547816,-10.26122466952922
271348.1123931528,-12.66044250657326
290299.5782308697,-15.58006547663987
310574.6503182505,-18.08598713651422
332265.7718213891,-20.17001382697697
355471.8423120955,-21.93106300717952
380298.668695495,-23.42735375723951
406859.447631261,-24.74803525681692
435275.2816480621,-25.93498280298013
465675.7313044203,-27.01770417862989
498199.4059135241,-27.99986480172178
532994.5955253877,-28.9184309862197
570219.947047833,-29.78085240684695
610045.1875890468,-30.59009656251054
652651.8983197502,-31.37418903552594
698234.3423833624,-32.11574988240411
747000.3506289866,-32.83685105485182
799172.2692056535,-33.5232596776989
854987.9733383482,-34.17514546999381
914701.9519080751,-34.83645527230283
978586.467781038,-35.46115011026988
1046932.799177416,-36.08085807508333
1120052.567739686,-36.68476734770977
1198279.159355738,-37.26496394473018
1281969.244214981,-37.80323686570067
1371504.403028037,-38.37935995962403
1467292.866824698,-38.89567606782342
1569771.378262671,-39.43767160556748
1679407.182933634,-39.94560431830809
1796700.159745904,-40.4411008137634
1922185.100097029,-40.93278348652411
2056434.146228134,-41.40878787789351
2200059.399877551,-41.82020008490309
2353715.713127732,-42.27380152397732
2518103.674170216,-42.68840174675985
2693972.801602077,-43.0714287004459
2882124.961818054,-43.44483626512415
3083418.025079858,-43.79822522947028
3298769.776932237,-44.12755880310953
3529162.102799771,-44.45378757253459
3775645.464843836,-44.70248045468325
4039343.691491693,-44.96595747487164
4321459.101475411,-45.21460784460933
4623277.985743311,-45.46000213537675
4946176.472238523,-45.68745125652816
5291626.800284782,-45.89025435186769
5661204.033187158,-46.06140013068858
6056593.23965358,-46.26542620436239
6479597.176780429,-46.43539456031118
6932144.50963233,-46.62591478815118
7416298.604893062,-46.81050646937189
7934266.938681573,-47.00278826413118
8488411.161427759,-47.19847431319674
9081257.865698228,-47.32430636790895
9715510.106067298,-47.55549852950543
10394059.72355774,-47.78530111312308
11120000.53084366,-48.02578383695501
11896642.41833295,-48.37623119847963
12727526.44544535,-48.60705321206134
13616440.98589372,-49.15681428060171
14567439.00058257,-49.54465104307949
15584856.51687826,-49.98790780236683
16673332.39850664,-50.56910239647664
17837829.49621769,-51.0164409729162
19083657.2756525,-51.40802412099514
20416496.02558348,-51.55731802110395
21842422.75690388,-51.91704363541609
23367938.91045156,-52.34792553867274
25000000,-53.03956313687689
