#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 16:10:01.844
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-38.91700778491433
1063.326571637162,-38.90633464969558
1130.663397949639,-38.89363617201823
1202.264434617413,-38.88680122319095
1278.399719463023,-38.87716893412138
1359.356390878525,-38.86363911637972
1445.439770745928,-38.85139108521503
1536.974515935271,-38.84518876177326
1634.305842723138,-38.83382911517971
1737.800828749376,-38.82876764925304
1847.849797422291,-38.79116641164743
1964.867789993468,-38.76448135014472
2089.296130854039,-38.74968098207933
2221.604091955812,-38.71247993568629
2362.290662634463,-38.67951042109151
2511.886431509579,-38.66281031391247
2670.955587558985,-38.6026500836352
2840.098047914214,-38.55819423802114
3019.951720402016,-38.50515909959846
3211.194909364824,-38.45185762901111
3414.548873833601,-38.38321827040359
3630.780547701014,-38.32036853342066
3860.705432153815,-38.25240279393027
4105.190671273079,-38.15134289315124
4365.158322401661,-38.05891097853958
4641.588833612777,-37.96420805862228
4935.524741394806,-37.84283216327713
5248.074602497722,-37.72030965044283
5580.417174769963,-37.58977789025441
5933.805862753281,-37.43416634377252
6309.57344480193,-37.2728490863074
6709.137099554112,-37.07932172744965
7134.003750712565,-36.87947686167714
7585.775750291836,-36.67458597280874
8066.156921766135,-36.45831546743992
8576.958985908946,-36.18897691407098
9120.108393559096,-35.92166552233943
9697.653591082495,-35.63916571375573
10311.77274593056,-35.32696462042112
10964.78196143185,-35.0102723416827
11659.14401179831,-34.6610377129235
12397.47763028944,-34.31287837190403
13182.56738556407,-33.92966985638319
14017.37418346769,-33.55386487125796
14905.04643386196,-33.15819862719658
15848.93192461114,-32.73327776950736
16852.59044750751,-32.29893160930868
17919.80722375334,-31.83785807734267
19054.60717963248,-31.37906574551316
20261.27012621143,-30.90026534668667
21544.34690031882,-30.40891038712987
22908.67652767774,-29.91738538459463
24359.40447292027,-29.39154793168323
25902.00204531322,-28.86021102151857
27542.28703338166,-28.31949796893983
29286.44564625237,-27.76317609988088
31141.05584446758,-27.19731701111389
33113.11214825911,-26.6049173421254
35210.05201684521,-26.00979944791928
37439.78389823811,-25.40091066811386
39810.71705534973,-24.75877999526136
42331.79328088211,-24.0951707902142
45012.52062061337,-23.42618783614447
47863.0092322638,-22.6983868563989
50894.00951518094,-21.94228849368471
54116.95265464637,-21.16126272281539
57543.99373371567,-20.34400071906563
61188.05757518219,-19.45712232410282
65062.88748655574,-18.51613438345552
69183.09709189362,-17.48931401001751
73564.22544596414,-16.36509711633412
78222.79563860029,-15.11731527927813
83176.37711026709,-13.70282837110621
88443.65191385998,-12.08208867706421
94044.48517263524,-10.20375935071519
100000,-8.054453081015071
106332.6571637162,-5.926119456733549
113066.3397949639,-4.859133228483428
120226.4434617413,-5.63156624180932
127839.9719463023,-7.43032415156235
135935.6390878526,-9.423287023052806
144543.9770745928,-11.24975414313704
153697.4515935271,-12.88362236187198
163430.5842723137,-14.34337261854836
173780.0828749376,-15.62932637448371
184784.9797422291,-16.80978571737827
196486.7789993468,-17.87719169039718
208929.6130854039,-18.87254015571387
222160.4091955812,-19.78352026999076
236229.0662634463,-20.65956155764573
251188.6431509579,-21.47317182376543
267095.5587558986,-22.27033329679465
284009.8047914214,-23.01771726407782
301995.1720402016,-23.74845461081456
321119.4909364824,-24.45531248208799
341454.8873833601,-25.13977011839003
363078.0547701014,-25.81715289431881
386070.5432153811,-26.49501277162285
410519.0671273078,-27.14577229360347
436515.8322401661,-27.78455611872981
464158.8833612778,-28.40995132623977
493552.4741394806,-29.06067476501595
524807.4602497729,-29.68978235484585
558041.7174769964,-30.3354198208675
593380.5862753281,-30.98034634353606
630957.344480193,-31.62540587768709
670913.7099554111,-32.28298589830442
713400.3750712564,-32.94717628712108
758577.5750291835,-33.6044419686809
806615.6921766135,-34.30179572703145
857695.8985908937,-35.02823442757878
912010.8393559097,-35.74308267964197
969765.3591082495,-36.50760150637596
1031177.274593055,-37.27521300566201
1096478.196143185,-38.08205354482735
1165914.401179832,-38.95160636477183
1239747.763028944,-39.87373970414924
1318256.738556407,-40.87199987827346
1401737.418346769,-41.95841378411045
1490504.643386196,-43.12491580626065
1584893.192461114,-44.40541031923193
1685259.044750751,-45.86856616844086
1791980.722375334,-47.49167231941298
1905460.717963246,-49.43865179031416
2026127.012621143,-51.81892551317148
2154434.690031885,-54.81897648708823
2290867.652767772,-58.25305450883283
2435940.447292027,-59.28141862797818
2590200.204531325,-56.44743446725097
2754228.703338166,-53.49243826211616
2928644.564625237,-51.01260988483985
3114105.584446758,-49.05094132110457
3311311.214825911,-47.51610723875519
3521005.201684521,-46.21424000511654
3743978.389823811,-45.10291698924562
3981071.705534973,-44.14756887699643
4233179.328088207,-43.26950684833299
4501252.062061337,-42.53075689764803
4786300.923226385,-41.86151979285909
5089400.951518089,-41.27923558919601
5411695.265464637,-40.75316563958805
5754399.373371566,-40.30335328152507
6118805.757518219,-39.87629870233283
6506288.748655573,-39.5269105862987
6918309.709189363,-39.21121001497711
7356422.544596414,-38.97167639783169
7822279.56386003,-38.73536848622753
8317637.711026709,-38.56550235645776
8844365.191385999,-38.39950027386706
9404448.517263513,-38.30559212857735
10000000,-38.20614297977058
