#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B48834
#Date Time: 2025-11-13 16:42:03.045
#Start: 1000 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 100 ms
#MinPeriods: 16 
#Channel: Channel 4
#Range: 2.15288 V
#Offset: 2.73979e-05 V
#Relative: no

Frequency (Hz),Channel 4 Magnitude (dB)
1000,-38.56920707571898
1063.326571637162,-38.55996428515752
1130.663397949639,-38.55123789867493
1202.264434617413,-38.54259907487062
1278.399719463023,-38.53781000868543
1359.356390878525,-38.53074932791698
1445.439770745928,-38.52400359159656
1536.974515935271,-38.49837288282713
1634.305842723138,-38.47092905023505
1737.800828749376,-38.44465091680355
1847.849797422291,-38.42760175662374
1964.867789993468,-38.43377401933223
2089.296130854039,-38.4084110486587
2221.604091955812,-38.38278200199687
2362.290662634463,-38.34483388330553
2511.886431509579,-38.31886768881053
2670.955587558985,-38.26718781500212
2840.098047914214,-38.22241597371929
3019.951720402016,-38.19070800932408
3211.194909364824,-38.12429991159265
3414.548873833601,-38.06356786469362
3630.780547701014,-38.00045688445211
3860.705432153815,-37.94518086853945
4105.190671273079,-37.8585381722374
4365.158322401661,-37.78020445460292
4641.588833612777,-37.67169278385624
4935.524741394806,-37.56499751214019
5248.074602497722,-37.45812049268834
5580.417174769963,-37.31992338661135
5933.805862753281,-37.18973578398188
6309.57344480193,-37.03384458099887
6709.137099554112,-36.8440789492641
7134.003750712565,-36.63352749181202
7585.775750291836,-36.43289120415567
8066.156921766135,-36.23353149414353
8576.958985908946,-35.98235835527598
9120.108393559096,-35.7162082388068
9697.653591082495,-35.43079932771393
10311.77274593056,-35.13978535885531
10964.78196143185,-34.83000773016455
11659.14401179831,-34.49518891321367
12397.47763028944,-34.15582445648982
13182.56738556407,-33.78058021972627
14017.37418346769,-33.41924443352194
14905.04643386196,-33.03749939854293
15848.93192461114,-32.61028933196128
16852.59044750751,-32.18075532743612
17919.80722375334,-31.74225441549764
19054.60717963248,-31.27092597834612
20261.27012621143,-30.8036554009066
21544.34690031882,-30.32268020003301
22908.67652767774,-29.83666446448169
24359.40447292027,-29.30646665875624
25902.00204531322,-28.78684306786763
27542.28703338166,-28.24307597097087
29286.44564625237,-27.693052018373
31141.05584446758,-27.12070994673455
33113.11214825911,-26.54439041559865
35210.05201684521,-25.92958543527757
37439.78389823811,-25.32241079303783
39810.71705534973,-24.67207805698528
42331.79328088211,-24.01079668591122
45012.52062061337,-23.33591254399543
47863.0092322638,-22.60322513273192
50894.00951518094,-21.84344357064937
54116.95265464637,-21.05736343370168
57543.99373371567,-20.219985361842
61188.05757518219,-19.33237800243557
65062.88748655574,-18.37608370685849
69183.09709189362,-17.33393634319679
73564.22544596414,-16.18714203595358
78222.79563860029,-14.91800355375558
83176.37711026709,-13.46979183774717
88443.65191385998,-11.80991001226712
94044.48517263524,-9.882217393678163
100000,-7.701607945848975
106332.6571637162,-5.64430601598316
113066.3397949639,-4.84907635265511
120226.4434617413,-5.860509013686653
127839.9719463023,-7.733931785523626
135935.6390878526,-9.715922611847587
144543.9770745928,-11.51381140285393
153697.4515935271,-13.12005283579819
163430.5842723137,-14.54712131535679
173780.0828749376,-15.81188282868542
184784.9797422291,-16.9742595048188
196486.7789993468,-18.0232407592512
208929.6130854039,-19.00436342000531
222160.4091955812,-19.90415385820604
236229.0662634463,-20.76942603553581
251188.6431509579,-21.57579953580596
267095.5587558986,-22.35849115556419
284009.8047914214,-23.09247432696077
301995.1720402016,-23.81178693229484
321119.4909364824,-24.51814615796277
341454.8873833601,-25.20219635976041
363078.0547701014,-25.86303059450758
386070.5432153811,-26.5360177572
410519.0671273078,-27.16893435510164
436515.8322401661,-27.79979757164714
464158.8833612778,-28.42916879811862
493552.4741394806,-29.04625084755155
524807.4602497729,-29.68281670894822
558041.7174769964,-30.30468631604928
593380.5862753281,-30.91654709886224
630957.344480193,-31.54460390001384
670913.7099554111,-32.19122221883993
713400.3750712564,-32.83436198700592
758577.5750291835,-33.48326515839345
806615.6921766135,-34.12735686695542
857695.8985908937,-34.7995205677146
912010.8393559097,-35.46701001080279
969765.3591082495,-36.17829156386588
1031177.274593055,-36.89430371150915
1096478.196143185,-37.63327771724115
1165914.401179832,-38.40102540928295
1239747.763028944,-39.20307039272375
1318256.738556407,-40.05827967029923
1401737.418346769,-40.98276694490067
1490504.643386196,-41.94617549828131
1584893.192461114,-42.98643805129269
1685259.044750751,-44.13047303701187
1791980.722375334,-45.32418184612509
1905460.717963246,-46.65420526853207
2026127.012621143,-48.22829688074896
2154434.690031885,-50.01427984223207
2290867.652767772,-52.14991594636104
2435940.447292027,-54.70393627116436
2590200.204531325,-57.43900179796746
2754228.703338166,-59.4350432423026
2928644.564625237,-58.46542477969404
3114105.584446758,-55.79764288325762
3311311.214825911,-53.27231877450154
3521005.201684521,-51.32178765265665
3743978.389823811,-49.76594388963366
3981071.705534973,-48.42374494194863
4233179.328088207,-47.32168592051824
4501252.062061337,-46.37849893784973
4786300.923226385,-45.55409705367707
5089400.951518089,-44.86316301200069
5411695.265464637,-44.23197002194331
5754399.373371566,-43.70471739575999
6118805.757518219,-43.19375718116363
6506288.748655573,-42.7836347330818
6918309.709189363,-42.44983465014539
7356422.544596414,-42.13964758433733
7822279.56386003,-41.86515905754041
8317637.711026709,-41.6679526546045
8844365.191385999,-41.49364698598274
9404448.517263513,-41.36300771462693
10000000,-41.2470097196564
